KVcache prepared in 32.65038585662842 seconds
[0]: Semantic Similarity: 0.1622,	 cache time: 2.384185791015625e-07,	 generate time: 27.961662769317627
[0]: [Cumulative]: Semantic Similarity: 0.1622,	 cache time: 2.384185791015625e-07,	 generate time: 27.961662769317627
[1]: Semantic Similarity: 0.9708,	 cache time: 4.76837158203125e-07,	 generate time: 27.522515773773193
[1]: [Cumulative]: Semantic Similarity: 0.5665,	 cache time: 3.5762786865234375e-07,	 generate time: 27.74208927154541
[2]: Semantic Similarity: 0.79932,	 cache time: 2.384185791015625e-07,	 generate time: 28.441564559936523
[2]: [Cumulative]: Semantic Similarity: 0.64411,	 cache time: 3.178914388020833e-07,	 generate time: 27.975247701009113
[3]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 27.394144773483276
[3]: [Cumulative]: Semantic Similarity: 0.73308,	 cache time: 2.980232238769531e-07,	 generate time: 27.829971969127655
[4]: Semantic Similarity: 0.75123,	 cache time: 2.384185791015625e-07,	 generate time: 27.317165851593018
[4]: [Cumulative]: Semantic Similarity: 0.73671,	 cache time: 2.86102294921875e-07,	 generate time: 27.727410745620727
[5]: Semantic Similarity: 0.38728,	 cache time: 2.384185791015625e-07,	 generate time: 32.01231861114502
[5]: [Cumulative]: Semantic Similarity: 0.67847,	 cache time: 2.7815500895182293e-07,	 generate time: 28.441562056541443
[6]: Semantic Similarity: 0.24582,	 cache time: 2.384185791015625e-07,	 generate time: 27.963593244552612
[6]: [Cumulative]: Semantic Similarity: 0.61666,	 cache time: 2.724783761160714e-07,	 generate time: 28.373280797685897
[7]: Semantic Similarity: 1.0,	 cache time: 4.76837158203125e-07,	 generate time: 27.87953472137451
[7]: [Cumulative]: Semantic Similarity: 0.66458,	 cache time: 2.980232238769531e-07,	 generate time: 28.311562538146973
[8]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 27.834890127182007
[8]: [Cumulative]: Semantic Similarity: 0.70185,	 cache time: 2.914004855685764e-07,	 generate time: 28.258598936928642
[9]: Semantic Similarity: 0.87225,	 cache time: 7.152557373046875e-07,	 generate time: 28.27872657775879
[9]: [Cumulative]: Semantic Similarity: 0.71889,	 cache time: 3.337860107421875e-07,	 generate time: 28.26061170101166
[10]: Semantic Similarity: 0.21999,	 cache time: 4.76837158203125e-07,	 generate time: 27.541134357452393
[10]: [Cumulative]: Semantic Similarity: 0.67354,	 cache time: 3.4679066051136365e-07,	 generate time: 28.195204669779
[11]: Semantic Similarity: 0.72375,	 cache time: 2.384185791015625e-07,	 generate time: 27.557836532592773
