KVcache prepared in 167.0569338798523 seconds
[0]: Semantic Similarity: 0.1622,	 cache time: 2.384185791015625e-07,	 generate time: 2.302372932434082
[0]: [Cumulative]: Semantic Similarity: 0.1622,	 cache time: 2.384185791015625e-07,	 generate time: 2.302372932434082
[1]: Semantic Similarity: 0.9708,	 cache time: 4.76837158203125e-07,	 generate time: 1.6794850826263428
[1]: [Cumulative]: Semantic Similarity: 0.5665,	 cache time: 3.5762786865234375e-07,	 generate time: 1.9909290075302124
[2]: Semantic Similarity: 0.20315,	 cache time: 2.384185791015625e-07,	 generate time: 5.394827604293823
[2]: [Cumulative]: Semantic Similarity: 0.44538,	 cache time: 3.178914388020833e-07,	 generate time: 3.1255618731180825
[3]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 1.13726806640625
[3]: [Cumulative]: Semantic Similarity: 0.58404,	 cache time: 2.980232238769531e-07,	 generate time: 2.6284884214401245
[4]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 1.1473782062530518
[4]: [Cumulative]: Semantic Similarity: 0.66723,	 cache time: 2.86102294921875e-07,	 generate time: 2.33226637840271
[5]: Semantic Similarity: 1.0,	 cache time: 4.76837158203125e-07,	 generate time: 1.6748316287994385
[5]: [Cumulative]: Semantic Similarity: 0.72269,	 cache time: 3.178914388020833e-07,	 generate time: 2.222693920135498
[6]: Semantic Similarity: 0.33982,	 cache time: 2.384185791015625e-07,	 generate time: 2.7365357875823975
[6]: [Cumulative]: Semantic Similarity: 0.668,	 cache time: 3.065381731305804e-07,	 generate time: 2.296099901199341
[7]: Semantic Similarity: 1.0,	 cache time: 4.76837158203125e-07,	 generate time: 2.2233049869537354
[7]: [Cumulative]: Semantic Similarity: 0.7095,	 cache time: 3.2782554626464844e-07,	 generate time: 2.28700053691864
[8]: Semantic Similarity: 0.76835,	 cache time: 2.384185791015625e-07,	 generate time: 2.202709674835205
[8]: [Cumulative]: Semantic Similarity: 0.71604,	 cache time: 3.178914388020833e-07,	 generate time: 2.2776348855760364
[9]: Semantic Similarity: 0.87225,	 cache time: 2.384185791015625e-07,	 generate time: 3.265404462814331
[9]: [Cumulative]: Semantic Similarity: 0.73166,	 cache time: 3.0994415283203126e-07,	 generate time: 2.3764118432998655
[10]: Semantic Similarity: 0.01073,	 cache time: 2.384185791015625e-07,	 generate time: 2.2085230350494385
[10]: [Cumulative]: Semantic Similarity: 0.66612,	 cache time: 3.034418279474432e-07,	 generate time: 2.361149224368009
[11]: Semantic Similarity: 0.34751,	 cache time: 2.384185791015625e-07,	 generate time: 2.2023708820343018
[11]: [Cumulative]: Semantic Similarity: 0.63957,	 cache time: 2.980232238769531e-07,	 generate time: 2.3479176958402
[12]: Semantic Similarity: 0.57143,	 cache time: 4.76837158203125e-07,	 generate time: 1.1494982242584229
[12]: [Cumulative]: Semantic Similarity: 0.63433,	 cache time: 3.1177814190204327e-07,	 generate time: 2.2557315826416016
[13]: Semantic Similarity: 1.0,	 cache time: 7.152557373046875e-07,	 generate time: 3.272587776184082
[13]: [Cumulative]: Semantic Similarity: 0.66045,	 cache time: 3.405979701450893e-07,	 generate time: 2.328364167894636
[14]: Semantic Similarity: 0.5318,	 cache time: 2.384185791015625e-07,	 generate time: 3.8157958984375
[14]: [Cumulative]: Semantic Similarity: 0.65187,	 cache time: 3.337860107421875e-07,	 generate time: 2.42752628326416
[15]: Semantic Similarity: 0.68805,	 cache time: 2.384185791015625e-07,	 generate time: 2.220022439956665
[15]: [Cumulative]: Semantic Similarity: 0.65413,	 cache time: 3.2782554626464844e-07,	 generate time: 2.4145572930574417
[16]: Semantic Similarity: 0.2338,	 cache time: 4.76837158203125e-07,	 generate time: 13.889511823654175
[16]: [Cumulative]: Semantic Similarity: 0.6294,	 cache time: 3.365909352022059e-07,	 generate time: 3.089554618386661
[17]: Semantic Similarity: 0.34571,	 cache time: 4.76837158203125e-07,	 generate time: 1.1558425426483154
[17]: [Cumulative]: Semantic Similarity: 0.61364,	 cache time: 3.4438239203559027e-07,	 generate time: 2.982126169734531
[18]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 2.232757568359375
[18]: [Cumulative]: Semantic Similarity: 0.63398,	 cache time: 3.388053492495888e-07,	 generate time: 2.9426857170305754
[19]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 1.1491482257843018
[19]: [Cumulative]: Semantic Similarity: 0.65228,	 cache time: 3.337860107421875e-07,	 generate time: 2.853008842468262
[20]: Semantic Similarity: 0.61439,	 cache time: 2.384185791015625e-07,	 generate time: 1.1466658115386963
[20]: [Cumulative]: Semantic Similarity: 0.65048,	 cache time: 3.292447044735863e-07,	 generate time: 2.771754412423997
[21]: Semantic Similarity: 0.13635,	 cache time: 2.384185791015625e-07,	 generate time: 10.706905603408813
[21]: [Cumulative]: Semantic Similarity: 0.62711,	 cache time: 3.251162442294034e-07,	 generate time: 3.1324431029233066
[22]: Semantic Similarity: 0.98565,	 cache time: 2.384185791015625e-07,	 generate time: 3.2713208198547363
[22]: [Cumulative]: Semantic Similarity: 0.64269,	 cache time: 3.2134678052819293e-07,	 generate time: 3.138481264529021
[23]: Semantic Similarity: 0.69502,	 cache time: 2.384185791015625e-07,	 generate time: 1.6746790409088135
[23]: [Cumulative]: Semantic Similarity: 0.64488,	 cache time: 3.178914388020833e-07,	 generate time: 3.077489505211512
[24]: Semantic Similarity: 1.0,	 cache time: 0.0,	 generate time: 2.22080135345459
[24]: [Cumulative]: Semantic Similarity: 0.65908,	 cache time: 3.0517578125e-07,	 generate time: 3.043221979141235
[25]: Semantic Similarity: 0.20235,	 cache time: 2.384185791015625e-07,	 generate time: 2.7443981170654297
[25]: [Cumulative]: Semantic Similarity: 0.64151,	 cache time: 3.0260819655198316e-07,	 generate time: 3.031728753676781
