KVcache prepared in 23.442914485931396 seconds
[0]: Semantic Similarity: 1.0,	 cache time: 7.152557373046875e-07,	 generate time: 1.8468544483184814
[0]: [Cumulative]: Semantic Similarity: 1.0,	 cache time: 7.152557373046875e-07,	 generate time: 1.8468544483184814
[1]: Semantic Similarity: 0.84656,	 cache time: 2.384185791015625e-07,	 generate time: 4.104282855987549
[1]: [Cumulative]: Semantic Similarity: 0.92328,	 cache time: 4.76837158203125e-07,	 generate time: 2.975568652153015
[2]: Semantic Similarity: 0.98968,	 cache time: 2.384185791015625e-07,	 generate time: 1.0034511089324951
[2]: [Cumulative]: Semantic Similarity: 0.94541,	 cache time: 3.973642985026042e-07,	 generate time: 2.3181961377461753
[3]: Semantic Similarity: 0.41903,	 cache time: 4.76837158203125e-07,	 generate time: 7.736660718917847
[3]: [Cumulative]: Semantic Similarity: 0.81382,	 cache time: 4.172325134277344e-07,	 generate time: 3.672812283039093
[4]: Semantic Similarity: 0.98849,	 cache time: 2.384185791015625e-07,	 generate time: 1.908818244934082
[4]: [Cumulative]: Semantic Similarity: 0.84875,	 cache time: 3.814697265625e-07,	 generate time: 3.320013475418091
[5]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 1.075193166732788
[5]: [Cumulative]: Semantic Similarity: 0.87396,	 cache time: 3.5762786865234375e-07,	 generate time: 2.9458767573038735
[6]: Semantic Similarity: 0.67459,	 cache time: 2.384185791015625e-07,	 generate time: 1.0742511749267578
[6]: [Cumulative]: Semantic Similarity: 0.84548,	 cache time: 3.405979701450893e-07,	 generate time: 2.678501674107143
[7]: Semantic Similarity: 1.0,	 cache time: 4.76837158203125e-07,	 generate time: 0.6565978527069092
[7]: [Cumulative]: Semantic Similarity: 0.8648,	 cache time: 3.5762786865234375e-07,	 generate time: 2.4257636964321136
[8]: Semantic Similarity: 0.5787,	 cache time: 2.384185791015625e-07,	 generate time: 0.6567420959472656
[8]: [Cumulative]: Semantic Similarity: 0.83301,	 cache time: 3.4438239203559027e-07,	 generate time: 2.229205740822686
[9]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.8688304424285889
[9]: [Cumulative]: Semantic Similarity: 0.84971,	 cache time: 3.337860107421875e-07,	 generate time: 2.0931682109832765
[10]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.4501821994781494
[10]: [Cumulative]: Semantic Similarity: 0.86337,	 cache time: 3.251162442294034e-07,	 generate time: 1.9438058463009922
[11]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 1.0764732360839844
[11]: [Cumulative]: Semantic Similarity: 0.87475,	 cache time: 3.178914388020833e-07,	 generate time: 1.8715281287829082
[12]: Semantic Similarity: 0.50986,	 cache time: 2.384185791015625e-07,	 generate time: 4.407637596130371
[12]: [Cumulative]: Semantic Similarity: 0.84669,	 cache time: 3.1177814190204327e-07,	 generate time: 2.0666134724250207
[13]: Semantic Similarity: 0.97949,	 cache time: 0.0,	 generate time: 1.4904730319976807
[13]: [Cumulative]: Semantic Similarity: 0.85617,	 cache time: 2.8950827462332587e-07,	 generate time: 2.025460583823068
[14]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 1.6976351737976074
[14]: [Cumulative]: Semantic Similarity: 0.86576,	 cache time: 2.86102294921875e-07,	 generate time: 2.0036055564880373
[15]: Semantic Similarity: 0.9316,	 cache time: 2.384185791015625e-07,	 generate time: 0.6612722873687744
[15]: [Cumulative]: Semantic Similarity: 0.86988,	 cache time: 2.8312206268310547e-07,	 generate time: 1.9197097271680832
[16]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.8670425415039062
