KVcache prepared in 19.009918212890625 seconds
[0]: Semantic Similarity: 1.0,	 cache time: 4.76837158203125e-07,	 generate time: 16.11816167831421
[0]: [Cumulative]: Semantic Similarity: 1.0,	 cache time: 4.76837158203125e-07,	 generate time: 16.11816167831421
[1]: Semantic Similarity: 0.84656,	 cache time: 7.152557373046875e-07,	 generate time: 18.46214270591736
[1]: [Cumulative]: Semantic Similarity: 0.92328,	 cache time: 5.960464477539062e-07,	 generate time: 17.290152192115784
[2]: Semantic Similarity: 0.98968,	 cache time: 2.384185791015625e-07,	 generate time: 15.528287172317505
[2]: [Cumulative]: Semantic Similarity: 0.94541,	 cache time: 4.76837158203125e-07,	 generate time: 16.702863852183025
[3]: Semantic Similarity: 0.35032,	 cache time: 2.384185791015625e-07,	 generate time: 22.350629091262817
[3]: [Cumulative]: Semantic Similarity: 0.79664,	 cache time: 4.172325134277344e-07,	 generate time: 18.114805161952972
[4]: Semantic Similarity: 0.98849,	 cache time: 2.384185791015625e-07,	 generate time: 16.231657028198242
[4]: [Cumulative]: Semantic Similarity: 0.83501,	 cache time: 3.814697265625e-07,	 generate time: 17.738175535202025
[5]: Semantic Similarity: 1.0,	 cache time: 4.76837158203125e-07,	 generate time: 15.49669098854065
[5]: [Cumulative]: Semantic Similarity: 0.86251,	 cache time: 3.973642985026042e-07,	 generate time: 17.36459477742513
[6]: Semantic Similarity: 0.67459,	 cache time: 2.384185791015625e-07,	 generate time: 15.510257482528687
[6]: [Cumulative]: Semantic Similarity: 0.83566,	 cache time: 3.746577671595982e-07,	 generate time: 17.09968944958278
[7]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 15.129237413406372
[7]: [Cumulative]: Semantic Similarity: 0.85621,	 cache time: 3.5762786865234375e-07,	 generate time: 16.85338294506073
[8]: Semantic Similarity: 0.5787,	 cache time: 2.384185791015625e-07,	 generate time: 15.143296480178833
[8]: [Cumulative]: Semantic Similarity: 0.82537,	 cache time: 3.4438239203559027e-07,	 generate time: 16.66337333785163
