KVcache prepared in 18.638388872146606 seconds
[0]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 1.6610441207885742
[0]: [Cumulative]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 1.6610441207885742
[1]: Semantic Similarity: 0.84656,	 cache time: 7.152557373046875e-07,	 generate time: 3.6492106914520264
[1]: [Cumulative]: Semantic Similarity: 0.92328,	 cache time: 4.76837158203125e-07,	 generate time: 2.6551274061203003
[2]: Semantic Similarity: 0.98968,	 cache time: 2.384185791015625e-07,	 generate time: 0.8899407386779785
[2]: [Cumulative]: Semantic Similarity: 0.94541,	 cache time: 3.973642985026042e-07,	 generate time: 2.066731850306193
[3]: Semantic Similarity: 0.47763,	 cache time: 2.384185791015625e-07,	 generate time: 5.542721271514893
[3]: [Cumulative]: Semantic Similarity: 0.82847,	 cache time: 3.5762786865234375e-07,	 generate time: 2.935729205608368
[4]: Semantic Similarity: 0.98849,	 cache time: 4.76837158203125e-07,	 generate time: 1.576646327972412
[4]: [Cumulative]: Semantic Similarity: 0.86047,	 cache time: 3.814697265625e-07,	 generate time: 2.663912630081177
[5]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.8884379863739014
[5]: [Cumulative]: Semantic Similarity: 0.88373,	 cache time: 3.5762786865234375e-07,	 generate time: 2.3680001894632974
[6]: Semantic Similarity: 0.67459,	 cache time: 2.384185791015625e-07,	 generate time: 0.8876125812530518
[6]: [Cumulative]: Semantic Similarity: 0.85385,	 cache time: 3.405979701450893e-07,	 generate time: 2.1565162454332625
[7]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.5428118705749512
[7]: [Cumulative]: Semantic Similarity: 0.87212,	 cache time: 3.2782554626464844e-07,	 generate time: 1.9548031985759735
[8]: Semantic Similarity: 0.5787,	 cache time: 2.384185791015625e-07,	 generate time: 0.5428652763366699
[8]: [Cumulative]: Semantic Similarity: 0.83952,	 cache time: 3.178914388020833e-07,	 generate time: 1.7979212072160509
[9]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.719097375869751
[9]: [Cumulative]: Semantic Similarity: 0.85557,	 cache time: 3.0994415283203126e-07,	 generate time: 1.6900388240814208
[10]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.3787369728088379
[10]: [Cumulative]: Semantic Similarity: 0.8687,	 cache time: 3.034418279474432e-07,	 generate time: 1.5708295648748225
[11]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.9066557884216309
[11]: [Cumulative]: Semantic Similarity: 0.87964,	 cache time: 2.980232238769531e-07,	 generate time: 1.5154817501703899
[12]: Semantic Similarity: 0.50986,	 cache time: 2.384185791015625e-07,	 generate time: 3.7667791843414307
[12]: [Cumulative]: Semantic Similarity: 0.85119,	 cache time: 2.934382512019231e-07,	 generate time: 1.6886584758758545
[13]: Semantic Similarity: 0.97949,	 cache time: 2.384185791015625e-07,	 generate time: 1.3259437084197998
[13]: [Cumulative]: Semantic Similarity: 0.86036,	 cache time: 2.8950827462332587e-07,	 generate time: 1.662750278200422
[14]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 1.5112955570220947
[14]: [Cumulative]: Semantic Similarity: 0.86967,	 cache time: 2.86102294921875e-07,	 generate time: 1.6526532967885335
[15]: Semantic Similarity: 0.9316,	 cache time: 2.384185791015625e-07,	 generate time: 0.586266279220581
