idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score,question,gptscore
0,Historically disadvantaged groups or minorities.,whites and males,0.001049518585205,1.697693109512329,0.5255835652351379,0.0,0.0,Studies showed that discrimination in both business sectors and education resulted in advantages for what group of people?,0
1,The academic computing department.,academic computing,0.0009765625,0.4754648208618164,0.8046208620071411,0.6666666666666666,0.6666666666666666,What division of the University of Kansas contributed to the development of the internet?,1
2,The Princeton Review.,Princeton Review,0.0008432865142822,0.4763746261596679,0.9508841037750244,0.8,0.8,Who considered the business school of the University of Kansas among the best Midwestern business institutions?,1
3,Anthocyanin density in purple grape skin.,anthocyanins,0.0008344650268554,0.6597089767456055,0.5482739210128784,0.2857142857142857,0.2857142857142857,What pigment is responsible for the color of leaves in fall?,0
4,"""Home on the Range""","""Kansas Song""",0.0008490085601806,0.5698451995849609,0.2463511526584625,0.0,0.0,What is the name of a song that references the state that KU serves?,0
5,The Office for Civil Rights.,Office for Civil Rights,0.000889778137207,0.5487565994262695,0.9552839994430542,0.888888888888889,0.888888888888889,With which organization did Li file a civil rights complaint?,1
6,"Racial discrimination in the United States, particularly the evacuation of Americans of Japanese descent during the war.",the state of race relations,0.0008547306060791,1.05674409866333,0.4404245018959045,0.2727272727272727,0.2727272727272727,What was the committee especially disturbed by as indicated in their report?,1
7,FDR (Franklin D. Roosevelt),Harold L. Ickes,0.0008656978607177,0.6831104755401611,0.4417823851108551,0.0,0.0,Who was the true backer of the cause of affirmative action?,0
8,Lower-class European Americans.,lower-class European Americans,0.0008614063262939,0.5301663875579834,0.9674360752105712,1.0,1.0,At who's expense other than Asian Americans are upper-class African Americans and Hispanic Americans supposedly benefiting?,1
9,Bill Self.,Bill Self,0.0008177757263183,0.4368531703948974,0.9688641428947448,1.0,1.0,Who is the head of men's basketball at KU?,1
10,The Education and Justice Departments.,Education and Justice Departments,0.0007474422454833,0.5461447238922119,0.9707198143005372,0.888888888888889,0.888888888888889,Who did the organizations file the complaints with?,1
11,Vitis vinifera.,Vitis vinifera,0.0007729530334472,0.5427756309509277,0.9830338358879088,1.0,1.0,What species of grape are grown by Black Monukka?,1
12,Wilt Chamberlain.,Wilt Chamberlain,0.000725507736206,0.5085117816925049,0.9826033115386964,1.0,1.0,Who is considered the most famous basketball alumnus of KU?,1
13,"Alan Mulally, former President and CEO of Ford Motor Company.",Alan Mulally,0.0007789134979248,0.823988676071167,0.7235170006752014,0.3333333333333333,0.3333333333333333,What former leader of a car manufacturing company attended KU?,1
14,Crimson and Blue.,crimson and royal blue,0.0008399486541748,0.4710006713867187,0.8878383636474609,0.8571428571428571,0.8571428571428571,What colors are worn by KU's athletic teams?,1
15,June 1963.,June 1963,0.0007524490356445,0.5127761363983154,0.9795911312103271,1.0,1.0,When did President Kennedy issue Executive Order 11114?,1
16,He necessarily surrenders some of the rights and privileges which are inherent in American citizenship.,surrenders some of the rights and privileges,0.0008893013000488,0.9858098030090332,0.6694221496582031,0.6363636363636364,0.6363636363636364,What did the findings say occurred to an individual when he enters the armed services?,1
17,Richmond v. J.A. Croson Co.,Richmond v. J.A. Croson Co.,0.0008783340454101,0.7139933109283447,1.0,1.0,1.0,What is an example case that can help display where upholding a racial classification is beneficial?,1
18,"New Haven, Connecticut.","New Haven, Connecticut",0.0008890628814697,0.5141692161560059,0.9801520109176636,1.0,1.0,Where was the issue of White and Hispanic firefighters heard in the case based out of?,1
19,Red wine.,red wine,0.0008325576782226,0.4390032291412353,0.9667990803718568,1.0,1.0,What type of wine is fermented with grape skin?,1
20,1993.,1993,0.0007867813110351,0.4780352115631103,0.9678646326065063,1.0,1.0,When did Nadelmann write about global policing?,1
21,"Overland Park, Kansas.",Overland Park,0.0008056163787841,0.572641134262085,0.8808357119560242,0.8,0.8,In what city is the Edwards Campus located?,1
22,Table grapes.,table grapes,0.000826358795166,0.4368288516998291,0.9789943099021912,1.0,1.0,What are grapes that are eaten raw classified as?,1
23,The text does not provide specific information on what is charged at KU's specialized professional schools.,additional fees,0.0008277893066406,0.9276220798492432,0.2310663163661956,0.0,0.0,What is charged at KU's specialized professional schools?,0
24,Nike.,Nike,0.0008618831634521,0.4206171035766601,0.9638914465904236,1.0,1.0,What manufacturer became Arsenal's uniform provider in 1994?,1
25,Vitis vinifera.,Vitis vinifera,0.0008480548858642,0.544898509979248,0.9830338358879088,1.0,1.0,What species of grape are grown by Black Monukka?,1
26,The purpose of Title VII of the Civil Rights Act was to end discrimination in all firms with 25 or more employees.,to end discrimination in all firms with 25 or more employees,0.0008611679077148,1.192349910736084,0.6847220659255981,0.6666666666666666,0.6666666666666666,What was the purpose of Title VII of the Civil Rights Act?,1
27,"Princeton claimed that Li's application was rejected because ""many others had far better qualifications"" and his extracurricular activities were ""not all that outstanding"".",many others had far better qualifications,0.0008544921875,1.4564166069030762,0.4552722573280334,0.4,0.4,What did Princeton claim the real reasons for the rejection of Li's application was?,1
28,"Shelby Steele believes that the true concept of affirmative action should be enforcing equal opportunity, not providing special benefits to certain groups.",enforcing equal opportunity,0.0008487701416015,1.199655532836914,0.4726766347885132,0.24,0.24,What does Shelby Steele believe that the true concept of affirmative action is?,1
29,"ABET accredited, public engineering schools.",national universities,0.0008697509765625,0.6170399188995361,0.4699902236461639,0.0,0.0,Against what other kinds of institutions was KU's engineering school compared?,0
30,Donors.,donors,0.0007801055908203,0.3588364124298095,0.9548152685165404,1.0,1.0,To whom does the KU Endowment seek to connect with?,1
31,Jayhawks,Kansas Jayhawks,0.0008234977722167,0.4004859924316406,0.915360987186432,0.6666666666666666,0.6666666666666666,What is the name of KU athletic teams?,1
32,131,131,0.0008237361907958,0.3945991992950439,1.0000001192092896,1.0,1.0,How many institutions participated in the V-12 program?,1
33,John F. Kennedy.,John F. Kennedy,0.0007815361022949,0.5122017860412598,0.9752756357192992,1.0,1.0,Who was the Democratic candidate for president in 1960?,1
34,School segregation laws.,school segregation,0.0008351802825927,0.4705657958984375,0.8717314004898071,0.8,0.8,What law type did Asian immigrants struggle with?,1
35,The U.S. Equal Employment Opportunity Commission.,U.S. Equal Employment Opportunity Commission,0.0009160041809082,0.6526851654052734,0.9530961513519288,0.923076923076923,0.923076923076923,Which organization claims that private sector employers believe having a diverse workplace is beneficial?,1
36,Gain a competitive advantage in an increasingly global economy.,draw in talent and ideas from all segments of the population,0.0008375644683837,0.6920726299285889,0.2567349970340729,0.0999999999999999,0.0999999999999999,Having a diverse workplace allows for employers to do what?,0
37,Five times.,five,0.0008492469787597,0.4368042945861816,0.6817899346351624,0.6666666666666666,0.6666666666666666,How many sectors make up the Kathmandu metropolitan area?,0
38,Shiraz.,Shiraz,0.0008494853973388,0.4355325698852539,0.9782990217208862,1.0,1.0,What is the sixth most populous city of Iran?,1
39,The main purpose of the Government Contract Committee was to conduct surveys of the racial composition of federal employees and tax-supported contractors.,conducted surveys of the racial composition of federal employees and tax-supported contractors,0.0008368492126464,1.2012569904327393,0.751923680305481,0.7222222222222222,0.7222222222222222,What was the main purpose of the Government Contract Committee?,1
40,Total phenolic content.,Total phenolic content,0.0008423328399658,0.4813199043273926,0.9618061780929564,1.0,1.0,What is the laboratory index of antioxidant strength in grapes known as? ,1
41,"The University of Texas employed a ""Top Ten Percent Law"", guaranteeing admission to students who graduate in the top 10% of their high school class.",race-conscious policy,0.00083589553833,1.483205795288086,0.1559757739305496,0.0,0.0,What did the plaintiffs claim the university had for an admissions policy?,0
42,"Charles E. Spahr, former CEO of Standard Oil of Ohio.",Charles E. Spahr,0.0008234977722167,0.832106351852417,0.7336655259132385,0.4615384615384615,0.4615384615384615,What oil company leader is an alumnus of the University of Kansas?,1
43,UCLA.,UCLA,0.0008363723754882,0.3985679149627685,0.972126007080078,1.0,1.0,To which university does Richard H. Sander belong?,1
44,Defense contractors.,Federal Government and on government contracts,0.0008449554443359,0.4585411548614502,0.3534558415412903,0.0,0.0,What were the affected industries in terms of regulation as a result of Executive Order 10925?,0
45,Harry Truman.,Truman,0.0007953643798828,0.4557271003723144,0.9146423935890198,0.6666666666666666,0.6666666666666666,Which president initially began to desegregate the US military?,1
46,Student Union Activities.,Student Union Activities,0.00079345703125,0.3972320556640625,0.985811173915863,1.0,1.0,What is the name of a potential recipient of funds from enterprises like the bookstore and dining centers at KU?,1
47,Economics.,economics,0.0007305145263671,0.3986778259277344,0.9338011145591736,1.0,1.0,What area of study did professor Mark Long have a degree in?,1
48,1952.,1952,0.0007331371307373,0.4961905479431152,0.9718616008758544,1.0,1.0,When did Armenia begin winning Olympic medals?,1
49,There is no mention of a piece of legislation begun in 1969 in the provided context.,Philadelphia Order,0.0008313655853271,1.0221710205078125,-0.0663838237524032,0.0,0.0,Which piece of legislation was begun in 1969?,0
50,Ward Connerly.,Ward Connerly,0.0008547306060791,0.5115010738372803,0.9900575876235962,1.0,1.0,Who is an example of someone that states that affirmative action is another form of discrimination?,1
51,Arthur Fletcher.,Arthur Fletcher,0.0007894039154052,0.4380621910095215,0.9780011773109436,1.0,1.0,Who held the position of Assistant Secretary of Labor?,1
52,Those who oppose affirmative action argue that compensating for past wrongs by giving preferential treatment to a group based on their past mistreatment is illogical and morally indefensible.,preferential treatment for this same trait is illogical,0.000845193862915,1.6082029342651367,0.476125955581665,0.2777777777777778,0.2222222222222222,Which argument is being made by those who oppose affirmative action in relation to the compensation argument?,1
53,Nearly 8 million servicemen and servicewomen were educated under the provisions of the GI Bill after World War II.,Nearly 8 million,0.0008511543273925,1.1975080966949463,0.3657144904136657,0.2727272727272727,0.2727272727272727,How many servicemen and women were educated as a result of the GI Bill?,1
54,Caucasian students.,Caucasian students,0.0008673667907714,0.4379305839538574,0.9851961731910706,1.0,1.0,Who supposedly suffers no detrimental effects from classroom diversity?,1
55,There is no mention of the FEPC in the provided context.,Fair Employment Practices Committee,0.0008268356323242,0.8229045867919922,0.1694663763046264,0.0,0.0,What does the FEPC stand for?,0
56,"""The descendants"" (i.e., descendants of American slaves).",the descendants,0.0008816719055175,0.7926831245422363,0.7378883361816406,0.4,0.4,What did the African American students at Harvard that could trace their lineage back multiple generations begin calling themselves?,1
57,Minority enrollment returned to pre-1996 levels.,returned minority enrollment to pre-1996 levels,0.0008587837219238,0.6919589042663574,0.9660176634788512,1.0,0.8571428571428571,"After the state passed the top 10% rule, what happened to minority enrollment?",1
58,Racial classifications that identified race.,racial,0.000840425491333,0.5817608833312988,0.6658793687820435,0.3333333333333333,0.3333333333333333,What type of caste system is mass incarceration compared to?,0
59,Northwestern.,Northwestern,0.000807762145996,0.3963708877563476,0.969141960144043,1.0,1.0,Where is the home of the Buffet Center for International and Comparative Studies?,1
60,American Association of University Professors.,American Association of University Professors,0.000770092010498,0.64192795753479,0.9640568494796752,1.0,1.0,What does AAUP stand for?,1
61,Ancient Egyptian hieroglyphics record the cultivation of purple grapes.,hieroglyphics,0.000838279724121,0.7998549938201904,0.4217088520526886,0.1999999999999999,0.1999999999999999,How do we know that wine was made in ancient Egypt?,1
62,June 2015.,June 2016,0.0008234977722167,0.5066790580749512,0.7782333493232727,0.5,0.5,When will the Supreme Court likely hear the case for the second time?,0
63,"3,371 students.","3,371",0.0008437633514404,0.5676887035369873,0.6274027824401855,0.8,0.8,"In the autumn of 2014, how many people attended the University of Kansas's Medical Center?",1
64,Reservations.,reservations,0.0008332729339599,0.4329555034637451,0.9546597003936768,1.0,1.0,"Tribes hold land in Oklahoma, but what isn't it called?",0
65,"Overland Park, Kansas.",Overland Park,0.0007386207580566,0.5488717555999756,0.8808357119560242,0.8,0.8,In what city is the Edwards Campus located?,1
66,Vice President Johnson.,Vice President Johnson,0.0008544921875,0.4731714725494385,0.9751782417297364,1.0,1.0,Who did Lockheed sign an agreement with to seek out more minority workers?,1
67,Senate Minority Leader.,Senate Minority Leader,0.0008652210235595,0.4705922603607178,0.9645419120788574,1.0,1.0,What position of importance other than Senator did Everett Dirksen hold?,1
68,"The main campus of the University of Kansas is located in Lawrence on Mount Oread, the highest location in Lawrence.",Lawrence,0.0008137226104736,1.0710163116455078,0.3643233776092529,0.0952380952380952,0.0952380952380952,Where is the business school at KU located?,1
69,"The term ""affirmative action"" was chosen because it was seen as a more neutral and positive term, emphasizing the proactive steps being taken to address past discrimination, rather than a negative term like ""positive action"" which might imply a sense of guilt or obligation.",alliterative quality,0.0008521080017089,2.274224281311035,0.011618934571743,0.0,0.0,"What was the main reason that ""affirmative action"" was chosen over ""positive action""?",0
70,The main aim of Executive Order 11114 was to prohibit discrimination in the awarding of federal contracts and hold the authority of the government to deny contracts to businesses who discriminate.,elimination of discrimination in employment,0.0008602142333984,1.589003562927246,0.4284130334854126,0.1666666666666666,0.1666666666666666,What was the main aim of Executive Order 11114?,1
71,Early Asian immigrants experienced prejudice and discrimination in the forms of not being able to become naturalized citizens and facing school segregation laws.,not having the ability to become naturalized citizens,0.0008370876312255,1.2349848747253418,0.4102908670902252,0.3870967741935483,0.3225806451612903,What form of discrimination did early Asian immigrants experience?,1
72,Inclusion.,make special efforts at inclusion,0.0008344650268554,0.4550633430480957,0.6480165719985962,0.3333333333333333,0.3333333333333333,What do proponents of affirmative action believe is the best way to combat exclusionary practices?,1
73,They were required to comply with the government's policies on affirmative action in employment practices.,comply to the government's policies on affirmative action,0.0008189678192138,0.9703769683837892,0.7664375305175781,0.72,0.64,What was anyone who received federal funding of any sort required to do under the Executive Order?,1
74,Latinos are the least well-educated major ethnic group.,least well educated,0.0007979869842529,0.6914525032043457,0.5544762015342712,0.5,0.5,"In relation to other major ethnic groups, what is the education level of Latinos?",1
75,Racial classifications that benefited underrepresented minorities and were necessary to promote a compelling governmental purpose.,necessary to promote a compelling governmental interest,0.0008544921875,0.9917421340942384,0.4907668828964233,0.5454545454545455,0.5454545454545455,What was the only situation in which a racial classification could be considered acceptable?,1
76,"Kansas City, Kansas.",Kansas City,0.0008246898651123,0.5117895603179932,0.9406465888023376,0.8,0.8,In what city can KU's hospital be found?,1
77,News and Information and Strategic Communication.,News and Information and Strategic Communication,0.0008292198181152,0.5815351009368896,0.9835270047187804,1.0,1.0,What are the two different programs offered at KU's Schoold of Journalism?,1
78,"School of Architecture, Design, and Planning.","The University of Kansas School of Architecture, Design, and Planning",0.000819444656372,0.6525003910064697,0.8426446914672852,0.7499999999999999,0.7499999999999999,What KU school is abbreviated as SADP?,1
79,6,five,0.0007777214050292,0.4006350040435791,0.7472491264343262,0.0,0.0,How many sectors make up the Kathmandu metropolitan area?,0
80,"Harvard University, University of North Carolina at Chapel Hill, University of Texas, and Princeton University had lawsuits filed against them.",University of Texas,0.0008020401000976,1.1911911964416504,0.4788897335529327,0.2608695652173913,0.2608695652173913,Which University had a lawsuit filed against it?,1
81,"A study by Geoffrey Maruyama and José F. Moreno found that faculty members believed diversity helps students reach educational goals, has no detrimental effects on Caucasian students, and improves multicultural learning.",helps students to reach the essential goals of a college education,0.000859260559082,1.6690559387207031,0.3620188236236572,0.2857142857142857,0.1904761904761904,What did a study claim about the beliefs of faculty members on increased diversity?,1
82,U.S. Senator Robert F. Wagner of New York.,Senator Robert F. Wagner,0.0008366107940673,0.75978684425354,0.8960556983947754,0.6153846153846153,0.6153846153846153,Who was the author of the National Labor Relations Act?,1
83,The Association of American Universities (AAU) has 62 member institutions.,62,0.0008182525634765,0.8709139823913574,0.1933627277612686,0.1818181818181818,0.1818181818181818,How many insititutions comprise the Association of American Universities' membership?,1
84,1924.,1924,0.0007960796356201,0.4922657012939453,0.96939617395401,1.0,1.0,The Quarter Century Club began in this year.,1
85,4 executive orders were issued to help prevent discrimination.,two,0.0007939338684082,0.7468516826629639,0.0978656411170959,0.0,0.0,How many types are Nepali works of art typically divided into?,0
86,Racial minorities.,racial minorities,0.0008678436279296,0.4734165668487549,0.9310485124588012,1.0,1.0,Affirmative action attempts to ask institutions to grant extra consideration to what group of people outside of Native Americans and women?,1
87,KANU.,KANU,0.0007836818695068,0.4949910640716553,0.967347264289856,1.0,1.0,What are the call letters of the National Public Radio affiliate that broadcasts from KU?,1
88,The African American Policy Forum (AAPF) believed in the class based argument.,African American Policy Forum,0.0008137226104736,0.9158754348754884,0.6601082682609558,0.5,0.5,Which organization believed in the class based argument?,1
89,Proposition 209.,Proposition 209,0.000852346420288,0.4927048683166504,0.9721108675003052,1.0,1.0,Which legislative work prohibited the use of racial preferences for admissions in the state of California?,1
90,Resveratrol.,resveratrol,0.000840425491333,0.5055649280548096,0.9695053696632384,1.0,1.0,What substance is absorbed by wine when grapes are fermented with their skins?,1
91,The School of the Arts and the School of Public Affairs & Administration.,the School of the Arts and the School of Public Affairs & Administration,0.0008304119110107,0.8277575969696045,0.978852152824402,1.0,1.0,What are two parts of the University of Kansas house in the College of Liberal Arts and Sciences?,1
92,The Project on Fair Representation.,Project on Fair Representation,0.0008089542388916,0.542504072189331,0.9716246128082277,0.888888888888889,0.888888888888889,What is the Students for Fair Admissions an offshoot of?,1
93,Vitis vinifera.,Vitis vinifera,0.0007715225219726,0.5415546894073486,0.9830338358879088,1.0,1.0,What species of grape are grown by Black Monukka?,1
94,Print and online.,print and online,0.0007185935974121,0.4949250221252441,0.916192352771759,1.0,1.0,In what two forms of media is the Daily Kansan available?,1
95,Legacy admissions.,legacy admissions,0.0007927417755126,0.4582312107086181,0.9618240594863892,1.0,1.0,What is another term for kids who get preferential treatment due to their parents attending the same university?,1
96,1976.,1976,0.0007252693176269,0.4966170787811279,0.9464104771614076,1.0,1.0,"When was the suffix ""in St. Louis"" added to Washington University?",1
97,Education.,education,0.0008034706115722,0.3998126983642578,0.8862890601158142,1.0,1.0,What did Reformers increase so that their followers could read the Bible?,1
98,"The Court ruled that universities can set ""goals"" and ""timetables"" for diversity.","""goals"" and ""timetables"" for diversity could be set",0.0007784366607666,1.0416550636291504,0.6720025539398193,0.6,0.5,"Instead of being allowed to set numerical targets, what did the Court rule that universities are allowed to do?",1
99,"After the Nixon administration, advancements in affirmative action became less prevalent, with the Ford administration taking a back seat on the issue.",became less prevalent,0.0008711814880371,1.2359061241149902,0.4372230768203735,0.24,0.24,"In terms of advancement, what happened to the progression of affirmative action after the Nixon administration?",1
100,"Amos Adams Lawrence donated $10,000 of the necessary endowment fund.",Amos Adams Lawrence,0.0008296966552734,0.91037917137146,0.6530429124832153,0.4285714285714285,0.4285714285714285,Who provided the majority of the money needed to secure the site of the University of Kansas?,1
101,Kansas Governor Thomas Carney.,the Kansas State Legislature,0.0007915496826171,0.5364701747894287,0.5569332838058472,0.25,0.25,Who authorized the opening of the University of Kansas?,0
102,70 times.,70,0.0008003711700439,0.4708433151245117,0.5743775963783264,0.6666666666666666,0.6666666666666666,How old was Eisenhower in 1960?,1
103,"26,968 students.","26,968",0.000723123550415,0.5683376789093018,0.6231793165206909,0.8,0.8,How many students attended the University of Kansas combined in fall of 2014?,1
104,Deuteronomy.,Deuteronomy,0.0008549690246582,0.4451043605804443,0.9805526733398438,1.0,1.0,In which book of the Bible are limitations on Jewish monarchs outlined?,1
105,Adult learners can obtain college degrees through the Edwards Campus of the University of Kansas.,college degrees,0.0008594989776611,0.9376695156097412,0.5154876112937927,0.2352941176470588,0.2352941176470588,What can adult learners obtain through studying at the Edwards Campus of the University of Kansas?,1
106,The Work Group for Community Health and Development.,the Work Group for Community Health and Development,0.0008330345153808,0.5766890048980713,0.9931275844573976,1.0,1.0,What body is responsible for managing the Community Tool Box?,1
107,Richard Sander.,Richard Sander,0.0008008480072021,0.4782190322875976,0.9837474822998048,1.0,1.0,Who claims that artificially raising minority students into schools has a negative effect on them?,1
108,Matthew Porubsky.,Matthew Porubsky,0.0008351802825927,0.534048318862915,0.9808170795440674,1.0,1.0,What is the name of the poet who won the Nelson award in 2006?,1
