idx,generated_response,ground_truth,load_knowledge_time,generate_time,bert_score
0, Keurig,"Waterbury, Vermont.",0.14377474784851074,23.719821214675903,0.14062896370887756
1, Ron Underwood has written more screenplays.,David Siegel,0.14020013809204102,25.075597286224365,0.16858409345149994
2, Tom Jackson,Thomas Dale Jackson,0.1421515941619873,23.38710594177246,0.7759463787078857
3," 2,000","around 2,000 shops",0.1464066505432129,23.881526947021484,0.4709088206291199
4, Musician,vocalist,0.1443028450012207,23.469157695770264,0.6798537373542786
5, Bojan Krkić,Bojan Krkić Pérez,0.3367142677307129,24.322795152664185,0.8271092772483826
6, 814.,"6,025",0.14075112342834473,23.598998069763184,0.2856110632419586
7, United States.,United States,0.33112359046936035,23.74101948738098,0.9286460876464844
8, Rachel Griffiths,Cate Blanchett,0.31946563720703125,23.863882780075073,0.34052038192749023
9," Sydney, Australia",Sydney,0.1590578556060791,23.603973150253296,0.9122502207756042
10, Victory Through Air Power,Zoo,0.14602208137512207,24.0568208694458,-0.0008973600342869759
11, graduate studies.,postgraduate education,0.32830381393432617,23.6806902885437,0.6620795130729675
12, My Mad Fat Diary,My Mad Fat Diary,0.1362929344177246,23.979035139083862,1.0
13," ""He Stopped Loving Her Today""",He Stopped Loving Her Today,0.33310461044311523,24.821929931640625,0.8936569094657898
14, Tokyo,Tokyo,0.14684438705444336,23.272172212600708,1.0
15, Michael Jackson,"""King of Pop""",0.14362287521362305,23.487393379211426,0.3722109794616699
16, 300.,300,0.15021538734436035,23.775137901306152,0.932232141494751
17, Tarzan,Tarzan,0.14878416061401367,23.377846479415894,1.0000001192092896
18, Cathay Pacific,Cathay Pacific,0.13763761520385742,23.681169033050537,1.0000001192092896
19," Las Vegas, Nevada.","Las Vegas, Nevada",0.1353294849395752,24.115970611572266,0.9732741713523865
20, Harold Macmillan,Maurice Harold Macmillan,0.1353931427001953,23.916680812835693,0.953262448310852
21, Southend United F.C.,Southend United Football Club,0.335432767868042,24.369582891464233,0.836213231086731
22, USS Yorktown (CV-10),USS Yorktown,0.15230202674865723,24.783945560455322,0.8645598888397217
23, Ginza,Ginza,0.33215808868408203,23.372527360916138,0.9999999403953552
24, 1988,1988,0.1563398838043213,23.67731523513794,1.0
25, The Borrowers.,The Borrowers,0.13498282432556152,24.114946365356445,0.982465386390686
26, Yes.,yes,0.14461755752563477,23.443808794021606,0.836855947971344
27, Bosnian Coarse-haired Hound,Bosanski Oštrodlaki Gonič,0.1404881477355957,24.962791442871094,0.2561019957065582
28," Carrollton, Georgia.",Carroll County,0.15150213241577148,24.205562353134155,0.6378120183944702
29, Oahu,Oahu,0.12637019157409668,23.481539964675903,1.0
30, Bubba Sparxxx,Warren Anderson Mathis,0.13669085502624512,24.16386127471924,0.18324941396713257
31," The Bureau of Land Management (BLM) manages the conservation area near the planned community in Las Vegas called ""The Lakes"".",the Bureau of Land Management,0.15490031242370605,28.84430980682373,0.5590022206306458
