idx,generated_response,ground_truth,reset_cache_time,generate_time,bert_score
0, Hans Urs von Balthasar,Hans Urs von Balthasar,0.0005304813385009766,1.6988534927368164,1.0000001192092896
1, Jonathan McDaniel,Jonathan Richard McDaniel,0.0005526542663574219,0.942070722579956,0.959945023059845
2," ""The Devil and Daniel Johnston""",The Devil and Daniel Johnston,0.0005080699920654297,1.8635411262512207,0.9655608534812927
3, British,Welsh,0.0005106925964355469,0.4930915832519531,0.5813308954238892
4, Prince Royce,Prince Royce,0.0005066394805908203,0.9570803642272949,1.0000001192092896
5, Plant genera.,genus of flowering plants,0.0005130767822265625,0.9562075138092041,0.6745085120201111
6, Socks,Socks,0.0005047321319580078,0.7424802780151367,1.0
7, The Nobel Peace Prize.,Nobel Peace Prize,0.0005016326904296875,1.4196348190307617,0.9290430545806885
8, The Whig Party.,Whig Party,0.0004973411560058594,1.435502529144287,0.96125727891922
9, Ulster,Ulster,0.0004992485046386719,0.728567361831665,0.9999999403953552
10," August 6, 1965","August 6, 1965",0.0005071163177490234,1.887047290802002,1.0
11, Woody Harrelson,Woody Harrelson,0.0005068778991699219,1.2018449306488037,1.0000001192092896
12, None,South Florida Bulls,0.0004978179931640625,0.5144004821777344,0.20034940540790558
13, Michele Bachmann,"Michele Bachmann,",0.0005099773406982422,0.9765753746032715,0.9847890138626099
14, Dante,Dante Bonfim Costa Santos (born 18 October 1983),0.0005114078521728516,0.504868745803833,0.5722016096115112
15, Speak Now,Speak Now,0.0004947185516357422,0.7535989284515381,1.0
16, The Battle of Albany.,Battle of Albany,0.0005056858062744141,1.4502184391021729,0.9678415656089783
17," 161,791","161,791",0.0005185604095458984,1.2071900367736816,0.9999999403953552
18, The English Lake District.,English Lake District,0.0004987716674804688,1.4380533695220947,0.973181426525116
19, Bruno Senna,Bruno Senna Lalli,0.0005097389221191406,0.9770214557647705,0.8334563970565796
20, 2014 World Junior Ice Hockey Championships,"Malmö, Sweden",0.0005125999450683594,2.141220808029175,0.22020217776298523
21, Robert Pinsky is older.,Robert Pinsky,0.0005018711090087891,1.6894340515136719,0.821935772895813
22, Stan Lee,Stan Lee and Jack Kirby,0.0005099773406982422,0.7547671794891357,0.7625184059143066
23, Look Back in Anger (1989 film),Look Back in Anger,0.0005090236663818359,2.68019962310791,0.7099087238311768
24, Michael Stone,Michael Stone,0.0005125999450683594,0.7771763801574707,1.0000001192092896
25," April 28, 1988","April 28, 1988",0.0004982948303222656,1.9700345993041992,1.0
26, The Hudsucker Proxy.,The Hudsucker Proxy,0.0005025863647460938,1.728226661682129,0.9705431461334229
27, Scott Sidney,Scott Sidney,0.0005068778991699219,0.7626197338104248,1.0
28, The Zapatista Army of National Liberation (EZLN),Zapatista Army of National Liberation,0.0005078315734863281,3.1759610176086426,0.9048783779144287
29, Bear Hands has more members.,Bear Hands,0.0005059242248535156,1.7257156372070312,0.7994711399078369
30, General Zod,General Zod,0.0005109310150146484,1.0032439231872559,1.0000001192092896
31, Philip Montgomery.,Philip Montgomery,0.0005080699920654297,1.0058984756469727,0.9808812737464905
