idx,generated_response,ground_truth,ir_time,generate_time,bert_score
0,Yup'ik.,Eskimo,0.275162935256958,3.4845218658447266,0.16696026921272278
1,1943.,1943,0.358142614364624,2.3697705268859863,0.9630140662193298
2,Gunsmoke.,Gunsmoke,0.269550085067749,2.527674913406372,0.9772838950157166
3,1938,1938,0.2599663734436035,2.5104787349700928,1.0
4,Sonja Henie.,Sonja Henie,0.44515013694763184,2.369126558303833,0.9820499420166016
5,Dermot Murnaghan,Dermot Murnaghan,0.40240478515625,2.5580339431762695,1.0
6,Kaunas Airport.,Kaunas Aerodrome,0.44296836853027344,2.3064630031585693,0.8539227247238159
7,Debut,One Little Indian and Elektra Records,0.3329005241394043,1.9927608966827393,0.22705121338367462
8,Garry Marshall.,Garry Kent Marshall,0.43387532234191895,2.111240863800049,0.9028659462928772
9,Australopithecus afarensis.,"""Australopithecus afarensis""",0.43004846572875977,3.0553929805755615,0.9440664052963257
10,1991,1854,0.40482616424560547,1.972646951675415,0.41981154680252075
11,"Kat Dennings played in the 2008 romantic comedy-drama film ""Nick & Norah's Infinite Playlist"" directed by Peter Sollett.",Kat Dennings,0.346773624420166,3.6168947219848633,0.6384996771812439
12,Football.,English football,0.2795748710632324,2.3243191242218018,0.755384087562561
13,"June 16, 2016.","June 16, 2016",0.29518723487854004,2.493337392807007,0.9822372198104858
14,"The Gandharvas was formed in 1989, while Galt Aureus was formed in 2005.",The Gandharvas,0.3162708282470703,3.920637607574463,0.56352698802948
15,2012,2012,0.3338449001312256,2.176521062850952,1.0000001192092896
16,Phil Taylor,The Power,0.27852892875671387,2.4401626586914062,0.17669574916362762
17,"Oaxaca, which is divided into 570 municipalities.",570,0.3806023597717285,3.016707420349121,0.31136760115623474
18,", matte artist, and photographer. His feature directorial debut was the 1981 release """". The next film he directed was the science fiction action thriller ""The Terminator"" (1984). It starred Arnold Schwarzenegger as the titular cyborg assassin, and was Cameron's breakthrough feature. In 1986, he directed and wrote the science fiction action sequel ""Aliens"" starring Sigourney Weaver. He followed this by directing another science fiction film ""The Abyss"" (1989). In 1991, Cameron directed the sequel to ""The Terminator"", """" (with Schwarzenegger reprising his role), and also executive produced the action crime film ""Point Break"". Three years later he directed a third Schwarzenegger-starring action film ""True Lies"" (1994).

Leslie Perri: 
Leslie Perri (died 1970) was the pen name of Doris Marie Claire ""Doë"" Baumgardt, an American science fiction fan, writer, and illustrator. She was a member of the Futurians, the influential science fiction fan club. Through her Futurian connections, she also edited minor romance fiction magazines. Baumgardt was married to two fellow science fiction writers and Futurians, first to Frederik Pohl, later to Richard Wilson. She was also married to Thomas Llewellyn Owens, an American painter. She had two children, Margot Owens, with Owens, and Richard David Wilson with Wilson. She became a reporter and journalist while married to Wilson. Wilson was, at the time, the bureau chief for the Reuters wire service in New York City. He left Reuters and went on to Syracuse University, where he founded a science fiction works collection said to be one of the most important in the world. Her grandson, Dirk Llewellyn van der Meulen, is named for ""Dirk Wylie"" (Harry Dockweiler) the science fiction poet and member of the Futurians.

Universal Soldier: Day of Reckoning: 
Universal Soldier: Day of Reckoning (formerly known as Universal Soldier: A New Dimension) is a 2012 American science fiction action film co-written, co-edited and directed by John Hyams. The film stars Jean-Claude Van Damme, Dolph Lundgren, Scott Adkins and Andrei ""The Pit Bull"" Arlovski. It is the fourth and final theatrical installment in the ""Universal Soldier series"".

Bullet to the Head: 
Bullet to the Head is a 2012 American action thriller film directed by Walter Hill. The screenplay by Alessandro Camon was based on the French graphic novel ""Du Plomb Dans La Tête"" written by Matz and illustrated by Colin Wilson. The film stars Sylvester Stallone, Sung Kang, Sarah Shahi, Adewale Akinnuoye-Agbaje, Christian Slater, and Jason Momoa. Alexandra Milchan, Alfred Gough, Miles Millar, and Kevin King-Templeton produced the film. The movie follows a hitman and a cop who are forced to work together to bring down a corrupt businessman and mafia boss after they are targeted by the latter's associates.
        ------------------------------------------------
        Answer the question with a super short answer.
        Question:
        ""Shot in the Dark"" is a single from an album released by which record label?
        
        assistant
         Roadrunner Records.",Roadrunner Records,0.32514238357543945,2.3898096084594727,-0.035214029252529144
