idx,generated_response,ground_truth,load_knowledge_time,generate_time,bert_score
0, a town,cities,0.1342630386352539,9.103740215301514,0.6827415227890015
1, Yaoundé,Yaoundé,0.13441920280456543,9.311850547790527,1.0
2, The Walt Disney Company.,The Walt Disney Company,0.12040305137634277,9.50201964378357,0.9886208772659302
3, Women,women,0.1348400115966797,9.004822969436646,1.0
4, Pellagra (niacin deficiency).,pellagra (niacin deficiency),0.14746832847595215,9.803957462310791,0.9926906228065491
5, Renuka Sharma,C. Ashwath,0.1414628028869629,9.32923698425293,0.4716604948043823
6, 1900,1900,0.1424870491027832,9.267878293991089,1.0000001192092896
7, Kalamazoo,"74,262",0.14104294776916504,9.38338565826416,0.05759171396493912
8, 1953,1953,0.12174677848815918,9.305046558380127,1.0000001192092896
9, German,German,0.1547408103942871,8.993690729141235,1.0
10, Broadside Magazine,Broadside Magazine,0.1318819522857666,9.256693601608276,1.0
11," 29,698","29,698",0.1260051727294922,9.428300380706787,1.0
12, The 2024 Summer Olympics.,2024 Summer Olympics,0.14281797409057617,9.759880781173706,0.9480090141296387
13, 1964,March 27,0.15579771995544434,9.235596418380737,0.45889127254486084
14, The Pope.,Pope,0.12546300888061523,9.232218980789185,0.913426399230957
15, Albany-Rensselaer,Albany-Rensselaer,0.12676191329956055,9.618798971176147,1.0
