idx,generated_response,ground_truth,reset_cache_time,generate_time,bert_score
0, McLaren,McLaren Automotive,0.0005125999450683594,0.33939433097839355,0.8994606137275696
1, The top priority of the company formerly known as EyeTech Pharmaceuticals is oncology.,oncology,0.0005240440368652344,2.18224835395813,0.5350831151008606
2," J Brand, Comptoir des Cotonniers, G.U., Princesse Tam-Tam, and Theory.",J Brand,0.00048160552978515625,3.3464195728302,0.37445855140686035
3, 1997 UEFA Champions League Final,The 1997 UEFA Champions League Final,0.0004990100860595703,1.0664339065551758,0.9895355701446533
4, Danish,Danish,0.0005359649658203125,0.2802696228027344,1.0
5, The Beatles,the Beatles,0.0004935264587402344,0.41092681884765625,1.0
6, Susan Carland,Susan Carland,0.0004990100860595703,0.5504238605499268,1.0
7, Helios,Argonauts Augeas,0.00047469139099121094,0.4166834354400635,0.21864961087703705
8, The Wizard of Odds,Jeopardy!,0.0004782676696777344,0.6897733211517334,0.37337151169776917
9, Carter County,Rowan,0.00047969818115234375,0.41512012481689453,0.12979641556739807
10, December,December,0.00048160552978515625,0.2942075729370117,1.0
11, 1977,1977,0.0004749298095703125,0.5473487377166748,1.0
12, Natalia Goncharova,Natalia Goncharova,0.00048089027404785156,0.8141782283782959,1.0000001192092896
13, Yes.,yes,0.00048661231994628906,0.4280705451965332,0.836855947971344
14, James Stewart,James Maitland,0.0004749298095703125,0.4187159538269043,0.4686170220375061
15, 1902,1902,0.0004773139953613281,0.5627715587615967,0.9999999403953552
