idx,generated_response,ground_truth,ir_time,generate_time,bert_score
0,Pumping Iron (1985) came out before Go Further (2003).,Pumping Iron,0.0009391307830810547,2.3897666931152344,0.707251787185669
1,1st Infantry Division.,The Big Red One,0.0008881092071533203,0.44066357612609863,0.21228468418121338
2,Mothercare.,Mothercare,0.0007650852203369141,0.2887876033782959,0.967211127281189
3,"I don't have information about a 2016 Indian epic historical drama film written and directed by Jayaraj and adapted from a William Shakespeare play, and starring Jeff Rona.",Macbeth,0.0007810592651367188,1.9162888526916504,0.3254588544368744
4,National Stock Exchange of India (NSE),National Stock Exchange of India,0.0008003711700439453,0.539165735244751,0.8695459365844727
5,Nathalie Baye.,Nathalie Baye,0.0007910728454589844,0.3879411220550537,0.9878737926483154
6,1953,1957,0.0007381439208984375,0.29265809059143066,0.7415435314178467
7,Manuel Noriega.,Manuel Noriega,0.0006539821624755859,0.3869032859802246,0.9887243509292603
8,"2010 (as a band), but the song ""I Can Talk"" was released in 2009.",2007,0.0006101131439208984,1.2763912677764893,0.46853941679000854
9,Snoop Dogg.,Tupac Shakur,0.0007584095001220703,0.35881733894348145,0.5391192436218262
10,Helen Magnus.,Helen Magnus,0.0006871223449707031,0.2929081916809082,0.9794168472290039
11,"Paul Rodgers has performed in more bands, including Free, Bad Company, The Firm, and The Law, while Rob Beckley has performed in Pillar.",Paul Bernard Rodgers,0.0006058216094970703,1.6699814796447754,0.5016749501228333
12,Kirsten Dunst.,Kirsten Caroline Dunst,0.0007627010345458984,0.3897533416748047,0.8923103213310242
13,Walt Disney Pictures.,Jeremy Paul Kagan,0.0007386207580566406,0.3412189483642578,0.1554863601922989
14,"Winfield, Kansas.","Winfield, Kansas, United States",0.0006678104400634766,0.3919508457183838,0.9341657161712646
15,Atlantic Islands of Galicia National Park.,Atlantic Islands of Galicia National Park,0.0007185935974121094,0.5381886959075928,0.9891814589500427
