KVcache prepared in 32.56693243980408 seconds
[0]: Semantic Similarity: 0.1622,	 cache time: 0.0,	 generate time: 1.035994291305542
[0]: [Cumulative]: Semantic Similarity: 0.1622,	 cache time: 0.0,	 generate time: 1.035994291305542
[1]: Semantic Similarity: 0.9708,	 cache time: 2.384185791015625e-07,	 generate time: 0.7362728118896484
[1]: [Cumulative]: Semantic Similarity: 0.5665,	 cache time: 1.1920928955078125e-07,	 generate time: 0.8861335515975952
[2]: Semantic Similarity: 0.91525,	 cache time: 2.384185791015625e-07,	 generate time: 0.9795327186584473
[2]: [Cumulative]: Semantic Similarity: 0.68275,	 cache time: 1.5894571940104166e-07,	 generate time: 0.9172666072845459
[3]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.5111191272735596
[3]: [Cumulative]: Semantic Similarity: 0.76206,	 cache time: 1.7881393432617188e-07,	 generate time: 0.8157297372817993
[4]: Semantic Similarity: 0.75123,	 cache time: 2.384185791015625e-07,	 generate time: 0.5129966735839844
[4]: [Cumulative]: Semantic Similarity: 0.7599,	 cache time: 1.9073486328125e-07,	 generate time: 0.7551831245422364
[5]: Semantic Similarity: 0.38728,	 cache time: 2.384185791015625e-07,	 generate time: 5.040289402008057
[5]: [Cumulative]: Semantic Similarity: 0.69779,	 cache time: 1.986821492513021e-07,	 generate time: 1.469367504119873
[6]: Semantic Similarity: 0.24582,	 cache time: 4.76837158203125e-07,	 generate time: 1.242649793624878
[6]: [Cumulative]: Semantic Similarity: 0.63323,	 cache time: 2.384185791015625e-07,	 generate time: 1.4369792597634452
[7]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 1.0235316753387451
[7]: [Cumulative]: Semantic Similarity: 0.67907,	 cache time: 2.384185791015625e-07,	 generate time: 1.3852983117103577
[8]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 1.0124619007110596
[8]: [Cumulative]: Semantic Similarity: 0.71473,	 cache time: 2.384185791015625e-07,	 generate time: 1.3438720438215468
[9]: Semantic Similarity: 0.87225,	 cache time: 2.384185791015625e-07,	 generate time: 1.4937949180603027
[9]: [Cumulative]: Semantic Similarity: 0.73048,	 cache time: 2.384185791015625e-07,	 generate time: 1.3588643312454223
[10]: Semantic Similarity: 0.21999,	 cache time: 2.384185791015625e-07,	 generate time: 0.7632129192352295
[10]: [Cumulative]: Semantic Similarity: 0.68407,	 cache time: 2.384185791015625e-07,	 generate time: 1.3047142028808594
[11]: Semantic Similarity: 0.72375,	 cache time: 2.384185791015625e-07,	 generate time: 0.7609622478485107
[11]: [Cumulative]: Semantic Similarity: 0.68738,	 cache time: 2.384185791015625e-07,	 generate time: 1.259401539961497
[12]: Semantic Similarity: 0.57143,	 cache time: 2.384185791015625e-07,	 generate time: 0.5237593650817871
[12]: [Cumulative]: Semantic Similarity: 0.67846,	 cache time: 2.384185791015625e-07,	 generate time: 1.2028136803553655
[13]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 1.4831185340881348
[13]: [Cumulative]: Semantic Similarity: 0.70143,	 cache time: 2.384185791015625e-07,	 generate time: 1.2228354556219918
[14]: Semantic Similarity: 0.56257,	 cache time: 2.384185791015625e-07,	 generate time: 1.9697201251983643
[14]: [Cumulative]: Semantic Similarity: 0.69217,	 cache time: 2.384185791015625e-07,	 generate time: 1.2726277669270833
[15]: Semantic Similarity: 0.68805,	 cache time: 2.384185791015625e-07,	 generate time: 1.019624948501587
[15]: [Cumulative]: Semantic Similarity: 0.69191,	 cache time: 2.384185791015625e-07,	 generate time: 1.2568150907754898
[16]: Semantic Similarity: 0.35836,	 cache time: 2.384185791015625e-07,	 generate time: 0.7723212242126465
[16]: [Cumulative]: Semantic Similarity: 0.67229,	 cache time: 2.384185791015625e-07,	 generate time: 1.2283154515659107
[17]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.5231940746307373
[17]: [Cumulative]: Semantic Similarity: 0.6905,	 cache time: 2.384185791015625e-07,	 generate time: 1.1891420417361789
[18]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 1.025627613067627
[18]: [Cumulative]: Semantic Similarity: 0.70679,	 cache time: 2.384185791015625e-07,	 generate time: 1.180536019174676
[19]: Semantic Similarity: 1.0,	 cache time: 4.76837158203125e-07,	 generate time: 0.5350947380065918
[19]: [Cumulative]: Semantic Similarity: 0.72145,	 cache time: 2.5033950805664064e-07,	 generate time: 1.1482639551162719
[20]: Semantic Similarity: 0.57244,	 cache time: 2.384185791015625e-07,	 generate time: 0.7626669406890869
[20]: [Cumulative]: Semantic Similarity: 0.71435,	 cache time: 2.497718447730655e-07,	 generate time: 1.1299021925245012
[21]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 1.00075364112854
[21]: [Cumulative]: Semantic Similarity: 0.72734,	 cache time: 2.492557872425426e-07,	 generate time: 1.1240318038246848
[22]: Semantic Similarity: 0.98565,	 cache time: 2.384185791015625e-07,	 generate time: 1.4954631328582764
[22]: [Cumulative]: Semantic Similarity: 0.73857,	 cache time: 2.487846042798913e-07,	 generate time: 1.1401809920435366
[23]: Semantic Similarity: 0.69502,	 cache time: 2.384185791015625e-07,	 generate time: 0.7617084980010986
