KVcache prepared in 61.66068744659424 seconds
[0]: Semantic Similarity: 0.1622,	 cache time: 2.384185791015625e-07,	 generate time: 1.4228384494781494
[0]: [Cumulative]: Semantic Similarity: 0.1622,	 cache time: 2.384185791015625e-07,	 generate time: 1.4228384494781494
[1]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.6996104717254639
[1]: [Cumulative]: Semantic Similarity: 0.5811,	 cache time: 2.384185791015625e-07,	 generate time: 1.0612244606018066
[2]: Semantic Similarity: 0.95489,	 cache time: 2.384185791015625e-07,	 generate time: 1.0262424945831299
[2]: [Cumulative]: Semantic Similarity: 0.70569,	 cache time: 2.384185791015625e-07,	 generate time: 1.0495638052622478
[3]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.6984200477600098
[3]: [Cumulative]: Semantic Similarity: 0.77927,	 cache time: 2.384185791015625e-07,	 generate time: 0.9617778658866882
[4]: Semantic Similarity: 0.75123,	 cache time: 2.384185791015625e-07,	 generate time: 0.7061738967895508
[4]: [Cumulative]: Semantic Similarity: 0.77366,	 cache time: 2.384185791015625e-07,	 generate time: 0.9106570720672608
[5]: Semantic Similarity: 0.38728,	 cache time: 2.384185791015625e-07,	 generate time: 7.014918327331543
[5]: [Cumulative]: Semantic Similarity: 0.70927,	 cache time: 2.384185791015625e-07,	 generate time: 1.9280339479446411
[6]: Semantic Similarity: 0.33982,	 cache time: 2.384185791015625e-07,	 generate time: 1.7608230113983154
[6]: [Cumulative]: Semantic Similarity: 0.65649,	 cache time: 2.384185791015625e-07,	 generate time: 1.904146671295166
[7]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 1.418778896331787
[7]: [Cumulative]: Semantic Similarity: 0.69943,	 cache time: 2.384185791015625e-07,	 generate time: 1.8434756994247437
[8]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 1.39774751663208
[8]: [Cumulative]: Semantic Similarity: 0.73282,	 cache time: 2.384185791015625e-07,	 generate time: 1.7939503457811143
[9]: Semantic Similarity: 0.87225,	 cache time: 2.384185791015625e-07,	 generate time: 2.067864418029785
[9]: [Cumulative]: Semantic Similarity: 0.74677,	 cache time: 2.384185791015625e-07,	 generate time: 1.8213417530059814
[10]: Semantic Similarity: 0.21999,	 cache time: 2.384185791015625e-07,	 generate time: 1.0664081573486328
[10]: [Cumulative]: Semantic Similarity: 0.69888,	 cache time: 2.384185791015625e-07,	 generate time: 1.7527114261280408
[11]: Semantic Similarity: 0.72375,	 cache time: 2.384185791015625e-07,	 generate time: 1.0637576580047607
