idx,generated_response,ground_truth,load_knowledge_time,generate_time,bert_score
0, Aechmea has more species.,Aechmea,88.29872608184814,95.02634501457214,0.6759329438209534
1, Horse & Hound,Horse & Hound,88.16090536117554,93.13655829429626,1.0000001192092896
2," Lamont Johnson was born first, in 1922.",Robert Rossen,87.88108348846436,96.32114434242249,0.25581151247024536
3, Jamie Lee Curtis,Jamie Lee Curtis,88.3397057056427,92.8793683052063,1.0
4, Elisabeth of Bohemia,"Frederick V, Elector Palatine",88.1548490524292,93.57207417488098,0.35401082038879395
5, Christian Brothers University,Christian Brothers University,88.12005639076233,92.65336155891418,1.0
6, Ubisoft,Ubisoft,87.90427422523499,91.57894802093506,1.0000001192092896
7, 1987,"October 8, 1943",87.79777264595032,92.35369372367859,0.48874765634536743
8," No, they are not both Japanese.",no,88.29623556137085,95.01781797409058,0.18274840712547302
9, David Hasselhoff,David Hasselhoff,88.02866315841675,93.02647924423218,0.9999999403953552
10, Wang Xuwen,Jeremy Fritz,88.02980709075928,92.61092901229858,0.31971475481987
11, Yes.,yes,88.09147882461548,92.21939277648926,0.836855947971344
12, Maxwell,"May 23, 1973",88.27811932563782,91.96884393692017,0.049249015748500824
13, United States.,United States,88.24060869216919,92.77257895469666,0.9286460876464844
14, Banque Cantonale Vaudoise,Bata Shoes,88.11591124534607,94.61060523986816,0.10751037299633026
15, conservative Democrats,conservative Democrats.,88.10226726531982,92.22596597671509,0.9617209434509277
16, 2009,25 episodes,87.9053635597229,92.47763204574585,0.282919704914093
17, The Nakoda (also known as Stoney or Îyârhe Nakoda) are an indigenous people in Western Canada.,Nakoda,87.9407651424408,101.95616960525513,0.6469112634658813
18, 1986,1986,87.86690187454224,92.40532159805298,1.0000001192092896
19, Over the Rainbow,Voice,88.07735204696655,92.62345695495605,0.21120811998844147
20, Pedro Sienna,Herbert Achternbusch,87.93437314033508,92.48648643493652,0.151297926902771
21," Warriors, Inc.",Warrior Publishing Group,88.13041186332703,93.34381198883057,0.5985550880432129
22, 5 years,eight-month period,87.88748526573181,92.66021800041199,0.40298017859458923
23, Disney,Walt Disney,88.35167169570923,92.02403044700623,0.8331360816955566
24, GrassrootsPA,GrassrootsPA,88.07762408256531,92.83907532691956,1.0
25, Myreside Stadium,Newton Village Sports Complex,87.89595985412598,92.8670482635498,0.480974018573761
26, The Portuguese Podengo is a multi-sensory hound (sight and scent) breed.,Portuguese Podengo,87.93117809295654,99.80167126655579,0.6617553234100342
27, 2013,2013,88.02834057807922,92.58062434196472,1.0
28, Isabelle Huppert,Isabelle Huppert,88.12828826904297,93.53282189369202,1.0
29, Ohio,Ohio,87.98813271522522,91.87877559661865,1.0
30, Pearson's Magazine,The Little Review,88.13865661621094,92.92355561256409,0.30995404720306396
31, Weimar,Grossherzogliches (Grand Ducal) Theater,88.15955114364624,92.28072261810303,0.30506402254104614
32, Spring Forward,Girlfight,88.10492396354675,92.21370315551758,0.24892465770244598
33, Moda Center,"the Rose Garden,",88.36207818984985,92.90444159507751,0.24585023522377014
34, The Far Eastern Fells,English Lake District,88.34541296958923,93.97093081474304,0.13031801581382751
35, Yes.,yes,87.9216845035553,92.25649213790894,0.836855947971344
36, Lynn Dickey,Lynn Dickey,88.11754369735718,92.66295099258423,1.0
37," Athens, Greece","Athens, Greece",88.09954714775085,92.65692520141602,1.0
38, Jackie Joyner-Kersee,heptathlon as well as long jump,87.90599203109741,93.95595836639404,0.1432805359363556
39, CHO,CHO,88.09748411178589,92.00222611427307,0.9999998807907104
40," Worcester, Massachusetts.","Worcester, Massachusetts, United States",88.36862277984619,93.36112809181213,0.9443970918655396
41, Doubles,doubles,88.12647342681885,92.22989225387573,1.0
42, I-22,BNSF railway,88.14192032814026,92.6821882724762,0.19470933079719543
43, Koelreuteria,Koelreuteria,88.33326292037964,93.95604634284973,0.9999999403953552
44, Dutch,Dutch,87.92355585098267,91.61231565475464,1.0
45, 1991,1991,88.35629725456238,92.90848326683044,1.0
46, Kuchipudi,Kuchipudi,88.08113527297974,93.06101250648499,1.0
47, reach space.,reach space,88.16183376312256,92.71735429763794,0.9417470097541809
48, Yes.,yes,88.35467457771301,92.46737098693848,0.836855947971344
49, The Air National Guard.,public,88.12549114227295,93.54592037200928,0.17349478602409363
50, The Transylvanian Hound is smaller than the Bedlington Terrier.,Bedlington Terrier,88.41437792778015,98.3501706123352,0.6294529438018799
51, Alonzo Mourning,Alonzo Mourning,88.34766554832458,93.73215126991272,1.0
52, Norway,"Bergen, Norway",87.93445754051208,91.62063670158386,0.7305799722671509
53, Osama,Osama,88.2597815990448,91.93828225135803,0.9999999403953552
54, World War II,World War II,87.99560189247131,92.5484664440155,1.0
55, America's Next Top Model,The Voice,88.06930255889893,93.4912679195404,0.24398910999298096
56," The city above Ocean Grove, New Jersey is part of the New York Area Bisexual Network.",New York City Metropolitan Area,87.93926477432251,99.33519959449768,0.3833828568458557
57, Mahesh Bhatt,Mahesh Bhatt,88.34738993644714,93.35415768623352,1.0
58, Intelligent design.,intelligent design,88.04140377044678,92.598623752594,0.9034433960914612
59, 1962,1962,87.91539287567139,92.47442865371704,1.0
60, Peter Pan.,"Peter Pan, or The Boy Who Wouldn't Grow Up",87.8648271560669,92.40243911743164,0.7674239277839661
61, Dragonslayer,Dragonslayer,88.13536190986633,92.24954843521118,1.0
62," Pokhara University was established in 1996, while University of Southern Queensland was established in 1965.",University of Southern Queensland,87.9189772605896,101.03496170043945,0.5861665606498718
63, No.,no,88.05470085144043,92.37237524986267,0.8128341436386108
