idx,generated_response,ground_truth,load_knowledge_time,generate_time,bert_score,rouge1_score,rougeL_score
0," ""The Ballad of Jed Clampett""",The Ballad of Jed Clampett,85.5435242652893,92.47508883476257,0.9810752868652344,1.0,1.0
1, Geronimo Pratt.,Geronimo Pratt,85.46661639213562,90.67406988143921,0.9871575832366943,1.0,1.0
2, Aladdin's Dragons,Aladdin's Dragons,85.26823878288269,90.04233741760254,1.0000001192092896,1.0,1.0
3, Billy Corgan,Billy Corgan,84.89290928840637,89.23574376106262,1.0,1.0,1.0
4, George Martin,George Martin,84.99162316322327,88.93097186088562,1.0,1.0,1.0
5, MTM Enterprises,Warner Bros.,84.95277976989746,89.30339360237122,0.1422671377658844,0.0,0.0
6, American,American,85.64438700675964,89.13153052330017,1.0,1.0,1.0
7, 1990,1949,85.01864218711853,89.38216018676758,0.5664154291152954,0.0,0.0
8, 1964,"December 16, 1964",84.97352600097656,89.32671046257019,0.8560158014297485,0.5,0.5
9," Martina Navratilova was born on October 18, 1956, and Kevin Curren was born on March 2, 1958.",Martina Navratilova,85.72575211524963,102.89903855323792,0.6669567823410034,0.21052631578947367,0.21052631578947367
10, Canada,British,85.61594462394714,89.1131763458252,0.6146423816680908,0.0,0.0
11, 1992,1992,85.28655123710632,89.63953137397766,1.0,1.0,1.0
12, 15 seasons,16 seasons,85.10381531715393,89.4651038646698,0.8940812945365906,0.5,0.5
13, They are both film titles.,documentary film,84.83048367500305,90.48840308189392,0.3948478698730469,0.28571428571428575,0.28571428571428575
14," Joan Didion was an American author, and Aleister Crowley was an English occultist.","Aleister Crowley ( ; born Edward Alexander Crowley; 12 October 1875 – 1 December 1947) was an English occultist, ceremonial magician, poet, painter, novelist, and mountaineer.",85.1710684299469,95.92353391647339,0.7190603017807007,0.3888888888888889,0.33333333333333337
15, CuriosityStream,CuriosityStream,85.34939908981323,89.71076512336731,1.0,1.0,1.0
16, 1978,31 October 1783,85.74907231330872,90.08364868164062,0.2848319411277771,0.0,0.0
17," September 13, 1996","1971September 13, 1996",85.80282878875732,91.86800146102905,0.6323814392089844,0.6666666666666666,0.6666666666666666
18, Home Alone.,Home Alone,85.05488395690918,89.39529991149902,0.9572392106056213,1.0,1.0
19, They are both musicians.,lead singer,85.62844276428223,90.79680371284485,0.4239349067211151,0.0,0.0
20, Koningsdag (King's Day) on April 27.,27 April,85.30214619636536,93.931964635849,0.6506694555282593,0.4444444444444445,0.22222222222222224
21, Rockefeller Plaza's Comcast Building,Rockefeller Plaza's Comcast Building,85.38326668739319,90.58402895927429,1.0,1.0,1.0
22," 2,144.","2,144",84.95388579368591,90.17978596687317,0.9781618714332581,1.0,1.0
23, Versailles,Versailles,85.31392192840576,89.2380313873291,1.0,1.0,1.0
24, Daddy Yankee,Daddy Yankee,85.40922355651855,89.32466244697571,1.0,1.0,1.0
25, Barq's,Barq's,85.32479214668274,89.70270204544067,1.0000001192092896,1.0,1.0
26, India,India,85.33889126777649,88.8376522064209,1.0,1.0,1.0
27, Ulster Defence Association (UDA),Ulster Freedom Fighters (UFF),85.67167234420776,91.73901295661926,0.6067042946815491,0.25,0.25
28, Moonrunners,The Dukes of Hazzard,85.38880109786987,89.73461985588074,0.16024544835090637,0.0,0.0
29, George Segal.,George Segal,85.66584181785583,90.43469500541687,0.9795596599578857,1.0,1.0
30, Shakespeare in Action,Shakespeare's plays,85.02400946617126,89.36700868606567,0.8326754570007324,0.3333333333333333,0.3333333333333333
31, Grigori Rasputin,Grigori Rasputin,85.26810765266418,90.88416028022766,1.0,1.0,1.0
32, Paris Hilton,Paris Hilton,85.42558026313782,89.34604382514954,1.0,1.0,1.0
33, They are both genera of flowering plants.,genus of flowering plants,85.65575242042542,92.15135526657104,0.7500672340393066,0.5454545454545454,0.5454545454545454
34, Yes.,yes,85.31543302536011,89.23406672477722,0.836855947971344,1.0,1.0
35, Paul McGuigan,Paul McGuigan,85.71893239021301,90.0672836303711,1.0000001192092896,1.0,1.0
36, Both are magazines.,magazine,85.48555111885071,90.26481509208679,0.6944794654846191,0.5,0.5
37," Duncan Hines was born first, on March 26, 1880.",Duncan Hines,85.29327607154846,95.24316143989563,0.6662118434906006,0.3636363636363636,0.3636363636363636
38, INXS,INXS,85.0325276851654,88.95030570030212,1.0000001192092896,1.0,1.0
39, 2006,2006,85.74711322784424,90.0841588973999,1.0000001192092896,1.0,1.0
40, North Korea,Workers' Party of Korea,85.75569462776184,89.68925762176514,0.5773475170135498,0.3333333333333333,0.3333333333333333
41, Ashlee Simpson,Gwen Stefani,85.032235622406,89.37844395637512,0.3215731084346771,0.0,0.0
42, The Venetian Resort Hotel Casino,Las Vegas Sands,85.75068235397339,91.78110814094543,0.47371432185173035,0.0,0.0
43, The 2009 Frankfurt Motor Show.,2009 Frankfurt Motor Show,85.33392286300659,91.84093523025513,0.9719255566596985,0.888888888888889,0.888888888888889
44," Fairfax, VA, United States.","headquartered in Paris, France",85.42751884460449,91.50493741035461,0.37798160314559937,0.0,0.0
45, Polytechnic University of Bari,Adamson University,85.38229370117188,91.42241024971008,0.4273621439933777,0.3333333333333333,0.3333333333333333
46, Trio Los Panchos,Trio Los Panchos,85.39612054824829,90.57684874534607,0.9999999403953552,1.0,1.0
47, AC/DC,AC/DC,85.27242588996887,89.62733697891235,1.000000238418579,1.0,1.0
48, Bob Dylan,Ted Demme,85.74085569381714,89.66947722434998,0.35084885358810425,0.0,0.0
49, 1948,1948,85.2193398475647,89.58720755577087,1.0,1.0,1.0
50, United States.,United States,85.11428093910217,89.42434668540955,0.9286460876464844,1.0,1.0
51, 12,12,85.73155093193054,89.65044975280762,1.0000001192092896,1.0,1.0
