idx,generated_response,ground_truth,reset_cache_time,generate_time,bert_score
0, C.S. Lewis,C. S. Lewis,0.0005266666412353516,2.427894353866577,1.0
1, The Selective Service Act of 1917,Hugh S. Johnson,0.0005381107330322266,4.239513874053955,0.14012858271598816
2, 1923,7 September 1923,0.0005128383636474609,1.7338473796844482,0.8314409255981445
3, United States,United States,0.0005097389221191406,1.3283576965332031,1.0000001192092896
4, 1604,1604,0.0005021095275878906,1.8393282890319824,1.0
5, Ivanoe Bonomi,Ivanoe Bonomi,0.0004961490631103516,2.1522793769836426,0.9999999403953552
6, Sevilla Atlético,Sevilla Atlético,0.0005004405975341797,1.7380733489990234,1.0000001192092896
7, 1991,1973,0.0004973411560058594,1.7474710941314697,0.6390088796615601
8, SAS Group,SAS Group,0.0005052089691162109,1.3159286975860596,1.0
9," MBC's ""We Got Married""",Infinite Challenge,0.0004999637603759766,3.8239078521728516,-0.03722681105136871
10, Oghur,Hunno-Bulgarian,0.0005052089691162109,1.7486200332641602,0.33345967531204224
11, Harvard Business Review,SERVO Magazine,0.0005283355712890625,1.7336444854736328,0.2220747172832489
12, Frozen,Frozen,0.0005037784576416016,0.9080545902252197,1.0
13, Barbra Streisand,Barbra Streisand,0.0005078315734863281,2.5920228958129883,1.0
14, Ticino,Ticino,0.0005071163177490234,1.3180303573608398,1.0
15, No,no,0.0005040168762207031,0.8988018035888672,1.0
16, Maia Mitchell,Maia Mitchell,0.0005030632019042969,1.7334840297698975,1.0
17, Office Christmas Party,Office Christmas Party,0.0004949569702148438,1.7359817028045654,1.000000238418579
18, 1958,1958,0.000507354736328125,1.7519941329956055,1.0000001192092896
19, Ned Flanders,"Nedward ""Ned"" Flanders, Jr.",0.0005290508270263672,1.7550835609436035,0.903645932674408
20, Denholm Elliott,Denholm Elliott,0.0005099773406982422,1.7739362716674805,1.0
21," Washington, D.C.","Jacksonville, Illinois",0.0005054473876953125,2.589172840118408,0.37367120385169983
22, 46,46,0.0005071163177490234,1.3256330490112305,1.0000001192092896
23, 1962,1961,0.0005090236663818359,1.739464282989502,0.6768328547477722
24, The Red Baron,Red Baron,0.0005059242248535156,1.7607421875,0.9581315517425537
25, Walt Disney Records,Disney Music Group,0.0005083084106445312,1.7533507347106934,0.6062805652618408
26, Jakow Trachtenberg died first.,Jakow Trachtenberg,0.0005083084106445312,3.846505880355835,0.7675540447235107
27, Music,musician,0.0005033016204833984,0.9022150039672852,0.6964894533157349
28, University of New South Wales,University of New South Wales,0.0005154609680175781,2.5891313552856445,0.9999999403953552
29, Tarsem Singh,Renny Harlin,0.0005071163177490234,2.1695096492767334,0.2232656478881836
30," The French term for the level where riders can purchase their tickets is the ""Concourse level"".",entresol,0.0005052089691162109,8.474355697631836,0.11809158325195312
31, Wet 'n Wild,Wet 'n Wild Orlando,0.0005021095275878906,2.2456767559051514,0.7957308888435364
32, 1901,1901,0.0005049705505371094,1.7417995929718018,1.0
33, Abstract Expressionism,Expressionism,0.0005011558532714844,1.746246337890625,0.8242583870887756
34, Germany,Germany,0.0005066394805908203,0.9031515121459961,1.0
35, Gary Peters,Michigan 's 14 congressional district,0.0005173683166503906,1.328507423400879,0.006579004228115082
36, The Revenant,The Revenant,0.0004982948303222656,2.175893783569336,1.0
37, Denis Fonvizin,Denis Fonvizin,0.0005054473876953125,2.178224563598633,1.0
38, Massachusetts,California,0.0005164146423339844,0.9136404991149902,0.5212738513946533
39," January 7, 2016","digitally on January 7 and later physically on January 14, 2016",0.0005061626434326172,3.4279541969299316,0.6414210200309753
40, The Concord Monitor,Concord Monitor,0.0005068778991699219,1.748279094696045,0.9594075679779053
41, 1912,1912,0.00052642822265625,1.7583239078521729,1.0
42, Rufus Sewell,Rufus Frederik Sewell,0.0004978179931640625,2.1688742637634277,0.8407894372940063
43, DC Comics,DC Comics,0.0005130767822265625,1.3222315311431885,1.0
44, Fort McHenry,Fort McHenry,0.0005052089691162109,1.763488531112671,1.0000001192092896
45, James Buchanan,James Buchanan Jr.,0.0005006790161132812,1.329054832458496,0.935387909412384
46, Boerboel,Boerboel,0.0005197525024414062,2.166670799255371,1.0
47," Memphis, Tennessee.","Memphis, Tennessee",0.0005238056182861328,2.1666345596313477,0.9782525300979614
48, 1945,1945,0.0005307197570800781,1.7455155849456787,1.0000001192092896
49, 1995,1992,0.0004987716674804688,1.7482516765594482,0.7355881929397583
50, Yes,yes,0.0005018711090087891,0.9020998477935791,1.0000001192092896
51, The United States Supreme Court.,United States Supreme Court,0.0005097389221191406,3.0045621395111084,0.9123281240463257
52, My Mother and Other Strangers,Barry Devlin,0.0005006790161132812,3.008464813232422,0.14817339181900024
53," February 25, 1996","September 17, 1995",0.0005214214324951172,3.427469491958618,0.7713889479637146
54, RB Leipzig,RB Leipzig,0.0005075931549072266,1.3257713317871094,1.0
55, Ruthie Henshall,Ruthie Henshall,0.0005059242248535156,2.5817360877990723,1.000000238418579
56, Alternative rock,rock,0.0005059242248535156,1.3230888843536377,0.7255392074584961
57, Newberry,"Newberry, FL",0.0005002021789550781,1.3262498378753662,0.8164608478546143
58, Matthew Vaughn,Matthew Vaughn,0.0004987716674804688,1.7553884983062744,1.0
59, Britain.,Britain,0.0005283355712890625,1.3261232376098633,0.9347862601280212
60," The director of the film which released on January 31, 1997 and from which the Baadshah movie was inspired from is Sammo Hung.",Sammo Hung,0.0005056858062744141,13.956469535827637,0.573021650314331
61, Larenz Tate,The Postman,0.0005028247833251953,2.1944384574890137,0.28281936049461365
62, Grant Hill,Grant Henry Hill,0.0005242824554443359,1.3260369300842285,0.9027559757232666
63, They are both song titles.,band,0.000507354736328125,3.00738525390625,0.24899247288703918
