idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score
0,Raoul Walsh and John Lasseter are both film directors.,film director,0.630561113357544,4.078964471817017,0.5667428970336914,0.3636363636363636,0.3636363636363636
1,Katharine Ross.,Katharine Ross,0.4080526828765869,2.406726598739624,0.9753739833831787,1.0,1.0
2,Orange County.,Orange,0.33884191513061523,2.392498016357422,0.5506259799003601,0.6666666666666666,0.6666666666666666
3,American.,American,0.5421090126037598,2.2177343368530273,0.9135115146636963,1.0,1.0
4,Chelsea.,Chelsea Football Club,0.8213944435119629,2.1845338344573975,0.8088436126708984,0.5,0.5
5,"Totopoly was created earlier, in 1938, while Inkan aarre was created in 2005.",Totopoly,0.344677209854126,3.8531436920166016,0.5065720081329346,0.14285714285714288,0.14285714285714288
6,The True Colors Tour.,The True Colors Tour,0.4863095283508301,2.1675918102264404,0.9913730621337891,1.0,1.0
7,"Patrick Lussier directed the movie ""My Bloody Valentine 3D"" where Jensen Ross Ackles plays Jason Todd.",Patrick Lussier,0.4385383129119873,3.397845506668091,0.3046983480453491,0.2222222222222222,0.2222222222222222
8,The Good Wife.,The Good Wife,0.4306967258453369,2.288980722427368,0.9769506454467773,1.0,1.0
9,"Daytona Beach, Florida.","Daytona Beach, Florida",0.31290411949157715,2.384887933731079,0.982018232345581,1.0,1.0
10,"The Con Mine started production in 1938, while the Giant Mine started production in 1944.",The Con Mine,0.4413788318634033,3.5630452632904053,0.430807501077652,0.33333333333333337,0.33333333333333337
11,1988.,1988,0.5894358158111572,2.560439109802246,0.954633355140686,1.0,1.0
12,United States.,U.S.,0.389080286026001,2.2463667392730713,0.8812195062637329,0.0,0.0
13,"""All in the Family"".",All in the Family,0.26570820808410645,2.259895086288452,0.8050900101661682,1.0,1.0
14,"Thums Up has a higher market share, commanding approximately 42% in the cola segment in India, while IBC Root Beer's market share is not specified.",Thums Up,0.2508406639099121,4.946699380874634,0.47651124000549316,0.14285714285714288,0.14285714285714288
15,Yes.,yes,0.35240864753723145,1.8656127452850342,0.836855947971344,1.0,1.0
16,"Tongshanjiabu is taller at 7,207m compared to Kanjut Sar at 7,000m.",Kanjut Sar,5.911005973815918,3.777625560760498,0.4995059669017792,0.2666666666666667,0.2666666666666667
17,Leeds United.,Leeds United Football Club,0.298248291015625,2.27976393699646,0.8439096212387085,0.6666666666666666,0.6666666666666666
18,"Lance E. Nichols played Larry Williams in the 2008 film ""Treme"".",David Fincher,0.24363350868225098,3.0134384632110596,0.1954571008682251,0.0,0.0
19,Albert Ray made more movies after 1939.,Melvin Frank,0.3180382251739502,2.629046678543091,0.2880256772041321,0.0,0.0
20,The Archers.,The Archers,0.5013651847839355,2.3592922687530518,0.9766709804534912,1.0,1.0
