idx,generated_response,ground_truth,reset_cache_time,generate_time
0, Atlanta,"Atlanta, Georgia",0.0005202293395996094,0.7570645809173584
1, Victor Mature.,Victor John Mature,0.0005645751953125,0.9866995811462402
2, Troy Denning,Troy Denning,0.0007338523864746094,0.974733829498291
3, Clint Eastwood,Clint Eastwood,0.0009374618530273438,0.9803175926208496
4, James and the Giant Peach (1996),James and the Giant Peach,0.0005240440368652344,2.379911184310913
5, The Rite of Spring,Different Drummer,0.0007104873657226562,1.4418065547943115
6, Yes,João Guimarães Rosa (] ; 27 June 1908 – 19 November 1967) was a Brazilian,0.0005512237548828125,0.5060899257659912
7, Growing Pains,Growing Pains,0.0005247592926025391,0.9716165065765381
8, percussion,clash cymbals,0.0005292892456054688,0.5031032562255859
9, King Gimp,King Gimp,0.0005354881286621094,0.9713115692138672
10, The Manhattan Project,The Manhattan Project,0.0005271434783935547,0.9859228134155273
11, Shadow Hunters.,1986 board game,0.0005850791931152344,0.9694728851318359
12, The Massachusetts Department of Conservation and Recreation (DCR) manages the Douglas State Forest.,Massachusetts Department of Conservation and Recreation,0.0005133152008056641,4.282968521118164
13, The Three Stooges Go Around the World in a Daze,The Three Stooges Go Around the World in a Daze,0.0005459785461425781,3.3843836784362793
14, Corvallis.,Corvallis,0.0005311965942382812,1.309279441833496
15, Scotland,Unst,0.0005183219909667969,0.5029895305633545
16, Spaniels,dog,0.0005159378051757812,0.9723360538482666
17, Ray Allen.,Walter Ray Allen Jr.,0.0005230903625488281,0.9743695259094238
18, Charles Dickens,Charles Dickens,0.0005211830139160156,0.7470793724060059
19, Paul Johnson.,Paul Johnson,0.0005285739898681641,0.9823684692382812
20, Violin,violin,0.001466989517211914,0.748420000076294
21, Oklahoma,"Watonga, Oklahoma",0.0005233287811279297,0.503645658493042
22, South African,Nigerian,0.00052642822265625,0.7863974571228027
23, Leander Paes,Leander Adrian Paes,0.0005369186401367188,1.2543354034423828
24, Filipino,Filipino,0.0005140304565429688,0.5031406879425049
25, 1937,1949,0.0005667209625244141,0.9948837757110596
26, Kastellet.,Kastellet,0.0005190372467041016,1.4572672843933105
27, Elvis Costello,Elvis Costello,0.0007841587066650391,0.9747235774993896
28, Allure,Allure,0.0005152225494384766,0.7449319362640381
29, The Cheetah Girls,The Cheetah Girls,0.0005407333374023438,1.4732575416564941
30, Zixing,Zixing,0.0005140304565429688,0.986518383026123
31, Brookhaven National Laboratory.,"Upton, New York",0.0005419254302978516,1.4624629020690918
