idx,generated_response,ground_truth,reset_cache_time,generate_time,bert_score,rouge1_score,rougeL_score
0, Bluegrass music.,Bluegrass music,0.0005033016204833984,1.258812665939331,0.9685222506523132,1.0,1.0
1, 972 hectares.,972 ha,0.0005309581756591797,1.1455414295196533,0.5083508491516113,0.5,0.5
2, 1995,22 July 1995,0.0004968643188476562,0.9254860877990723,0.8199841976165771,0.5,0.5
3, Curtis Woodhouse,Curtis Woodhouse,0.0005197525024414062,0.9384276866912842,0.9999999403953552,1.0,1.0
4, Civilian Conservation Corps (CCC),Civilian Conservation Corps,0.0005180835723876953,1.8552827835083008,0.9016426801681519,0.8571428571428571,0.8571428571428571
5, Hit the Floor.,Hit the Floor,0.0005195140838623047,1.1770884990692139,0.9496848583221436,1.0,1.0
6, Tennis,tennis,0.00048661231994628906,0.4840583801269531,0.9999999403953552,1.0,1.0
7, The Waldorf Astoria New York.,Manhattan,0.0004951953887939453,2.0712742805480957,0.5481405258178711,0.0,0.0
8, United States,America,0.0004918575286865234,0.7077875137329102,0.8094144463539124,0.0,0.0
9, All Things Must Pass,All Things Must Pass,0.0004923343658447266,1.2088038921356201,0.9999999403953552,1.0,1.0
10, Kentucky Route 8 and U.S. Route 23 intersect.,highway,0.0004973411560058594,3.200030565261841,0.3319924771785736,0.0,0.0
11, I Am Legend,I Am Legend,0.0004949569702148438,0.9434685707092285,1.000000238418579,1.0,1.0
12, Apera,Apera,0.0005078315734863281,0.9398448467254639,1.0,1.0,1.0
13, Nick Tosches,Nick Tosches,0.0004935264587402344,0.9844880104064941,1.0000001192092896,1.0,1.0
14, Yoko Ono,Yoko Ono,0.0004937648773193359,1.1654095649719238,1.0000001192092896,1.0,1.0
15, 1984,1984,0.0005035400390625,0.9512972831726074,1.0,1.0,1.0
16, $10.1 billion,US$10.1 billion,0.0005154609680175781,1.3887510299682617,0.8984779119491577,0.8571428571428571,0.8571428571428571
17, Mary Norton,Mary Norton.,0.0004963874816894531,0.7177133560180664,0.9815458059310913,1.0,1.0
18, Rooster Teeth.,Rooster Teeth,0.0005006790161132812,1.1618015766143799,0.9748551845550537,1.0,1.0
19, PitchMen,PitchMen,0.0004858970642089844,0.7129220962524414,0.9999999403953552,1.0,1.0
20, Jacky Cheung,Jacky Cheung,0.000492095947265625,1.1630654335021973,1.000000238418579,1.0,1.0
21, No,no,0.0004980564117431641,0.4940769672393799,1.0,1.0,1.0
22, Elizabeth I,Elizabeth I,0.0005197525024414062,0.7162024974822998,0.9999999403953552,1.0,1.0
23, Nevada.,Nevada,0.0004985332489013672,0.7180428504943848,0.9496932029724121,1.0,1.0
24, David Vincent,Yang Seung-ho,0.0004944801330566406,0.7155530452728271,0.2018892765045166,0.0,0.0
25, Finland and the Soviet Union.,Finland and the Soviet Union,0.0004971027374267578,1.6165645122528076,0.9679084420204163,1.0,1.0
26, Foals,Placebo,0.0005068778991699219,0.7108333110809326,0.2574927508831024,0.0,0.0
27, 4,four,0.00051116943359375,0.712608814239502,0.8942000865936279,0.0,0.0
28, Pat Morita,Pat Morita,0.0005047321319580078,0.9381062984466553,1.0000001192092896,1.0,1.0
29, The Ryukyu Islands.,Ryukyu Islands,0.0005092620849609375,1.6200675964355469,0.9711499810218811,0.8,0.8
30, Ivan Reitman,Ivan Reitman,0.0004944801330566406,1.1636052131652832,1.0,1.0,1.0
31, Ernst Jünger,Ernst Jünger,0.0004951953887939453,1.1611478328704834,1.0000001192092896,1.0,1.0
