idx,generated_response,ground_truth,reset_cache_time,generate_time,bert_score
0, Jim Corr,James Steven Ignatius Corr,0.0004913806915283203,0.9707415103912354,0.4897282123565674
1, Plasma Sources Science and Technology.,non-fusion,0.0005230903625488281,1.5347607135772705,0.34671643376350403
2," Robert Foliot died in 1186, while Robert de Chesney died in 1166.",Robert de Chesney,0.0004971027374267578,4.506290674209595,0.5440067648887634
3, vaudeville.,vaudeville,0.0004949569702148438,1.1078500747680664,0.9764316082000732
4, Yes,yes,0.0004956722259521484,0.4580404758453369,1.0000001192092896
5," ""Talk That Talk""",Unapologetic,0.0004954338073730469,1.310227870941162,0.10289998352527618
6, World War II,World War II,0.0004999637603759766,0.8874051570892334,1.0
7, 1992,1986,0.0004951953887939453,0.8832223415374756,0.6395271420478821
8, From the Westside with Love II,From the Westside with Love II,0.0004928112030029297,1.7373483180999756,0.9999998807907104
9, Ty Herndon,Ty Herndon,0.0004911422729492188,0.8954393863677979,1.0000001192092896
10, Formula 5000,Formula 5000,0.0004916191101074219,1.0962419509887695,1.0
11, A community center such as Tacoma School was used as a school building and later as a community center.,"community tend to gather for group activities, social support, public information, and other purposes.",0.0005025863647460938,4.4971818923950195,0.49374517798423767
12, Yes.,yes,0.0005087852478027344,0.6716241836547852,0.836855947971344
13, United States.,United States,0.0005054473876953125,0.9292361736297607,0.9286460876464844
14, Anastasia (1997),"""Anastasia"" (1997)",0.0004932880401611328,1.5299358367919922,0.955859899520874
15," The Cotton Bowl in Fair Park, Dallas, Texas.",Cotton Bowl,0.0004870891571044922,2.5928916931152344,0.6469391584396362
16, Citharexylum,Citharexylum,0.0005047321319580078,1.3090460300445557,1.0000001192092896
17, 1998,1998,0.0006577968597412109,0.8864889144897461,1.0
18, Charles Bonifacio,Charles Bonifacio,0.0005183219909667969,1.1044352054595947,1.0
19, Wilm Hosenfeld,Wilhelm Adalbert Hosenfeld,0.0004987716674804688,1.3576560020446777,0.7128238081932068
20, Winter in the Blood,Winter in the Blood,0.0005023479461669922,1.097339391708374,1.0000001192092896
21, 350,350,0.0004925727844238281,0.678776741027832,1.000000238418579
22, Andrew Stanton,Andrew Stanton,0.0004856586456298828,0.6704802513122559,1.0
23," November 15, 2012","November 15, 2012",0.0004901885986328125,1.7822730541229248,1.0
24, 1992,1992,0.0004911422729492188,0.8823888301849365,1.0
25, Robert Fuest,William Goldstein and James Whiton,0.0004851818084716797,0.8901991844177246,0.43256935477256775
26, Bogotá,Bogotá,0.0005202293395996094,0.8993926048278809,1.0000001192092896
27, Springer Mountain,Springer Mountain,0.0005009174346923828,0.6774947643280029,1.0
28, No.,no,0.0005080699920654297,0.6704957485198975,0.8128341436386108
29, Bugs Bunny,Leon Schlesinger Productions,0.0004968643188476562,0.6693742275238037,0.25737911462783813
30, Erich Ludendorff,Erich Friedrich Wilhelm Ludendorff,0.0005159378051757812,1.3097777366638184,0.9454416632652283
31, Swiss Family Robinson (1940 film),Swiss Family Robinson,0.0004975795745849609,1.9454684257507324,0.8011365532875061
