idx,generated_response,ground_truth,load_knowledge_time,generate_time
0, Oakland International Airport.,Oakland International Airport,0.09632420539855957,8.727354049682617
1, Naruto,Naruto,0.13953614234924316,8.300601482391357
2, Wendy Carlos,Wendy Carlos,0.04838156700134277,8.44183897972107
3, James Cameron,James Cameron,0.13462424278259277,8.493760108947754
4, Women.,women,0.10599160194396973,8.434210062026978
5, England.,English,0.062171220779418945,8.450435400009155
6, 2005,2005,0.10949373245239258,8.62563943862915
7, Yes.,"Kenneth Graham ""Ken"" Hughes",0.07255148887634277,8.439695596694946
8, November 28th.,28th,0.0738213062286377,8.850333452224731
9, Black Inches,Black Inches,0.05928921699523926,8.436335802078247
10, Fiona Shaw,Fiona Shaw,0.053273677825927734,8.433302640914917
11, The French Laundry Cookbook,The French Laundry,0.059293508529663086,8.684511423110962
12, Yes.,Welsh,0.052913665771484375,8.451295375823975
13, Max Born,Max Born,0.05189371109008789,8.440147161483765
14, Tangled,Tangled,0.09720754623413086,8.447535037994385
15, Batangas State University was founded first in 1903.,Virginia Commonwealth University,0.04847383499145508,9.842182159423828
