idx,generated_response,ground_truth,reset_cache_time,generate_time
0, Oakland International Airport,Oakland International Airport,0.0004901885986328125,0.6015605926513672
1, Naruto,Naruto,0.0005099773406982422,0.28763628005981445
2, Wendy Carlos,Wendy Carlos,0.0004792213439941406,0.3978726863861084
3, James Cameron,James Cameron,0.0004892349243164062,0.3969271183013916
4, Women,women,0.00047516822814941406,0.2724425792694092
5, England,English,0.0004904270172119141,0.27340102195739746
6, 2005,2005,0.00047516822814941406,0.5230376720428467
7, Yes,"Kenneth Graham ""Ken"" Hughes",0.0004937648773193359,0.27000927925109863
8," November 28, 2014",28th,0.0004961490631103516,1.0331990718841553
9, Black Inches,Black Inches,0.0005037784576416016,0.4202113151550293
10, Fiona Shaw,Fiona Shaw,0.0004868507385253906,0.4028613567352295
11, Under Pressure: Cooking Sous Vide,The French Laundry,0.0004966259002685547,0.9263060092926025
12, Yes.,Welsh,0.0004775524139404297,0.39549851417541504
13, Max Born,Max Born,0.0004889965057373047,0.3978147506713867
14, Tangled,Tangled,0.0004916191101074219,0.3990306854248047
15, Batangas State University was founded first in 1903.,Virginia Commonwealth University,0.00048279762268066406,1.866577386856079
