idx,generated_response,ground_truth,reset_cache_time,generate_time,bert_score,rouge1_score,rougeL_score
0," Both Exeter Cathedral and Plymouth Cathedral are Anglican cathedrals in Devon, England.",Anglican cathedral,0.0004973411560058594,2.6466193199157715,0.6832294464111328,0.2857142857142857,0.2857142857142857
1, The Mamas & the Papas,John Phillips,0.000522613525390625,1.0503270626068115,0.18668514490127563,0.0,0.0
2, 2006,2006,0.0005178451538085938,0.5708858966827393,1.0000001192092896,1.0,1.0
3, Island Records,Island Records,0.0005273818969726562,0.4130277633666992,1.0,1.0,1.0
4, Astronomer,astronomer,0.0004947185516357422,0.5356769561767578,1.0,1.0,1.0
5," Il tabarro has 1 act, Orlando has 3 acts.",Orlando,0.000499725341796875,1.9514493942260742,0.4474759101867676,0.19999999999999998,0.19999999999999998
6, Cash Money Records,Cash Money Records,0.0004975795745849609,0.5689523220062256,0.9999999403953552,1.0,1.0
7, Shaun Butler,T. J. Lavin,0.0004987716674804688,0.40874409675598145,0.3345009684562683,0.0,0.0
8, Wednesday,Wednesdays,0.0005338191986083984,0.2842423915863037,0.8233319520950317,1.0,1.0
9, U.S. Army Major Richard Winters.,Major Richard Winters,0.0005035400390625,1.3139748573303223,0.8769202828407288,0.6666666666666666,0.6666666666666666
10, 1822,1822,0.000507354736328125,0.5354917049407959,1.0,1.0,1.0
11, Shrine Auditorium,Shrine Auditorium,0.0005064010620117188,0.5703837871551514,1.0000001192092896,1.0,1.0
12, Geraldine Page,Lorraine,0.0005211830139160156,0.5349099636077881,0.42736199498176575,0.0,0.0
13, The Corner.,The Corner,0.0005147457122802734,0.5472164154052734,0.974136233329773,1.0,1.0
14, Plants.,yes,0.0005152225494384766,0.4190351963043213,0.10431278496980667,0.0,0.0
15, Chase Manhattan Corporation,Chase Manhattan Corporation,0.0005218982696533203,0.5356578826904297,1.0000001192092896,1.0,1.0
