idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score
0,Interscope Records.,Universal Music Group,0.0010149478912353516,1.6707847118377686,0.1924336850643158,0.0,0.0
1,Nancy Reagan.,Nancy Davis Reagan,0.0010371208190917969,0.4289412498474121,0.8810049295425415,0.8,0.8
2,Berkshire Hathaway.,"Omaha, Nebraska, United States",0.0009441375732421875,0.4433457851409912,0.2559546232223511,0.0,0.0
3,"January 26, 1978.","January 26, 1978",0.0008356571197509766,0.6098423004150391,0.9870090484619141,1.0,1.0
4,Angela Lansbury.,Dame Angela Brigid Lansbury,0.0008955001831054688,0.4635956287384033,0.8511828184127808,0.6666666666666666,0.6666666666666666
5,Rajshri Productions.,Rajshri Productions,0.0008809566497802734,0.5029535293579102,0.9847331047058105,1.0,1.0
6,"Dunkin' Donuts featured Ryohei Otani in a commercial in 2003, which led to his entry into Korean entertainment.",a commercial,0.0009288787841796875,1.3747365474700928,0.38826626539230347,0.19999999999999998,0.19999999999999998
7,Real Sociedad.,Real Sociedad,0.0008692741394042969,0.44096827507019043,0.981247067451477,1.0,1.0
8,Yes.,yes,0.0008313655853271484,0.3654506206512451,0.836855947971344,1.0,1.0
9,Liberace.,Władziu Valentino Liberace,0.0008847713470458984,0.4561188220977783,0.5328472852706909,0.4,0.4
10,Smokin' Aces.,Smokin' Aces,0.0009245872497558594,0.5390598773956299,0.984143853187561,1.0,1.0
11,Cliff Young.,Cliff Young,0.0008592605590820312,0.42559099197387695,0.9815387725830078,1.0,1.0
12,21 July 1942.,24 February 1953,0.0008957386016845703,0.5827755928039551,0.6128853559494019,0.0,0.0
13,Karachi.,Karachi,0.0008375644683837891,0.3260457515716553,0.9695783853530884,1.0,1.0
14,The 14th President of the United States.,fourteenth,0.0009639263153076172,0.7125492095947266,0.494160532951355,0.0,0.0
15,Frantz.,Frantz,0.0009088516235351562,0.4287588596343994,0.9773436188697815,1.0,1.0
