idx,generated_response,ground_truth,ir_time,generate_time,bert_score
0,"Eric Lange played the role of Erwin Sikowitz, an acting teacher, in the Nickelodeon sitcom ""Victorious"".",Eric Lange,0.30312323570251465,3.2721285820007324,0.5208336710929871
1,Pink.,Pink,0.39178013801574707,0.8632550239562988,0.9385020732879639
2,Disney Television Animation.,Disney Television Animation,0.30260443687438965,0.994560956954956,0.9463527202606201
3,The River Irwell.,River Irwell,0.3382425308227539,1.1465823650360107,0.9548237323760986
4,"Mick Jagger was apart of more bands, including The Rolling Stones, The Glimmer Twins, and solo projects, while Geoff Rickly was part of Thursday, United Nations, and No Devotion.",Rickly is also a member of hardcore punk band United Nations,0.25802111625671387,3.032156229019165,0.6002640128135681
5,Sports equipment manufacturer.,sports equipment manufacturer,0.27738380432128906,1.1180627346038818,0.9811561107635498
6,19 July 2009.,19 July 2009,0.3134734630584717,1.3105475902557373,0.9759636521339417
7,Zoë Foster Blake.,Zoë Foster Blake,0.35544776916503906,1.1724200248718262,0.9852441549301147
8,Kentucky.,Kentucky,0.35637593269348145,1.0316286087036133,0.9605529308319092
9,The Giver (2014),Phillip Noyce,0.40614819526672363,1.2741034030914307,0.24262428283691406
10,Piano Man.,Piano Man,0.34842824935913086,1.136857271194458,0.9778817296028137
11,Kickboxing.,kickboxer,0.42461633682250977,0.9426531791687012,0.7709454298019409
12,The Pacific Ocean.,northeastern Pacific Ocean,0.24891161918640137,1.271592140197754,0.7550307512283325
13,Yes.,yes,0.4505472183227539,0.9006342887878418,0.836855947971344
14,Elektra has more acts.,From the House of the Dead,0.42892980575561523,1.1352417469024658,0.030535591766238213
15,1970,1970,0.4142892360687256,1.0426795482635498,1.0
