idx,generated_response,ground_truth,load_knowledge_time,generate_time,bert_score
0, 1923,1923,0.14657020568847656,20.244930028915405,1.0
1, Brierley Hill near Birmingham.,Brierley Hill,0.12581253051757812,21.040672063827515,0.7880532741546631
2, When they are repugnant to domestic law or indigenous conditions.,repugnant to domestic law or indigenous conditions,0.12001466751098633,22.39776587486267,0.836441695690155
3," In the United States, when both the federal and state governments have regulations that overlap, the federal regulations take precedence, as they are considered supreme under the Supremacy Clause of the Constitution.",coexist with each other,0.32169437408447266,27.546552896499634,0.2630230784416199
4," 46,000","46,000",0.13258981704711914,20.45331335067749,1.0
5, The Supreme Court.,the Supreme Court,0.14242315292358398,20.457101821899414,0.9724016785621643
6, Tuva,Tuva,0.1465752124786377,19.96640944480896,1.0000001192092896
7, a slip law.,a slip law,0.13765549659729004,20.426552057266235,0.9758548140525818
8," 33,000","33,000",0.14899754524230957,20.296085357666016,1.0
9, ITV,ITV,0.1327972412109375,19.83711576461792,1.0000001192092896
10, Pickled cockles and mussels.,pickled cockles and mussels,0.14598655700683594,21.156984567642212,0.9778863191604614
11," The Magdala in South Hill Park, Hampstead.",The Magdala,0.13404083251953125,21.921409606933594,0.5799645185470581
12, Off-sales counter or attached shop.,off-sales counter,0.12912559509277344,21.034586906433105,0.8392071723937988
13, 1868,1868,0.13752174377441406,20.16976022720337,1.0
14," Yes, according to the Catholic religion, a savior for the world was needed.","Catholic Church has taught that even had man never sinned in the Garden of Eden and was sinless, he would still require God's grace to remain sinless.",0.12662935256958008,23.239431142807007,0.4577740430831909
15, Chapter 11,Chapter 11,0.2547440528869629,20.217514753341675,1.0000001192092896
16, The Beer Act of 1830.,Wine and Beerhouse Act 1869,0.12775754928588867,21.336601495742798,0.7046360969543457
17, The Historic Atlantic City Convention Hall.,Historic Atlantic City Convention Hall,0.13403534889221191,21.1097195148468,0.9799222946166992
18, 1742,1742,0.12940049171447754,20.126489639282227,1.0
19, A group of local Quakers in Atlantic City.,a group of local Quakers,0.27713656425476074,21.624685525894165,0.898390531539917
20, Radio.,radios,0.12042570114135742,20.097590446472168,0.8008596897125244
21, The 1960s and 1970s.,the 1960s and 1970s,0.12158632278442383,21.81690287590027,0.9845267534255981
22, 11:30 pm,11.30 pm,0.1365962028503418,20.62033772468567,0.9308903217315674
23, The CRDA (Casino Reinvestment Development Authority) would oversee all functions of the district and make changes to attract new businesses and attractions.,The CRDA,0.12993383407592773,25.377782583236694,0.574573278427124
24, Los Alamos,Los Alamos,0.1430671215057373,20.18467426300049,1.0
25, Nine Men's Morris.,Nine Men's Morris,0.1285688877105713,20.606938362121582,0.9841631650924683
26, Soho,Soho,0.13672375679016113,20.00888180732727,1.0
27, 1446,1446,0.12990975379943848,20.24554681777954,1.0
28, 16.5 inches.,16.5 inches,0.1283433437347412,20.865427494049072,0.9837433099746704
29, Edward Gibbon wrote that the Roman Catholic Church borrowed the doctrine of the Immaculate Conception from the Koran.,The Latin Church has not disdained to borrow from the Koran the immaculate conception of his virgin mother,0.2823195457458496,24.610729455947876,0.6021276116371155
30, A bolus.,a bolus,0.12256217002868652,20.38316583633423,0.9732646942138672
31, A new law is assigned a law number and prepared for publication as a slip law.,a law number,0.12947750091552734,23.13277316093445,0.7014458179473877
32," The 50 states in the United States are commonly referred to as the ""United States of America"" or simply ""America"".",separate sovereigns,0.13135004043579102,24.78581142425537,0.2053951472043991
33, They believe Mary was conceived without original sin.,"dogmatic declaration of her immaculate conception as an ""over-elaboration""",0.27715253829956055,21.387483596801758,0.49094390869140625
34," Teeth are made of tissues of varying density and hardness, such as enamel, dentine, and cementum.","enamel, dentine and cementum",0.134843111038208,24.022952795028687,0.6873509287834167
35," ""the chosen people""",the chosen people,0.27679920196533203,20.61200737953186,0.9349091053009033
36, July 2003,July 2003,0.13167905807495117,20.484594106674194,1.0
37, He influenced the interconnects.,influencing the interconnects,0.1486351490020752,21.036737203598022,0.687247097492218
38, Netherlands,Netherlands,0.14558744430541992,19.889190912246704,1.0
39," Dead grass, leaves, and weeds.","dead grass, leaves, and weeds",0.12934136390686035,21.155961751937866,0.9358745813369751
40, The document attempted to clarify the concept of the Immaculate Conception.,teaching about Mary in the two definitions,0.1204984188079834,22.7930691242218,0.405529260635376
41," $20,069","$20,069",0.12773847579956055,20.256875038146973,1.0
42," A misdemeanor is a minor crime that is punishable by a fine, imprisonment for a short period, or both.",minor crimes,0.13550782203674316,24.087829113006592,0.5273863673210144
43, Scotland,Scotland,0.282010555267334,19.762584924697876,1.0
