idx,generated_response,ground_truth,reset_cache_time,generate_time
0, Brewery,a brewing company,0.0008642673492431641,0.6516396999359131
1, Avalon became associated with Glastonbury Tor.,Avalon became associated with Glastonbury Tor when monks at Glastonbury Abbey claimed to have discovered the bones of King Arthur and his queen,0.0005319118499755859,2.990661144256592
2, Sugars.,sugars,0.0004987716674804688,1.0280897617340088
3, Solsternus,Solsternus,0.0004837512969970703,1.2737805843353271
4, 1848,1848,0.0004897117614746094,1.0293891429901123
5, 0.13 seconds.,0.13 seconds,0.0004892349243164062,1.772475004196167
6, Tile.,tile,0.0004856586456298828,0.7784421443939209
7, RIBA Enterprises,RIBA Enterprises,0.0004892349243164062,1.2746543884277344
8, Two ways: Radiant luminous efficacy (LER) and Source luminous efficacy (LES).,two ways,0.0004961490631103516,4.998422622680664
9, Helios,Helios,0.0004897117614746094,0.7844302654266357
10, Multan,Multan,0.0004897117614746094,0.7828481197357178
11, BPS-22,usually a BPS-22 Civil Servant,0.0004947185516357422,1.280381441116333
12, The former main lines of the Great Western Railway (GWR) are still in use today.,"The former main lines of the GWR are still in use today, although many of its branch lines were scrapped under the notorious Beeching Axe",0.0004889965057373047,5.057196378707886
13, Emblemata,emblemata,0.0004990100860595703,0.7920224666595459
14, Holland,Holland,0.0004904270172119141,0.5488286018371582
15, Yes.,caused a scandal,0.00048732757568359375,0.8019180297851562
16," A fire damaged the mosque extensively, and many mosaics were lost.",a fire,0.0004942417144775391,4.134902715682983
17, Newcastle upon Tyne,15 Bonhill Street in London,0.0004990100860595703,1.3203980922698975
18, 17.1,17.1 lumens per watt,0.0004820823669433594,1.3238153457641602
19, Iran,Iran,0.0004975795745849609,0.5516936779022217
20, London,London,0.0004887580871582031,0.5507442951202393
21, 75%,is higher than the regional and national average,0.0004909038543701172,1.066636562347412
22, The Umayyad Mosque in Damascus.,the bath house of Hisham's Palace,0.000492095947265625,2.6241135597229004
23, 1000 hours.,1000 hours,0.0004894733428955078,1.590141773223877
24, The Hymn to Ninkasi.,The Hymn to Ninkasi,0.0004856586456298828,2.646204710006714
25, Less,much less,0.000499725341796875,0.5647306442260742
26, Ghazals and folk songs.,Ghazals and folk songs,0.00048732757568359375,2.1227405071258545
27, The Ascension of Christ.,Christ,0.0004878044128417969,1.8652946949005127
28," Inert gas reduces efficiency by conducting heat from the filament, thereby cooling it and reducing its efficiency.","conducts heat from the filament, thereby cooling the filament",0.0004868507385253906,5.504998445510864
29, Ravenna,Ravenna,0.0005006790161132812,0.8232357501983643
30, 1914-1921,1909 to 1914,0.0005016326904296875,1.8620047569274902
31," Around 1,000 hours.","1,000 hours",0.0004973411560058594,2.1240391731262207
32," Fairs held at the shrines of Sufi saints in Punjab, Pakistan.",fairs held at the shrines of Sufi saints,0.0008459091186523438,4.7399961948394775
33," King David IV's son, Demetrius I of Georgia.",Demetrius I of Georgia,0.0008494853973388672,3.687208414077759
34," Besides Seurat, the beginnings of Cubism can be found in the works of Paul Cézanne, particularly in his later works, and in the influence of African, Polynesian, Micronesian, and Native American art on artists such as Pablo Picasso and Henri Matisse.",in the two distinct tendencies of Cézanne's later work,0.0008416175842285156,15.695895910263062
35, Ethyl alcohol.,ethyl alcohol,0.0008332729339599609,1.3374264240264893
36, Elijah,Elijah,0.0008409023284912109,0.5628516674041748
37, 1920,early as 1920,0.0008428096771240234,1.0810246467590332
38, CAD (Computer Aided Design) software.,CAD,0.0008399486541748047,2.649088144302368
39, 1953,1953,0.0008492469787597656,1.0804321765899658
40, Nearly 60% of Pakistan's population lives in the Punjab.,Nearly 60%,0.0008358955383300781,3.6813950538635254
41," The inert gas in a light bulb prevents the evaporation of the filament, allowing it to be operated at a higher temperature without reducing its life.",reduces filament evaporation,0.0008416175842285156,7.84369969367981
42, Taunton and Wincanton.,Horse racing courses are at Taunton and Wincanton,0.0008440017700195312,2.3798463344573975
43," Potassium, silicon, and aluminium oxides.","potassium, silicon, and aluminium oxides",0.0008409023284912109,2.9007205963134766
44, Italy,Rome,0.0008404254913330078,0.5599789619445801
45, The Architects Registration Act 1997.,"the Housing Grants, Construction and Regeneration Act",0.0008406639099121094,2.3831915855407715
46," Prophets, saints, and patriarchs.","prophets, saints and patriarchs",0.0008375644683837891,2.9013876914978027
47, The national horse and cattle show at Lahore is the biggest festival in Punjab.,The national horse and cattle show,0.0008416175842285156,4.199924468994141
48, 1971,1971,0.0008494853973388672,1.0792641639709473
49, The East of England.,the East of England,0.0008425712585449219,1.6001417636871338
50, Guru Nanak,Guru Nanak,0.0008409023284912109,1.078413486480713
51, Filippo Tommaso Marinetti.,Filippo Tommaso Marinetti,0.0008378028869628906,2.383662462234497
52, Heat from a building's heating system is more cost-effective.,heat from the heating system,0.0008466243743896484,3.423219680786133
53, Moses,Moses,0.0008428096771240234,0.5619325637817383
