idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score
0,16,16,0.00139617919921875,2.760974168777466,1.0,1.0,1.0
1,Through breathing in fumes or skin absorption in the workplace.,fumes or skin,0.001497507095336914,1.7670223712921143,0.592715322971344,0.4615384615384615,0.4615384615384615
2,Yellow and orange.,yellow and orange,0.0012662410736083984,1.3414509296417236,0.9773666858673096,1.0,1.0
3,"The text suggests that transnational policing is unaccountable due to its opaque nature, lack of formal agreements, and power imbalances between donors and recipients, making it difficult to ensure democratic accountability.",this is a secretive area and one not open to civil society involvement,0.0013713836669921875,3.2208995819091797,0.34485095739364624,0.13636363636363635,0.13636363636363635
4,Bitumen.,tar,0.0012960433959960938,1.2900254726409912,0.37663981318473816,0.0,0.0
5,Message (what type of things are communicated),channel (through which medium),0.0013556480407714844,1.4731574058532715,0.36553600430488586,0.0,0.0
6,Bitumen.,bitumen,0.0013844966888427734,1.3134434223175049,0.9760992527008057,1.0,1.0
7,Northern Alberta.,Northern Alberta,0.001188516616821289,1.3169527053833008,0.9758714437484741,1.0,1.0
8,1912.,1912,0.0013785362243652344,1.3094758987426758,0.9596837759017944,1.0,1.0
9,"1,000 troops.","1,000 troops and their supporting vehicles",0.0013234615325927734,1.424410343170166,0.8493969440460205,0.6,0.6
10,"Carrier-launched aircraft were more effective than naval guns due to their superior range, flexibility, and effectiveness.",They had higher range and precision,0.0012927055358886719,2.2639451026916504,0.48506230115890503,0.1739130434782609,0.1739130434782609
11,3 years.,3 years,0.0014235973358154297,1.3326475620269775,0.9512752294540405,1.0,1.0
12,8-17% (insoluble matter) and 83-92% (soluble in carbon disulphide).,83% to 92%,0.0013027191162109375,2.6227164268493652,0.3944617807865143,0.28571428571428575,0.28571428571428575
13,River Plate,River Plate,0.0013349056243896484,1.2678821086883545,1.0000001192092896,1.0,1.0
14,1918.,1918,0.0014226436614990234,1.371640682220459,0.9612902998924255,1.0,1.0
15,June 1982.,June 1982,0.0014061927795410156,1.3849496841430664,0.980152428150177,1.0,1.0
16,The Era of Fragmentation.,Era of Fragmentation,0.001384735107421875,1.4359731674194336,0.9702173471450806,0.8571428571428571,0.8571428571428571
17,"Prominent politicians and slaveholders, but later grew to include mostly people who supported abolition of slavery.",people who supported abolition of slavery,0.0012667179107666016,2.187694549560547,0.8355847597122192,0.5454545454545454,0.5454545454545454
18,Christianity was used by some Tibetan monarchs to counterbalance the influence of the Gelugpa sect in the 17th century.,counterbalance the influence of the Gelugpa sect,0.0013060569763183594,2.533944845199585,0.6390181183815002,0.5384615384615384,0.5384615384615384
19,"The constraints of constructing a flight deck affect the role of a carrier because they influence the weight, type, and configuration of the aircraft that may be launched.","they influence the weight, type, and configuration of the aircraft that may be launched",0.0013883113861083984,2.7815330028533936,0.6074395179748535,0.6666666666666666,0.6666666666666666
20,"100,000.","100,000",0.0013060569763183594,1.4557089805603027,0.9634648561477661,1.0,1.0
21,Roofs.,roofs,0.0013813972473144531,1.3212556838989258,0.9602362513542175,1.0,1.0
22,2%,5%,0.0014040470123291016,1.3046867847442627,0.8140571713447571,0.0,0.0
23,"The target can be oneself, another person or being, another entity (such as a corporation or group of beings), or even another species.",another person or being,0.0013539791107177734,2.4629950523376465,0.5194031000137329,0.29629629629629634,0.29629629629629634
