idx,generated_response,ground_truth,ir_time,generate_time,bert_score
0,16,16,0.0008840560913085938,1.8315608501434326,1.0
1,The text does not mention bitumen.,fumes or skin,0.0010502338409423828,0.5208961963653564,0.22974132001399994
2,I don't have information on Barcelona's most often used change colors.,yellow and orange,0.0007851123809814453,0.8223063945770264,0.3251296877861023
3,The lack of formal agreements and power imbalances between donors and recipients contribute to the unaccountability of transnational policing.,this is a secretive area and one not open to civil society involvement,0.0007901191711425781,1.3130388259887695,0.2777087390422821
4,Asphalte.,tar,0.0007452964782714844,0.3336193561553955,0.436261922121048
5,Message.,channel (through which medium),0.0007374286651611328,0.23442935943603516,0.04526205733418465
6,Bitumen.,bitumen,0.0006909370422363281,0.28351283073425293,0.9760992527008057
7,Northern Alberta.,Northern Alberta,0.0006651878356933594,0.28297996520996094,0.9758714437484741
8,1912.,1912,0.0006892681121826172,0.334336519241333,0.9596837759017944
9,"1,000 troops.","1,000 troops and their supporting vehicles",0.0008044242858886719,0.4305131435394287,0.8493969440460205
10,Carrier-launched aircraft had higher range and precision than naval guns.,They had higher range and precision,0.0007572174072265625,0.7733433246612549,0.6019538640975952
11,3 years.,3 years,0.0006728172302246094,0.3345372676849365,0.9512752294540405
12,83-92%,83% to 92%,0.0006232261657714844,0.3800773620605469,0.8871172070503235
13,There is no mention of the 2015 FIFA World Cup Final in the text.,River Plate,0.0006477832794189453,0.9688348770141602,-0.011628312058746815
14,1918.,1918,0.0006978511810302734,0.3343052864074707,0.9612902998924255
15,June 1982.,June 1982,0.0007398128509521484,0.3833460807800293,0.980152428150177
16,The Era of Fragmentation.,Era of Fragmentation,0.0007574558258056641,0.43135976791381836,0.9702173471450806
17,"Prominent politicians and slaveholders, but later grew to include mostly abolitionists.",people who supported abolition of slavery,0.0006346702575683594,0.9220433235168457,0.680737316608429
18,Christianity was used by some Tibetan monarchs to counterbalance the influence of the Gelugpa sect in the 17th century.,counterbalance the influence of the Gelugpa sect,0.0007872581481933594,1.40966796875,0.6390181183815002
19,"The constraints of constructing a flight deck affect the role of a carrier because they influence the weight, type, and configuration of aircraft that can be launched and recovered.","they influence the weight, type, and configuration of the aircraft that may be launched",0.0007815361022949219,1.7000713348388672,0.6207209229469299
20,"100,000.","100,000",0.0006947517395019531,0.38435888290405273,0.9634648561477661
21,Roofs.,roofs,0.0006358623504638672,0.28725767135620117,0.9602362513542175
22,5%,5%,0.0008320808410644531,0.2863590717315674,1.0
23,Another person or being.,another person or being,0.0006580352783203125,0.3840799331665039,0.9725792407989502
24,Law enforcement service.,public sector,0.0006206035614013672,0.3359699249267578,0.4465610980987549
25,Tibetan and Sanskrit.,Tibetan or Sanskrit,0.0006747245788574219,0.3828418254852295,0.9470663070678711
26,"16,000 ft.","16,000",0.0006430149078369141,0.43233251571655273,0.6458567976951599
27,"The club was in decline, and managers came and went.",decline,0.0006561279296875,0.724268913269043,0.5200982689857483
28,Esperanto.,programming languages,0.0006787776947021484,0.28694605827331543,0.26650920510292053
29,Hover capability.,hover,0.0006406307220458984,0.2840585708618164,0.8290091753005981
30,1774.,1774,0.0006542205810546875,0.33533525466918945,0.9730980396270752
31,The War of the Castilian Succession.,War of the Castilian Succession,0.0005717277526855469,0.5795812606811523,0.979544460773468
32,15 counties.,fifteen,0.0006084442138671875,0.3360130786895752,0.489507257938385
33,"for giving short answers based on given context.
        user
        Context information is below.
        ------------------------------------------------
        They encouraged religious organizations to set up missions and schools to educate the indigenous peoples.
On April 12, 1980, a military coup led by Master Sergeant Samuel Doe of the Krahn ethnic group overthrew and killed President William R. Tolbert, Jr.. Doe and the other plotters later executed a majority of Tolbert's cabinet and other Americo-Liberian government officials and True Whig Party members. The coup leaders formed the People's Redemption Council (PRC) to govern the country. A strategic Cold War ally of the West, Doe received significant financial backing from the United States while critics condemned the PRC for corruption and political repression.
The rebels soon split into various factions fighting one another. The Economic Community Monitoring Group under the Economic Community of West African States organized a military task force to intervene in the crisis. From 1989 to 1996 one of Africa's bloodiest civil wars ensued, claiming the lives of more than 200,000 Liberians and displacing a million others into refugee camps in neighboring countries. A peace deal between warring parties was reached in 1995, leading to Taylor's election as president in 1997.
In March 2003, a second rebel group, Movement for Democracy in Liberia, began launching attacks against Taylor from the southeast. Peace talks between the factions began in Accra in June of that year, and Taylor was indicted by the Special Court for Sierra Leone for crimes against humanity that same month. By July 2003, the rebels had launched an assault on Monrovia. Under heavy pressure from the international community and the domestic Women of Liberia Mass Action for Peace movement, Taylor resigned in August 2003 and went into exile in Nigeria.
The subsequent 2005 elections were internationally regarded as the most free and fair in Liberian history. Ellen Johnson Sirleaf, a Harvard-trained economist and former Minister of Finance, was elected as the first female president in Africa. Upon her inauguration, Sirleaf requested the extradition of Taylor from Nigeria and transferred him to the SCSL for trial in The Hague. In 2006, the government established a Truth and Reconciliation Commission to address the causes and crimes of the civil war.
Liberia is divided into fifteen counties, which, in turn, are subdivided into a total of 90 districts and further subdivided into clans.
        ------------------------------------------------
        Answer the question with a super short answer.
        Question:
        Why was Taylor indicted by a special court?
        
        assistant
         He was indicted for crimes against humanity.",for crimes against humanity,0.0005664825439453125,0.5326979160308838,0.35359466075897217
34,Establish a colony for freed African Americans.,establish a colony for freed African Americans.,0.0007176399230957031,0.5330989360809326,1.0000001192092896
35,Barcelona's opponents are not mentioned in the given context.,Porto,0.000698089599609375,0.679840087890625,0.30021870136260986
36,"The indigenous tribes of Liberia, particularly those in the ""bush"".",indigenous natives of the tribes they encountered,0.0007750988006591797,0.8242266178131104,0.5263488292694092
37,Persia.,Persia,0.0007436275482177734,0.2883927822113037,0.9727338552474976
38,"29,029 ft.","29,029",0.0007109642028808594,0.4354825019836426,0.6872962713241577
39,"The functions of police grew beyond law enforcement to urban planning due to the miasma theory of disease, which linked poor living conditions to disease, prompting the need for urban planning to improve public health.","because of the miasma theory of disease; thus, cemeteries were moved out of town, etc.",0.0007364749908447266,2.0930540561676025,0.5304718613624573
40,Asphalt/bitumen.,bituminous rock,0.0008139610290527344,0.3374366760253906,0.48276281356811523
41,Wilson used an aggressive recruiting drive with higher police salaries to attract professionally qualified officers.,an aggressive recruiting drive with higher police salaries,0.0007588863372802734,0.9247217178344727,0.7862085103988647
42,2016.,2016,0.0008313655853271484,0.340085506439209,0.9577949643135071
43,"The rebels eventually split into factions, and a peace deal was reached in 1995, leading to Charles Taylor's election as president in 1997.",split into various factions fighting one another.,0.0006616115570068359,1.655555248260498,0.3830297887325287
44,1926.,1926,0.0007150173187255859,0.33897972106933594,0.9698734879493713
45,The applicability and transportability of policing models between jurisdictions.,there are questions about the applicability and transportability of policing models between jurisdictions,0.0006930828094482422,0.7313475608825684,0.9532389640808105
46,The Fifth Amendment.,Fifth,0.0006673336029052734,0.33891797065734863,0.4635261595249176
47,7-10%,7–10%,0.0006804466247558594,0.3851494789123535,0.9673764705657959
48,1929.,23 June 1929,0.0006139278411865234,0.3372161388397217,0.8228110671043396
49,1834.,1834,0.0006239414215087891,0.3388705253601074,0.9652233719825745
50,"According to the text, some think the most important police work happens in the administrative, economic, and social spheres, not just law enforcement.",on patrol,0.0006124973297119141,1.5140149593353271,0.2628812789916992
51,Athletic Bilbao.,Athletic Bilbao,0.0008552074432373047,0.3386836051940918,0.9789384603500366
52,The text does not provide a specific number of slaves freed during the American Civil War.,"more than 15,000",0.0006718635559082031,0.9747858047485352,0.1639682650566101
53,Franco and Salvador Artigas.,Franco,0.0007166862487792969,0.4844670295715332,0.6900207996368408
54,Intelligence-led policing.,Intelligence-led,0.0007374286651611328,0.33936214447021484,0.7084511518478394
55,"990 per 100,000 births.","990 per 100,000 births",0.0006051063537597656,0.563755989074707,0.9877982139587402
56,7,7,0.0008466243743896484,0.240919828414917,1.0000001192092896
57,The Pool of London on the River Thames.,docks,0.0007529258728027344,0.5835392475128174,0.2480699121952057
58,"In the form of veins, filling cracks in a more or less horizontal direction.",veins,0.0007851123809814453,0.9237849712371826,0.621290922164917
59,"The original ancestors of the Tibetan people are represented by the six red bands in the Tibetan flag: the Se, Mu, Dong, Tong, Dru, and Ra.",six red bands in the Tibetan flag,0.0007107257843017578,1.803288221359253,0.83056640625
60,196 goals.,196,0.0006935596466064453,0.33756017684936523,0.6124728918075562
61,The use of natural gas has pushed out the need to produce roads with coal tar.,natural gas,0.0007522106170654297,0.9748244285583496,0.5209522247314453
62,King Louis XIV in 1667.,King Louis XIV,0.0007526874542236328,0.5345308780670166,0.7979855537414551
63,"Honorary members, associate members, and patrons.",Catalonia's new arrivals,0.0007190704345703125,0.6327731609344482,0.08707904070615768
64,"Grand Bassa and Montserrado are the oldest counties in Liberia, both founded in 1839.",Grand Bassa,0.0007855892181396484,1.2173304557800293,0.45896172523498535
65,The Legislature is composed of the Senate and the House of Representatives.,the Senate and the House of Representatives,0.0006761550903320312,0.7778444290161133,0.7433559894561768
66,1911-12.,1911–12,0.0007052421569824219,0.4346010684967041,0.8728363513946533
67,Paco Aguilar.,Paco Aguilar,0.0007472038269042969,0.38646364212036133,0.9879535436630249
68,Management of exhaust from the power plant.,management of the exhaust from the power plant,0.0006628036499023438,0.5314540863037109,0.9878473877906799
69,60.8%,60.8%,0.0006468296051025391,0.3876943588256836,1.0000001192092896
70,There is no mention of Steaua Bucuresti or the loss in Seville in the provided context.,penalties,0.0006630420684814453,1.269521713256836,0.17384406924247742
71,"Unmarked cars are used for traffic law enforcement, which is considered controversial as it may lead to motorists being pulled over by impersonators.",for traffic law enforcement,0.0007574558258056641,1.4613256454467773,0.462960422039032
72,General Atomics.,General Atomics,0.0006394386291503906,0.338381290435791,0.9657949805259705
73,2008.,2008,0.0005886554718017578,0.33828067779541016,0.9594326615333557
74,FIFA Disciplinary Committee.,FIFA Disciplinary Committee,0.0006210803985595703,0.3866298198699951,0.9820727705955505
75,Traité de la Police.,Traité de la Police,0.0005679130554199219,0.43460869789123535,0.981389045715332
76,"Over 13,000.","13,000",0.0006368160247802734,0.4369204044342041,0.8349312543869019
77,English.,late Middle English,0.0006406307220458984,0.2404773235321045,0.55937260389328
78,65% of 1.3 million barrels per day.,65%,0.0006265640258789062,0.778961181640625,0.5938186049461365
79,Catalan.,Spanish,0.0007600784301757812,0.24235248565673828,0.6353670358657837
80,Asphaltum.,asphaltum,0.0008251667022705078,0.2907218933105469,0.9788594245910645
81,1980.,1980,0.0008018016815185547,0.3399531841278076,0.9577760696411133
82,Five.,five,0.0007288455963134766,0.2420814037322998,0.925620436668396
83,1980.,1980,0.0006206035614013672,0.33686232566833496,0.9577760696411133
84,There is no information about when Barcelona signed Kubala.,June 1950,0.0006337165832519531,0.6792030334472656,0.17058037221431732
85,During China's Cultural Revolution.,During China's Cultural Revolution,0.0006074905395507812,0.4364492893218994,0.9719076156616211
86,De-asphalting unit.,de-asphalting,0.0007121562957763672,0.4858894348144531,0.8523508906364441
87,The Supreme Court.,Supreme Court,0.0006680488586425781,0.3372831344604492,0.9244683980941772
88,Crime and disorder.,corruption,0.0006890296936035156,0.33803343772888184,0.4502381980419159
