idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score
0,27 million.,27 million,0.30383968353271484,2.2504541873931885,0.9667468667030334,1.0,1.0
1,"There is no mention of ""Lynx"" in the provided context.",text based web browser,0.4562065601348877,1.3620319366455078,0.2626938223838806,0.0,0.0
2,Pope Gregory VII,"chancery of Pope Gregory VII,",0.29060840606689453,0.806663990020752,0.802065908908844,0.7499999999999999,0.7499999999999999
3,The city management and urban policy program was ranked first in the nation by U.S. News & World Report's 2016 rankings.,city management and urban policy,0.7829322814941406,1.558014154434204,0.5579134225845337,0.37037037037037035,0.37037037037037035
4,Chest pain.,Chest pain,0.5203001499176025,0.3347489833831787,0.9313799142837524,1.0,1.0
5,30,30,0.29050540924072266,0.756127119064331,1.0000001192092896,1.0,1.0
6,Auswanderer.,Auswanderer,0.25772786140441895,0.6546576023101807,0.9820905923843384,1.0,1.0
7,Yes.,United States never developed bilingualism as Canada did.,0.40254878997802734,0.6190087795257568,-0.029544945806264877,0.0,0.0
8,Political instability and the Sandinista revolution in the late 1970s and 1980s.,the economic collapse of the country many more Nicaraguans migrated to the United States amongst other countries.,1.1455626487731934,1.6018264293670654,0.33820387721061707,0.13793103448275862,0.13793103448275862
9,"The English-speaking American settlers entering the Southwest established their language, culture, and law as dominant, displacing Spanish in the public sphere.",the convention's English-speaking participants felt that the state's remaining minority of Spanish-speakers should simply learn English,0.2780475616455078,1.406360387802124,0.6088175177574158,0.23809523809523808,0.23809523809523808
10,2.4%,2.4,0.36699938774108887,0.8919668197631836,0.6556990146636963,1.0,1.0
11,There is no mention of the V-12 program in the provided context.,World War II,0.3187217712402344,1.3489646911621094,0.12632937729358673,0.0,0.0
12,"1821, after Mexico's War of Independence from Spain.","A large influx of Americans soon followed, originally with the approval of Mexico's president. In 1836",0.27370214462280273,1.0905296802520752,0.5143998861312866,0.23076923076923078,0.15384615384615383
13,1888.,1888,0.307814359664917,0.8423752784729004,0.9602977633476257,1.0,1.0
14,There is no mention of a branch of the Department for Transport having its headquarters in Southampton.,Marine Accident Investigation Branch,0.29804491996765137,1.4928710460662842,0.16945047676563263,0.09523809523809523,0.09523809523809523
15,Primarily in what is now Germany.,Germany,5.1633241176605225,1.0405418872833252,0.6526151895523071,0.2857142857142857,0.2857142857142857
16,Hampshire.,Hampshire,0.2912137508392334,0.5426485538482666,0.9606670141220093,1.0,1.0
17,1923.,1923,0.3637208938598633,0.6183719635009766,0.9702735543251038,1.0,1.0
18,"Student programs, such as Student Union Activities.",Student Union Activities,0.5711989402770996,0.897536039352417,0.867924153804779,0.6,0.6
19,Dr. Alan Whitehead (Labour),Dr. Alan Whitehead,0.32905054092407227,0.8497295379638672,0.8765349984169006,0.8571428571428571,0.8571428571428571
20,Most MIs occur due to coronary artery disease.,coronary artery disease,2.9183309078216553,0.7255020141601562,0.5302587151527405,0.5454545454545454,0.5454545454545454
21,2007,2007,0.771895170211792,0.6157329082489014,1.0000001192092896,1.0,1.0
22,5,5,0.33650946617126465,0.5683333873748779,1.0,1.0,1.0
23,The first reform concerning the calendar was the reform of the Julian calendar as used prior to Pope Gregory XIII's time.,Julian calendar,0.3324446678161621,1.8149631023406982,0.6165309548377991,0.16666666666666669,0.16666666666666669
24,They compromised so that both churches could celebrate on the same day.,compromise,0.4947664737701416,1.3139081001281738,0.2968708872795105,0.15384615384615385,0.15384615384615385
25,"No, the Hanseatic League was not exclusively German, as it included towns outside the Holy Roman Empire and had a multi-ethnic and multi-lingual structure.",The Hanseatic League was not exclusively German,0.27590155601501465,2.348911762237549,0.8734564185142517,0.42424242424242425,0.42424242424242425
26,"Yes, the School Plays have such good reputations that they are normally fully booked every night.",fully booked every night,0.32763242721557617,1.6097760200500488,0.5388400554656982,0.4,0.4
27,HRH The Duchess of Cornwall.,HRH The Duchess of Cornwall,0.4124932289123535,1.0157058238983154,0.9910644292831421,1.0,1.0
28,30.3%,30.3,0.393096923828125,0.9161710739135742,0.7069361209869385,1.0,1.0
29,The Rhine.,12 BC,1.6013965606689453,0.6552376747131348,0.2451634556055069,0.0,0.0
30,"Oppidan Scholarships are awarded to boys who consistently perform with distinction in School and external examinations, either by achieving three distinctions in a row or four throughout their career.",consistently performing with distinction in School and external examinations,0.45081424713134766,2.306671619415283,0.4098820090293884,0.4736842105263158,0.4736842105263158
31,The Election Chamber.,"Parlour, Election Hall, and Election Chamber",0.3105952739715576,0.8717539310455322,0.74503093957901,0.4444444444444444,0.4444444444444444
32,Cunard.,Royal Caribbean,0.30550241470336914,0.8627455234527588,0.39130455255508423,0.0,0.0
33,Tobacco.,tobacco,0.36561059951782227,0.7628774642944336,0.9471733570098877,1.0,1.0
34,2014.,2014,0.28377461433410645,0.863553524017334,0.9431241750717163,1.0,1.0
35,King Henry VI.,the school was founded by King Henry VI,0.4246678352355957,0.867241621017456,0.6326433420181274,0.5454545454545454,0.5454545454545454
36,The Battle of Königgrätz.,(Battle of Königgrätz,60.8314847946167,1.1346423625946045,0.934846043586731,0.9090909090909091,0.9090909090909091
37,Pop-Tanning.,"""Pop-Tanning""",0.5200421810150146,0.8738870620727539,0.922032356262207,1.0,1.0
38,21 March.,21 March,0.40160632133483887,0.8662312030792236,0.9650287628173828,1.0,1.0
