idx,generated_response,ground_truth,reset_cache_time,generate_time,bert_score
0, 1821,After the Mexican War of Independence from Spain,0.0004858970642089844,0.6869039535522461,0.3484393358230591
1," No, while Myanmar (formerly Burma) has made progress towards democracy, it is still a hybrid regime with a nominally civilian government but with the military holding significant power and influence.",Opinions differ whether the transition to liberal democracy is underway,0.0005185604095458984,5.694783687591553,0.40506887435913086
2, 1613,"In 1740, the Mon of Lower Myanmar founded the Restored Hanthawaddy Kingdom",0.0005033016204833984,0.6428101062774658,0.09568728506565094
3, The Eötvös Prize.,"Eötvös Prize, a national prize for mathematics",0.0004887580871582031,1.2496895790100098,0.8249627351760864
4," No, the country still faces many challenges, including human rights abuses, ethnic tensions, and economic struggles.","Aung San Suu Kyi's party won a majority in both houses, ending military rule.",0.0004818439483642578,3.3949315547943115,0.12408222258090973
5," Yes, New Mexico's Spanish has retained many elements of 16th- and 17th-century Spanish and has developed its own vocabulary.",", New Mexico Spanish, and in particular the Spanish of northern New Mexico and Colorado has retained many elements of 16th- and 17th-century Spanish",0.0005619525909423828,4.467603921890259,0.8191639184951782
6, The State of the Union Addresses and other presidential speeches are translated to Spanish.,The State of the Union Addresses and other presidential speeches are translated to Spanish,0.0004899501800537109,2.473684787750244,0.9922918677330017
7," New York City, Orlando, Philadelphia, and Central Florida.","many Puerto Ricans have migrated to New York City, Orlando, Philadelphia, and other areas of the Eastern United States",0.0004875659942626953,2.0136187076568604,0.491531103849411
8," No, in Myanmar (Burma), groups who represent workers are not allowed to express their opinions in protest freely, as the government has a history of suppressing dissent and restricting freedom of speech and assembly.",new labour laws that permit labour unions and strikes,0.0004773139953613281,6.310631990432739,0.254804402589798
9," Historical resentment and violence, such as the Japanese occupation of Burma in World War II, and the treatment of the Rohingya minority.",lingering resentment over the violence that occurred during the Japanese occupation,0.0004813671112060547,4.011009931564331,0.697517454624176
10, The emergence of iron-working settlements in an area south of present-day Mandalay around 500 BC.,with the emergence of iron-working settlements in an area south of present-day Mandalay,0.0004832744598388672,3.239208221435547,0.9340511560440063
11," No, the pace of change for the Burmese people has been uneven and influenced by various factors, including colonialism, military rule, and economic development.",pace of reforms were uneven and ultimately proved insufficient,0.0004937648773193359,5.181612253189087,0.5084384083747864
12, Armed Forces Special Weapons Project (AFSWP),Armed Forces Special Weapons Project,0.0004944801330566406,1.786468505859375,0.8412832021713257
13," He joined government work to help the US triumph over totalitarianism from Nazism, Fascism, and Soviet Communism.","felt that, if freedom and civilization were to survive, it would have to be because the US would triumph over totalitarianism",0.0004930496215820312,4.089769601821899,0.5125935077667236
14," Yes, it was a groundbreaking work in mathematical economics.","proving that the growth rate equals the interest rate were remarkable achievements, even for von Neumann",0.0004971027374267578,1.9860143661499023,0.4348738193511963
15, Yes.,leaders discussed to release more political prisoners,0.0004892349243164062,0.51674485206604,0.04881007969379425
16, The Supreme Court.,Supreme Court,0.0004913806915283203,0.8413667678833008,0.9244683980941772
17, Second incompleteness theorem,second incompleteness theorem,0.0004963874816894531,1.0065948963165283,1.0
18, Princeton University.,von Neumann's digital computers,0.0004994869232177734,0.6792647838592529,0.09754438698291779
19," 800,000","800,000",0.0004885196685791016,0.8421440124511719,1.0
20," Yes, Venezuela has immigrants from other countries, including Cubans, Nicaraguans, Salvadorans, and others.","Between the 18th and early 19th centuries, there were many European immigrants who went to Venezuela",0.0004940032958984375,3.9470365047454834,0.571235179901123
21," No, the languages of Myanmar are not widely used by other nations.",many of them are known only within small tribes around the country,0.0005018711090087891,2.476247549057007,0.3648785352706909
22, 1949,1949,0.0004992485046386719,0.6786491870880127,1.0000001192092896
23, The fall of the Songhai Empire led to the end of the region's role as a trading crossroads.,Saharan trade routes lost significance.,0.0004892349243164062,3.783513069152832,0.46775704622268677
24, People who were out of the country at the time of the census.,"an estimated 1,206,353 persons in parts of northern Rakhine State, Kachin State and Kayin State who were not counted.",0.0004911422729492188,2.477245569229126,0.45505085587501526
25, Ava,king Tabinshwehti,0.0004932880401611328,0.35219550132751465,0.15759794414043427
26, The Niger River,Niger River,0.0004868507385253906,0.6788909435272217,0.9806610345840454
27," Persecution and targeting of civilians, particularly Muslims.",a synagogue but no resident rabbi to conduct services,0.0005061626434326172,1.9856781959533691,0.16590969264507294
28," The country was known as the ""Socialist Republic of the Union of Burma"" before 2010.",Union of Myanmar,0.0005040168762207031,3.6204512119293213,0.634968638420105
29, English and Burmese.,"Pali, the liturgical language of Theravada Buddhism, and English",0.0004940032958984375,1.1685550212860107,0.38747674226760864
30, 1955,1955,0.00048089027404785156,0.679250955581665,0.9999999403953552
31," Yes, there were multiple racial classes in the organized societies of the states of Myanmar.",states were all multi-ethnic polities,0.0005004405975341797,2.96846079826355,0.4567229747772217
32, 1928,When lecturing at Berlin in 1928 and 1929,0.0004973411560058594,0.6786360740661621,0.4518950581550598
33, Village chiefs and elders.,village chiefs and elders,0.0005059242248535156,1.005674123764038,0.9773029088973999
34, 32,two major mathematical papers,0.0005009174346923828,0.515453577041626,0.08427920192480087
35, Burmese and Spanish,Tibetan and Chinese language,0.0004904270172119141,1.0059051513671875,0.46961021423339844
36, Margaret von Neumann,Kann Margit,0.0004906654357910156,0.8419134616851807,0.06881224364042282
37, Union Solidarity and Development Party,The elections of 2010 resulted in a victory for the military-backed Union Solidarity and Development Party,0.0004904270172119141,1.1690545082092285,0.6258912086486816
38, 1930,New Year's Day in 1930,0.0004944801330566406,0.6785159111022949,0.6752567887306213
39, Homo erectus,Homo erectus,0.0004944801330566406,0.6946368217468262,0.9999999403953552
40, Infant mortality.,infant,0.0004925727844238281,0.6757218837738037,0.6123154163360596
41," In Myanmar, communications restrictions have eased, with the government unblocking several websites, including YouTube, Democratic Voice of Burma, and Voice of America, in September 2011.",The most significant change has come in the form that media organisations will no longer have to submit their content to a censorship board before publication.,0.00048470497131347656,5.90886664390564,0.3615049123764038
42, Student protests.,student protests,0.0004944801330566406,0.6795029640197754,0.9789890050888062
43, 1988,1988,0.0004918575286865234,0.6787946224212646,1.0
44, Myitta Ne Thuya (Love and Liquor),Myanmar's first film was a documentary of the funeral of Tun Shein,0.00048065185546875,1.9891631603240967,0.10740766674280167
45," Yes, early civilizations in Myanmar were influenced by each other. The Pyu city-states, for example, were influenced by trade with India, importing Buddhism and other cultural, architectural, and political concepts that would have an enduring influence on later Burmese culture and political organization.",The Pyu culture was heavily influenced by trade with India,0.00048661231994628906,9.200902223587036,0.5230154991149902
46, British colonial rule.,bombed extensively,0.0004889965057373047,0.8428151607513428,0.22853818535804749
47, Pseudorandom numbers.,pseudorandom numbers,0.0005033016204833984,1.1701066493988037,0.9823130369186401
48, 48%,48,0.0005011558532714844,0.6792542934417725,0.6051636934280396
49, The British,bombed extensively by both sides,0.0005033016204833984,0.516714334487915,0.21300911903381348
