idx,generated_response,ground_truth,ir_time,generate_time,bert_score
0,Northeastern State University.,Northeastern State University,0.0010404586791992188,1.8898563385009766,0.9759487509727478
1,Four times.,four times,0.0009210109710693359,0.4500095844268799,0.9555034041404724
2,400.,around 400,0.0007877349853515625,0.4490389823913574,0.7934405207633972
3,Incendiary Fields.,Brandbombenfelder (Incendiary Fields),0.0008487701416015625,0.5427932739257812,0.6490362882614136
4,"September 7, 1940.",7 September 1940,0.0008292198181152344,0.6591470241546631,0.9640204906463623
5,168 people died in the Oklahoma City Bombing.,168,0.0007746219635009766,0.7723910808563232,0.2120770514011383
6,"Tension, noise, cold, and vibration of bombers.","Bombers were noisy, cold, and vibrated badly",0.0006988048553466797,0.7890839576721191,0.8083888292312622
7,Walter Bradford Cannon.,Walter Bradford Cannon,0.0008456707000732422,0.48407649993896484,0.9863770008087158
8,"The ""Bible Belt"".","the ""Bible Belt""",0.0007979869842529297,0.5588891506195068,0.9758330583572388
9,"The lowest recorded temperature of −31 °F (−35 °C) was recorded at Nowata on February 10, 2011.","Herbert Morrison's famous ""Britain shall not burn"" appeal for more fireguards in December 1940.",0.0007691383361816406,1.4297912120819092,0.00972345657646656
10,Scherer's components processing model of emotion.,components processing model,0.0007741451263427734,0.6760122776031494,0.4189494550228119
11,The University of Oklahoma campus.,the south oval of the University of Oklahoma campus,0.0007600784301757812,0.5601634979248047,0.8458245992660522
12,Anthropology.,anthropology,0.0006999969482421875,0.44582486152648926,0.9676189422607422
13,AD 850-1450.,between AD 850 and 1450,0.0006825923919677734,0.592078447341919,0.8826918601989746
14,"177,000 people used the Tube as a shelter on September 27, 1940.",4%,0.0008380413055419922,1.0812427997589111,0.0589316226541996
15,Energy.,energy,0.0008816719055175781,0.4046597480773926,0.8861300349235535
16,Dr. R. V. Jones.,Dr. R. V. Jones,0.0008039474487304688,0.6340460777282715,0.9858399629592896
17,The Pioneer Corps.,Pioneer Corps,0.0008029937744140625,0.4814271926879883,0.9661350250244141
18,Airborne radar.,airborne radar,0.0007693767547607422,0.4792027473449707,0.9006347060203552
19,"December, 1969.","December, 1969",0.0007083415985107422,0.5578832626342773,0.9825912714004517
20,The Tulsa Port of Catoosa in Oklahoma is the furthest-inland oceangoing port in the US.,Tulsa,0.0006885528564453125,1.2610130310058594,0.41782984137535095
21,17 September.,17 September,0.0007684230804443359,0.4849231243133545,0.969551682472229
22,Sand Springs.,Sand Springs,0.0007989406585693359,0.44765210151672363,0.9742531180381775
23,The Tulsa Shock.,Tulsa Shock,0.0008871555328369141,0.48653149604797363,0.9471717476844788
24,A landowner increased harvesting and shortened the age of harvested trees to prevent them from becoming suitable habitat for the red-cockaded woodpecker.,increased harvesting and shortened the age at which he harvests his trees to ensure that they do not become old enough to become suitable habitat,0.0008168220520019531,1.4301044940948486,0.7045993804931641
25,The Air Ministry planned to use Dowding's failures as a reason to attack his leadership and abilities.,attack him and his abilities,0.0007662773132324219,1.0998694896697998,0.23064067959785461
26,"Warehouses, rail lines, and houses were primarily damaged in the attacks.",commercial and domestic areas,0.0008745193481445312,0.9015579223632812,0.20277386903762817
27,Dutch.,Dutch,0.0008156299591064453,0.40494203567504883,0.9625337719917297
28,"2,600","more than 2,600",0.0008027553558349609,0.4823470115661621,0.8753085136413574
29,Over one million people.,over one million,0.0008232593536376953,0.5202682018280029,0.8005800247192383
30,"The Luftwaffe failed to meet preconditions for a 1940 launch of Operation Sea Lion, the provisionally planned German invasion of Britain.",failed in precision attack,0.0008456707000732422,1.4496421813964844,0.14700761437416077
31,Cotton-top tamarins.,cotton-top tamarin,0.0008907318115234375,0.5801968574523926,0.934345543384552
