idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score
0,"1821, after Mexico's War of Independence from Spain.",After the Mexican War of Independence from Spain,0.0010645389556884766,4.537079572677612,0.827423095703125,0.7058823529411765,0.7058823529411765
1,"No, it is a nominally civilian government, but former military leaders still wield significant power.",Opinions differ whether the transition to liberal democracy is underway,0.0010669231414794922,1.3302969932556152,0.2754400372505188,0.08,0.08
2,1740,"In 1740, the Mon of Lower Myanmar founded the Restored Hanthawaddy Kingdom",0.0009584426879882812,0.6511101722717285,0.20223143696784973,0.15384615384615385,0.15384615384615385
3,Eötvös Prize.,"Eötvös Prize, a national prize for mathematics",0.00099945068359375,0.7775015830993652,0.8212054967880249,0.6153846153846153,0.6153846153846153
4,"No, the country still faces challenges and controversies, including human rights abuses, ethnic conflicts, and restrictions on media and civil liberties.","Aung San Suu Kyi's party won a majority in both houses, ending military rule.",0.0010707378387451172,1.6107749938964844,0.0774872824549675,0.0,0.0
5,"Yes, New Mexico's Spanish dialect is distinct due to its geographical isolation and unique history, retaining elements from 16th- and 17th-century Spanish and incorporating words from Nahuatl and Pueblo languages.",", New Mexico Spanish, and in particular the Spanish of northern New Mexico and Colorado has retained many elements of 16th- and 17th-century Spanish",0.0010650157928466797,2.308912754058838,0.7337460517883301,0.42857142857142855,0.39285714285714285
6,New Mexico's laws are promulgated bilingually in Spanish and English.,The State of the Union Addresses and other presidential speeches are translated to Spanish,0.0010437965393066406,1.1897332668304443,0.4372572600841522,0.23999999999999996,0.16
7,"New York City, Orlando, Philadelphia, and other areas of the Eastern United States.","many Puerto Ricans have migrated to New York City, Orlando, Philadelphia, and other areas of the Eastern United States",0.0009686946868896484,1.229987382888794,0.547042727470398,0.8125000000000001,0.8125000000000001
8,There is no information in the given context about groups representing workers being allowed to express their opinions in protest in Burma.,new labour laws that permit labour unions and strikes,0.0009703636169433594,1.4810237884521484,0.28204262256622314,0.0,0.0
9,The lingering resentment over the violence that occurred during the Japanese occupation of Burma in World War II.,lingering resentment over the violence that occurred during the Japanese occupation,0.0009987354278564453,1.3162741661071777,0.8153930902481079,0.7586206896551725,0.7586206896551725
10,The emergence of iron-working settlements in an area south of present-day Mandalay around 500 BC.,with the emergence of iron-working settlements in an area south of present-day Mandalay,0.0010533332824707031,1.3565356731414795,0.9340511560440063,0.8749999999999999,0.8749999999999999
11,"No, the extent and pace of reforms were uneven and ultimately proved insufficient to stem the advance of British colonialism.",pace of reforms were uneven and ultimately proved insufficient,0.0009610652923583984,1.483785629272461,0.6844479441642761,0.6206896551724138,0.6206896551724138
12,Armed Forces Special Weapons Project (AFSWP),Armed Forces Special Weapons Project,0.0009918212890625,0.9168500900268555,0.8412832021713257,0.9090909090909091,0.9090909090909091
13,"He felt that if freedom and civilization were to survive, the US would have to triumph over totalitarianism.","felt that, if freedom and civilization were to survive, it would have to be because the US would triumph over totalitarianism",0.0010449886322021484,1.4045414924621582,0.8759414553642273,0.8717948717948718,0.7692307692307692
14,"Yes, it was highly successful, leading to a front-page story in The New York Times.","proving that the growth rate equals the interest rate were remarkable achievements, even for von Neumann",0.0009524822235107422,1.317370891571045,0.25820213556289673,0.0625,0.0625
15,"Yes, the visit to the United States by President Thein Sein in May 2013 led to an agreement to release more political prisoners.",leaders discussed to release more political prisoners,0.0010619163513183594,1.7423021793365479,0.7176663279533386,0.3333333333333333,0.3333333333333333
16,"Mali's highest court is the Supreme Court, which has both judicial and administrative powers.",Supreme Court,0.0010263919830322266,1.2319953441619873,0.5803179740905762,0.23529411764705882,0.23529411764705882
17,Second Incompleteness Theorem.,second incompleteness theorem,0.0009810924530029297,0.858680009841919,0.9913143515586853,1.0,1.0
18,Von Neumann's digital computers.,von Neumann's digital computers,0.0010504722595214844,0.8169167041778564,0.9621000289916992,1.0,1.0
19,"Approximately 800,000.","800,000",0.0009534358978271484,0.7372004985809326,0.7480473518371582,0.8,0.8
20,"Yes, many European immigrants went to Venezuela between the 18th and early 19th centuries and later migrated to the United States.","Between the 18th and early 19th centuries, there were many European immigrants who went to Venezuela",0.0009279251098632812,1.592773675918579,0.8388296365737915,0.7027027027027026,0.4324324324324324
21,"No, the languages of Myanmar are not widely used by other nations.",many of them are known only within small tribes around the country,0.0009379386901855469,1.0987961292266846,0.3648785352706909,0.25,0.16666666666666666
22,1949.,1949,0.0010535717010498047,0.6901538372039795,0.9726004600524902,1.0,1.0
