idx,generated_response,ground_truth,ir_time,generate_time,bert_score
0,"The term for the liberal groups appearing at this time was the ""New Left"".",New Left,0.28743839263916016,3.4773309230804443,0.6425039768218994
1,"Cotton yarn can be used to make a variety of products, including terrycloth, denim, cambric, corduroy, seersucker, cotton twill, socks, underwear, T-shirts, bed sheets, and yarn for crochet and knitting.",crochet and knitting,0.2991068363189697,3.4466915130615234,0.5448206067085266
2,"""Superheroes in the real world"" approach.","""superheroes in the real world""",0.2492225170135498,1.4239284992218018,0.9100666046142578
3,The late 18th and early 19th centuries.,late 18th and early 19th,0.23626112937927246,1.8089420795440674,0.8297454714775085
4,"The FBI and CIA had a lack of cooperation, which contributed to the failures in preventing the 9/11 attacks.","FBI, CIA",0.4723944664001465,2.436052083969116,0.44803476333618164
5,"42,094","42,094",0.4323005676269531,1.017826795578003,1.0000001192092896
6,The FBI.,real-life cities,0.39607739448547363,1.0269899368286133,0.1867833435535431
7,Egypt.,Egyptian,0.2533082962036133,1.0177607536315918,0.8043161630630493
8,6000-5000 BCE.,Neolithic,0.29747438430786133,1.3169655799865723,0.42856359481811523
9,The U.S. Supreme Court.,Supreme Court,0.31402039527893066,1.4174931049346924,0.8639574646949768
10,"ladybirds, lacewings, and spiders.","ladybirds, lacewings and spiders",0.31070494651794434,1.3044426441192627,0.9756391048431396
11,"Some of Marvel's genre titles, such as horror (The Tomb of Dracula), martial arts (Shang-Chi: Master of Kung Fu), sword-and-sorcery (Conan the Barbarian, Red Sonja), satire (Howard the Duck), and science fiction (2001: A Space Odyssey, ""Killraven"" in Amazing Adventures, Battlestar Galactica, Star Trek), were published in larger-format black and white magazines under its Curtis Magazines imprint.","larger-format black and white magazines, under its Curtis Magazines imprint",0.29828667640686035,6.086525201797485,0.4257766008377075
12,"The United States Department of Health, Education, and Welfare asked Marvel Comics to create a comic book story about drug abuse.",drug abuse,0.33030104637145996,2.222630023956299,0.4311291575431824
13,The FBI is a domestic law enforcement agency.,FBI is primarily a domestic agency,0.2837975025177002,1.3494579792022705,0.9248002767562866
14,Marvel Comics #1 (cover dated Oct. 1939) was the first title published.,"""Seekers of the Weird""",0.25043201446533203,1.8654115200042725,0.07048571109771729
15,Guardians of the Galaxy.,Guardians of the Galaxy,0.28615331649780273,0.9948306083679199,0.9728192090988159
16,"Four men were allowed to be convicted of the March 1965 gangland murder of Edward ""Teddy"" Deegan.",four,0.36359190940856934,2.320096492767334,0.2080727517604828
17,"The US government reacted by passing the RICO Act to combat organized crime, and the FBI was assigned to enforce the US Civil Rights Act of 1964 and investigate its violations.","The country was ""jolted""",0.3960287570953369,3.0821127891540527,0.18085771799087524
18,Pocket Books.,Pocket Books,0.2977781295776367,0.9009530544281006,0.9722139835357666
19,1764.,1738,0.3460123538970947,1.1207318305969238,0.6181498169898987
20,"The Image versions of Marvel characters, as seen in the ""Heroes Reborn"" crossover, were set in a parallel universe with a distinct history, separate from the mainstream Marvel Universe.",a parallel universe with a history distinct from the mainstream,0.2558596134185791,2.8123209476470947,0.47056111693382263
21,3300-1300 BCE.,3300 and 1300 BCE,0.28676652908325195,1.3103835582733154,0.9734699726104736
22,1466,1466,0.358184814453125,1.070866346359253,1.0
23,Windy conditions.,windy,0.2671220302581787,1.1221320629119873,0.8928344249725342
24,"An executive assistant director manages each branch, and an assistant director heads each office and division.",an assistant director,1.0517709255218506,1.8013691902160645,0.6126803755760193
25,Cotton can be blended with other fibers such as rayon and synthetic fibers like polyester to make various fabrics.,knitted or woven,0.25908470153808594,1.9215826988220215,0.4779687523841858
26,"The FBI Laboratory was located in the J. Edgar Hoover Building until 1974, and then it was moved to the FBI Academy in Quantico, Virginia, and also had a second lab at the FBI Academy.",J. Edgar Hoover Building,0.29090332984924316,3.417457342147827,0.612942099571228
27,10.6 million hectares.,10.6 million hectares,0.30553388595581055,1.4129948616027832,0.9912165403366089
28,The FBI Academy.,The FBI Academy,0.4473106861114502,1.1168112754821777,0.9826539754867554
29,"An estimated 800,000 Germans were living in East Prussia during the summer of 1945.","800,000",0.4126760959625244,2.180596351623535,0.3075847923755646
30,Imperial Russian troops.,Russian troops,0.3540303707122803,1.3712072372436523,0.873579740524292
31,Heroes World Distribution.,Heroes World Distribution,0.3283848762512207,1.2027063369750977,0.9721295833587646
