idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score
0,Northeastern State University.,Northeastern State University,0.3097960948944092,2.6626834869384766,0.9759487509727478,1.0,1.0
1,Four times.,four times,0.27306175231933594,1.3036370277404785,0.9555034041404724,1.0,1.0
2,"1,600 civilians were casualties, with around 400 killed.",around 400,0.9261507987976074,1.899998426437378,0.4087463617324829,0.3636363636363636,0.3636363636363636
3,Incendiary Fields.,Brandbombenfelder (Incendiary Fields),0.3696248531341553,1.4275126457214355,0.6490362882614136,0.8,0.8
4,"September 7, 1940.",7 September 1940,0.4664499759674072,1.5867440700531006,0.9640204906463623,1.0,0.6666666666666666
5,168 people died in the Oklahoma City Bombing.,168,0.4467928409576416,1.296654462814331,0.2120770514011383,0.2222222222222222,0.2222222222222222
6,"Tension, exhaustion, and the physical demands of flying noisy, cold, and vibrating bombers.","Bombers were noisy, cold, and vibrated badly",0.385939359664917,2.155076026916504,0.7712872624397278,0.5,0.4
7,Robert C. Solomon.,Walter Bradford Cannon,0.3044240474700928,1.412400722503662,0.28196004033088684,0.0,0.0
8,"The ""Bible Belt"".","the ""Bible Belt""",0.29035329818725586,1.2119090557098389,0.9758330583572388,1.0,1.0
9,The second recording of note is the Second Great Fire of London.,"Herbert Morrison's famous ""Britain shall not burn"" appeal for more fireguards in December 1940.",0.4377610683441162,1.8498311042785645,0.32429060339927673,0.0,0.0
10,Scherer's components processing model of emotion.,components processing model,0.27509570121765137,1.6320972442626953,0.4189494550228119,0.6,0.6
11,The University of Oklahoma campus.,the south oval of the University of Oklahoma campus,0.3446793556213379,1.4815571308135986,0.8458245992660522,0.7142857142857143,0.7142857142857143
12,Anthropology.,anthropology,0.4809558391571045,1.3091678619384766,0.9676189422607422,1.0,1.0
13,AD 850-1450.,between AD 850 and 1450,0.29389214515686035,1.5282185077667236,0.8826918601989746,0.7499999999999999,0.7499999999999999
14,"177,000 people used the Tube as a shelter on September 27, 1940, which was the peak use.",4%,0.3243265151977539,2.498776435852051,0.043356820940971375,0.0,0.0
15,Energy.,energy,0.5316369533538818,1.120197057723999,0.8861300349235535,1.0,1.0
16,Hugh Dowding,Dr. R. V. Jones,0.30855250358581543,1.321674108505249,0.2948867976665497,0.0,0.0
17,The Pioneer Corps.,Pioneer Corps,0.7210648059844971,1.3319053649902344,0.9661350250244141,0.8,0.8
18,Meacon system.,airborne radar,0.30638957023620605,1.3726375102996826,0.1501482129096985,0.0,0.0
19,December 1969.,"December, 1969",0.6099190711975098,1.1723246574401855,0.96211838722229,1.0,1.0
