idx,generated_response,ground_truth,load_knowledge_time,generate_time,bert_score,rouge1_score,rougeL_score
0, The Lobund Institute for Animal Studies.,Lobund Institute for Animal Studies,0.056488037109375,10.656325817108154,0.9848483800888062,0.9090909090909091,0.9090909090909091
1," They argue that child labour is merely a symptom of poverty and that laws banning it may do more harm than good, as it may lead to informal economy and underground businesses, increasing abuse of children.",only option for survival,0.22659826278686523,14.846318483352661,0.02843955159187317,0.0,0.0
2, The children mainly came from poor families or the slums.,slums,0.05330634117126465,11.151564598083496,0.47870028018951416,0.18181818181818182,0.18181818181818182
3, More than half.,more than half,0.23720765113830566,10.100773811340332,0.9653955698013306,1.0,1.0
4, Boys and girls were victims of industrial accidents on a daily basis in Brazil.,Boys and girls,0.05083632469177246,11.566067695617676,0.45533233880996704,0.35294117647058826,0.35294117647058826
5, The A-series.,the A-series,0.0829627513885498,10.078817367553711,0.972833514213562,1.0,1.0
6, Professor of Chemistry and Physics.,Professor of Chemistry and Physics,0.04744839668273926,10.338264226913452,0.9760823249816895,1.0,1.0
7," The second law of thermodynamics, as it arises in statistical mechanics, is a probabilistic law.",not an absolute law,0.22574210166931152,12.279554605484009,0.36409085988998413,0.10526315789473685,0.10526315789473685
8, Full-time work.,full-time work,0.04958486557006836,10.076284408569336,0.9639140367507935,1.0,1.0
9, Aristotle's definition of topos.,Aristotle's,0.06297469139099121,10.463778257369995,0.6157328486442566,0.5714285714285715,0.5714285714285715
10, The Alliance for Catholic Education program offers a Master of Education program.,Alliance for Catholic Education,0.05143451690673828,11.308679103851318,0.8388580083847046,0.5,0.5
11, An early wind tunnel used to compare lift to drag of aeronautical models.,an early wind tunnel,0.05064249038696289,11.732726335525513,0.6628363132476807,0.47058823529411764,0.47058823529411764
12, The Central Collegiate Hockey Association.,Central Collegiate Hockey Association,0.04752492904663086,10.503405094146729,0.9770380258560181,0.888888888888889,0.888888888888889
13, The third type of solution argues that the laws of physics are not time-reversal symmetric.,the laws are not time-reversal symmetric,0.22483015060424805,12.136031150817871,0.7718367576599121,0.6086956521739131,0.6086956521739131
14, An a priori notion.,a priori notion,0.04929065704345703,10.34204912185669,0.9446253776550293,0.8571428571428571,0.8571428571428571
15, 27th in the Maplecroft Child Labour Index 2012 survey.,25th,0.04734349250793457,11.814831018447876,0.15686139464378357,0.0,0.0
16, 13 years old.,13,0.04699873924255371,10.25543212890625,0.6933684349060059,0.5,0.5
17, The water inside the bucket could possibly have a slight curve.,the bucket could be seen as rotating,0.22391629219055176,11.1845383644104,0.7099978923797607,0.33333333333333326,0.33333333333333326
18, Mali,Mali,0.0939793586730957,9.704909801483154,1.0000001192092896,1.0,1.0
19, 114 million.,114,0.053582191467285156,10.067776441574097,0.6709126830101013,0.6666666666666666,0.6666666666666666
20," Eric F. Wieschaus, a Medicine Nobel Prize winner.",Eric F. Wieschaus,0.04864239692687988,11.436102390289307,0.7641677260398865,0.5454545454545454,0.5454545454545454
21, Unclear definition of adolescence and how much time is needed for children to engage in activities crucial for their development.,unclear definition of adolescence,0.04806637763977051,12.545843839645386,0.7501056790351868,0.33333333333333337,0.33333333333333337
22, Two.,two,0.05602264404296875,9.816154479980469,0.8910362720489502,1.0,1.0
23," The Kroc Institute for International Peace Studies at the University of Notre Dame focuses on research, education, and outreach on the causes of violent conflict and the conditions for sustainable peace.",International Peace studies,0.2235429286956787,14.293261289596558,0.640108048915863,0.17647058823529413,0.17647058823529413
24, Max Scheler.,Max Scheler,0.05412912368774414,10.104980707168579,0.9797725081443787,1.0,1.0
25, 15,15,0.04697751998901367,9.803115844726562,1.0,1.0,1.0
26," A copper statue of Christ with arms upraised and the legend ""Venite Ad Me Omnes"".",a copper statue of Christ,0.04957079887390137,12.247006177902222,0.8535715341567993,0.5,0.5
27, The money raised at the Bengal Bouts tournament at Notre Dame goes to the Holy Cross Missions in Bangladesh.,the Holy Cross Missions in Bangladesh,0.04988813400268555,12.50614333152771,0.6315826773643494,0.4799999999999999,0.4799999999999999
28, 1803,1803,0.04697728157043457,9.949206829071045,1.0000001192092896,1.0,1.0
29, Childhood.,deprives children of their childhood,0.0468442440032959,9.812162160873413,0.5631298422813416,0.33333333333333337,0.33333333333333337
30, The Midwest Fencing Conference.,Midwest Fencing Conference,0.04695701599121094,10.378022909164429,0.98058021068573,0.8571428571428571,0.8571428571428571
31, special language,special language,0.047284603118896484,9.799486637115479,1.0,1.0,1.0
32, Economic hardship.,economic hardship,0.05465531349182129,9.949424505233765,0.9502867460250854,1.0,1.0
33, 1842,1842,0.04682731628417969,9.90549612045288,1.0000001192092896,1.0,1.0
34, Year round.,year round,0.04691481590270996,9.93315315246582,0.9659839868545532,1.0,1.0
35, 1781.,1781,0.22726845741271973,10.124456882476807,0.9769490957260132,1.0,1.0
36," 15,000 child slaves were estimated to be working on cocoa farms in the Ivory Coast in 2001.","700,000",0.05188775062561035,12.692464113235474,0.16809260845184326,0.09999999999999999,0.09999999999999999
37, The School of Architecture.,School of Architecture,0.04739999771118164,10.230558633804321,0.9776462316513062,0.8571428571428571,0.8571428571428571
38, 33 majors.,33,0.04738020896911621,10.05727744102478,0.585422694683075,0.6666666666666666,0.6666666666666666
39, Poverty and lack of schools were the primary causes of child labor.,increasing need of cheap labour,0.050092458724975586,11.305704832077026,0.5059609413146973,0.11764705882352941,0.11764705882352941
40, The College of Science.,the College of Science,0.05342388153076172,10.262529850006104,0.9795941114425659,1.0,1.0
41, Sub-Saharan Africa.,rural areas,0.2236926555633545,10.0971360206604,0.4307560920715332,0.0,0.0
42, The 2005 deadlines for the Harkin-Engel Protocol to eliminate the worst forms of child labour in the cocoa industry have not yet been met.,have not yet been met,0.047577857971191406,13.775435209274292,0.13252876698970795,0.33333333333333337,0.33333333333333337
43, Knute Rockne.,Knute Rockne,0.047445058822631836,10.237306356430054,0.9794346690177917,1.0,1.0
44, 1865,1865,0.047579050064086914,9.946023225784302,1.0,1.0,1.0
45, nothing.,next to nothing,0.048093318939208984,9.798187971115112,0.3749559819698334,0.5,0.5
46, Holy Cross Father John Francis O'Hara.,Father John Francis O'Hara,0.047532081604003906,10.744821548461914,0.790717601776123,0.8333333333333333,0.8333333333333333
47, The unidirectional flow.,unidirectional,0.04746079444885254,10.329593658447266,0.6105329990386963,0.5,0.5
48, There was an increase in the field of agriculture.,large numbers of children working in the field of agriculture,0.04864764213562012,10.903671503067017,0.6023876070976257,0.5263157894736842,0.5263157894736842
49, Not guilty.,"not guilty of all 57 charges of child labour violations by the Black Hawk County District Court jury in Waterloo, Iowa, on 7 June 2010.",0.0489649772644043,9.961405515670776,0.4898122251033783,0.14814814814814814,0.14814814814814814
50, Jordan Hall of Science.,Jordan Hall of Science,0.051024675369262695,10.197585821151733,0.9753857254981995,1.0,1.0
