idx,generated_response,ground_truth,load_knowledge_time,generate_time,bert_score
0, Whites and males.,whites and males,0.04731035232543945,4.991631269454956,0.9715855121612549
1, The academic computing department at the University of Kansas contributed to the development of the internet.,academic computing,0.061495065689086914,6.193079948425293,0.5266355276107788
2, The Princeton Review.,Princeton Review,0.053232431411743164,4.978075742721558,0.9508841037750244
3, Anthocyanins in purple grape skin.,anthocyanins,0.05733346939086914,5.4493207931518555,0.711542546749115
4," ""Home on the Range""","""Kansas Song""",0.046260833740234375,5.165274381637573,0.24635115265846252
5, Office for Civil Rights,Office for Civil Rights,0.047627925872802734,4.991814613342285,1.0
6, The state of race relations.,the state of race relations,0.05002713203430176,5.181064605712891,0.9844092726707458
7, Lyndon B. Johnson,Harold L. Ickes,0.06679511070251465,5.072009563446045,0.21842986345291138
8, Lower-class European Americans.,lower-class European Americans,0.048581838607788086,5.083231449127197,0.9674360752105713
9, Bill Self is the head coach of the KU men's basketball team.,Bill Self,0.06432652473449707,6.010112524032593,0.5008639097213745
10, The Education and Justice Departments.,Education and Justice Departments,0.05905961990356445,5.150091648101807,0.9707198143005371
11, Vitis vinifera,Vitis vinifera,0.044762372970581055,5.083879232406616,1.0000001192092896
12, Wilt Chamberlain,Wilt Chamberlain,0.045093536376953125,4.9808807373046875,1.0
13," Alan Mulally, former President and CEO of Ford Motor Company.",Alan Mulally,0.05491065979003906,5.825433015823364,0.7235170006752014
14, Crimson and royal blue.,crimson and royal blue,0.05272364616394043,5.071043252944946,0.9826592803001404
15, June 1963,June 1963,0.0540461540222168,4.98294997215271,1.000000238418579
16," The report ""To Secure These Rights"" stated that when an individual enters the armed services, they surrender some of their rights and privileges as an American citizen, but the government undertakes to protect their integrity as an individual.",surrenders some of the rights and privileges,0.0498654842376709,8.704941511154175,0.6332457065582275
17, Ricci v. DeStefano (2009),Richmond v. J.A. Croson Co.,0.04599642753601074,5.739026069641113,0.14087189733982086
18," New Haven, Connecticut.","New Haven, Connecticut",0.049237728118896484,5.07558012008667,0.9801520109176636
19, Red wine.,red wine,0.05158090591430664,4.88850998878479,0.9667990803718567
20, 1993,1993,0.052530765533447266,4.857576847076416,1.0000001192092896
21," Overland Park, Kansas.",Overland Park,0.050850629806518555,5.171253442764282,0.8808357119560242
22, Table grapes.,table grapes,0.07489418983459473,4.846498250961304,0.9789943099021912
23," Additional fees are charged at KU's specialized professional schools, including the schools of architecture, music, arts, business, education, engineering, journalism, law, pharmacy, and social welfare.",additional fees,0.04952383041381836,8.147982358932495,0.55802321434021
24, Nike,Nike,0.05561947822570801,4.702469348907471,1.0
25, Vitis vinifera,Vitis vinifera,0.04870414733886719,5.086056470870972,1.0000001192092896
26, Title VII of the Civil Rights Act aimed to end discrimination in all firms with 25 or more employees.,to end discrimination in all firms with 25 or more employees,0.05109405517578125,6.579960107803345,0.6981199979782104
27," Princeton Dean of Admissions Janet Rapelye stated that Li was not admitted because ""many others had far better qualifications.""",many others had far better qualifications,0.047975778579711914,6.8592493534088135,0.4562026262283325
28, Shelby Steele believes that the true concept of affirmative action is enforcing equal opportunity.,enforcing equal opportunity,0.047211647033691406,6.020962238311768,0.4943450093269348
29," The University of Kansas School of Engineering was ranked tied for 90th among national universities in the U.S. News & World Report's ""America’s Best Colleges"" 2016 issue, compared to other national universities.",national universities,0.05200338363647461,8.71011734008789,0.49568966031074524
30, The KU Endowment seeks to partner with donors.,donors,0.04495668411254883,5.63578987121582,0.5065339803695679
31, The Kansas Jayhawks.,Kansas Jayhawks,0.04526329040527344,5.042701482772827,0.935880720615387
32, 131,131,0.04504823684692383,4.8056981563568115,1.0000001192092896
33, John F. Kennedy,John F. Kennedy,0.05682873725891113,4.986674070358276,1.0000001192092896
34, School segregation laws.,school segregation,0.05564260482788086,4.962851285934448,0.8717314004898071
35, The U.S. Equal Employment Opportunity Commission.,U.S. Equal Employment Opportunity Commission,0.051349639892578125,5.4563398361206055,0.9530961513519287
36, Create an environment in which there is a culture of respect for individual differences and the ability to draw in talent and ideas from all segments of the population.,draw in talent and ideas from all segments of the population,0.04583263397216797,7.404463291168213,0.6877642869949341
37, Five times.,five,0.05432271957397461,4.893758296966553,0.6817899346351624
38," Shiraz, a city in Persia (modern-day Iran).",Shiraz,0.04645228385925293,5.8197550773620605,0.7104108333587646
39, The main purpose of the Government Contract Committee was to conduct surveys of the racial composition of federal employees and tax-supported contractors and to impose contractors with the primary responsibility of desegregation within their own companies and corporations.,conducted surveys of the racial composition of federal employees and tax-supported contractors,0.04537820816040039,8.530144929885864,0.6623138785362244
40, Total phenolic content.,Total phenolic content,0.05713367462158203,5.071134328842163,0.9618061780929565
41," The plaintiffs claimed the university had a ""race-conscious policy"" that ""violated their civil and constitutional rights"".",race-conscious policy,0.05082106590270996,6.665822982788086,0.5389236211776733
