idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score
0,The rooms in the Belgian Suite are linked by narrow corridors.,by narrow corridors,0.0008907318115234375,1.9627196788787842,0.49660420417785645,0.42857142857142855,0.42857142857142855
1,It is also an art gallery.,art gallery,0.0009591579437255859,0.6065564155578613,0.8012039661407471,0.5,0.5
2,Braque and Picasso.,Braque and Picasso,0.0008575916290283203,0.5065720081329346,0.9787653684616089,1.0,1.0
3,Juan Gris.,Juan Gris,0.0008575916290283203,0.4449770450592041,0.9844105839729309,1.0,1.0
4,The Crown Estate owns Buckingham Palace and Windsor Castle.,Crown Estate,0.0008554458618164062,0.7001132965087891,0.7044792175292969,0.3636363636363636,0.3636363636363636
5,Goring Great Garden.,Goring Great Garden,0.0008234977722167969,0.5142245292663574,0.9819589257240295,1.0,1.0
6,To highlight minority party goals and achievements.,write books or articles that highlight minority party goals and achievements,0.0008718967437744141,0.6210572719573975,0.7689049243927002,0.6666666666666665,0.6666666666666665
7,The Speaker of the House is the leader of the majority party in the House.,Speaker,0.0008404254913330078,0.914318323135376,0.4600050449371338,0.125,0.125
8,Buckingham House.,Buckingham House,0.0008347034454345703,0.4624443054199219,0.9801653623580933,1.0,1.0
9,Sir James Pennethorne.,Sir James Pennethorne.,0.0008306503295898438,0.5731816291809082,1.0,1.0,1.0
10,Dornier Do 17 bomber.,Dornier Do 17 bomber,0.0008273124694824219,0.550912618637085,0.9816239476203918,1.0,1.0
11,Woman Walking.,Woman Walking,0.0008637905120849609,0.4356546401977539,0.993730902671814,1.0,1.0
12,1762.,1762,0.0008368492126464844,0.47914958000183105,0.9633775353431702,1.0,1.0
13,The Duke of Buckingham and Normanby in 1703.,Duke of Buckingham and Normanby,0.00083160400390625,0.7953588962554932,0.8390429019927979,0.7692307692307693,0.7692307692307693
14,James Blaine of Maine.,James Blaine,0.0008366107940673828,0.5528810024261475,0.854963481426239,0.6666666666666666,0.6666666666666666
15,King George V.,George V,0.0008640289306640625,0.4998586177825928,0.8678106069564819,0.8,0.8
16,A King's Messenger.,King's Messenger,0.0008032321929931641,0.4443185329437256,0.8973678350448608,0.8571428571428571,0.8571428571428571
17,"£21,000.","£21,000",0.0008447170257568359,0.5176253318786621,0.9723057150840759,1.0,1.0
18,A minority leader can attempt to set some agenda for the House by employing or threatening to use discharge petitions to bring minority priorities to the floor.,"may employ, or threaten to use, discharge petitions to try and bring minority priorities to the floor.",0.000873565673828125,1.3532352447509766,0.797534167766571,0.6363636363636364,0.6363636363636364
19,Coach horses.,horses,0.0008101463317871094,0.4347078800201416,0.8238334655761719,0.6666666666666666,0.6666666666666666
20,1905-1908.,"1905 and 1908,",0.0008585453033447266,0.6099932193756104,0.952204704284668,0.8,0.8
21,The Throne Room.,the throne room,0.0008373260498046875,0.4713749885559082,0.9784623384475708,1.0,1.0
22,Glass.,glass,0.0008490085601806641,0.42467546463012695,0.951978325843811,1.0,1.0
23,"The Queen's Gallery, near the Royal Mews.",at the Queen's Gallery,0.000823974609375,0.7364494800567627,0.829236626625061,0.6153846153846154,0.6153846153846154
24,Queen Victoria.,Queen Victoria,0.0008332729339599609,0.4607083797454834,0.9674348831176758,1.0,1.0
25,The Making of Americans.,The Making of Americans,0.0008382797241210938,0.48329901695251465,0.9760099649429321,1.0,1.0
26,Paul Gauguin and Paul Cézanne.,Paul Gauguin and Paul Cézanne,0.0008988380432128906,0.7341034412384033,0.9873037338256836,1.0,1.0
27,Silk.,silk.,0.0008227825164794922,0.40488362312316895,1.0,1.0,1.0
28,The freehold of the palace was subject to frenzied speculation in the 17th century.,the freehold,0.000835418701171875,1.0862605571746826,0.4466991424560547,0.25,0.25
29,52.,52,0.0008344650268554688,0.45960187911987305,0.9440832734107971,1.0,1.0
30,hardship,their subjects' hardship,0.0008244514465332031,0.3295447826385498,0.6945285797119141,0.5,0.5
31,King George V.,George V,0.0008499622344970703,0.48081016540527344,0.8678106069564819,0.8,0.8
32,The style of the saucer domes in the Belgian Suite is designed by Nash in the style of Soane.,the style of Soane,0.0008285045623779297,1.1971709728240967,0.5798629522323608,0.34782608695652173,0.34782608695652173
33,Internal party disunity and a lack of formal party leadership structure made it difficult to identify House leadership.,Internal party disunity,0.0008437633514404297,1.0578243732452393,0.648302435874939,0.2857142857142857,0.2857142857142857
34,"The palace's chimneys smoked excessively, causing fires to be allowed to die down to avoid the smoke.",the chimneys smoked,0.0008225440979003906,1.1200971603393555,0.7081068754196167,0.2857142857142857,0.2857142857142857
