idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score
0,1935,1935,0.40116190910339355,2.948873281478882,1.0,1.0,1.0
1,"No, the number of entrants has varied over the years, with a record 763 clubs participating in the 2011-12 season.",The number of entrants has increased greatly in recent years,0.28314661979675293,2.599004030227661,0.6831884384155273,0.45161290322580644,0.3870967741935483
2,"José Batlle y Ordóñez, President of Uruguay from 1911 to 1915.",José Batlle y Ordóñez,0.3165574073791504,2.224996328353882,0.684239387512207,0.5882352941176471,0.5882352941176471
3,Francisco Antonio Maciel.,Francisco Antonio Maciel,0.3240940570831299,1.2494456768035889,0.9896161556243896,1.0,1.0
4,"Yes, Rebecca Lowe became the first woman to host the FA Cup Final in the UK in 2011.",Rebecca Lowe became the first woman to host the FA Cup Final in the UK.,0.34151411056518555,2.226616621017456,0.9242324829101562,0.9090909090909091,0.9090909090909091
5,A major storm.,A major storm,0.3997335433959961,1.2008459568023682,0.9748867750167847,1.0,1.0
6,Gordon Brown.,"his Chancellor, Gordon Brown",0.280045747756958,1.0571486949920654,0.7710922956466675,0.6666666666666666,0.6666666666666666
7,May 1994.,May 1994,0.3251206874847412,1.4017093181610107,0.9781463146209717,1.0,1.0
8,Plaza Zabala with the equestrian statue of Bruno Mauricio de Zabala.,Plaza de la Constitución,0.34877538681030273,2.124709367752075,0.4208224415779114,0.25000000000000006,0.25000000000000006
9,191,191,0.5467925071716309,1.0106427669525146,1.0000001192092896,1.0,1.0
10,The BBC and Sky Sports had FA Cup coverage from 1988-1997.,"From 1988 to 1997, the BBC and Sky Sports had coverage of the FA Cup",0.5724716186523438,2.003506898880005,0.9557037353515625,0.888888888888889,0.5925925925925926
11,There is no information in the given context about who planned the first set of subsidiary forts.,Portuguese,0.35390806198120117,1.7546048164367676,-0.049716733396053314,0.0,0.0
12,Telecommunications company.,telecommunications,1.669856071472168,1.2015254497528076,0.8162104487419128,0.6666666666666666,0.6666666666666666
13,1942,1942,0.8743021488189697,1.3126482963562012,1.0,1.0,1.0
14,"81,774.","81,774",0.3206453323364258,1.4148969650268555,0.983536958694458,1.0,1.0
15,"Yes, the trophy is decorated with ribbons in the colors of both finalists during the final.","the trophy wears is decorated with ribbons in the colours of both finalists, with the loser's ribbons being removed at the end of the game.",0.3082883358001709,1.7681255340576172,0.8697636127471924,0.5714285714285714,0.5714285714285714
16,Rimer Cardillo,Rimer Cardillo,0.40740275382995605,1.358067512512207,1.0000001192092896,1.0,1.0
17,The FA Cup trophy is replaced with an exact replica after 20 years of wear and tear.,"the trophy was to be permanently presented to any club which won the competition three times,",1.9680588245391846,2.105654716491699,0.570635199546814,0.12121212121212122,0.12121212121212122
18,September 2006,September 2006,0.3901376724243164,1.1055576801300049,1.0,1.0,1.0
19,207,207,0.8916037082672119,1.1118965148925781,1.0,1.0,1.0
20,Plaza Zabala.,Plaza Zabala,0.28742241859436035,1.415893793106079,0.97856205701828,1.0,1.0
21,Romanesque Revival style.,Romanesque Revival style,0.24495220184326172,1.5103366374969482,0.9603022336959839,1.0,1.0
22,Doncaster,Doncaster,0.2957265377044678,1.2463908195495605,1.0,1.0,1.0
23,BT Sport took over after ESPN.,BT Sport,0.254685640335083,1.4566919803619385,0.7603031396865845,0.5,0.5
24,Daniel Muñoz.,Daniel Muñoz,0.30518007278442383,1.408139944076538,0.9780284762382507,1.0,1.0
25,The Militant tendency group's five-member editorial board were expelled on 22 February 1983.,activists and the two MPs who supported the group.,0.2874908447265625,2.1511876583099365,0.34170615673065186,0.16666666666666669,0.16666666666666669
26,1816.,1816,0.3136935234069824,1.3592925071716309,0.9636778831481934,1.0,1.0
27,2014,"2014 replica of the second design, introduced in 1911",0.314011812210083,1.310246467590332,0.260975182056427,0.19999999999999998,0.19999999999999998
28,Sir John Chilcot.,Sir John Chilcot,0.3119320869445801,1.2124292850494385,0.9859715700149536,1.0,1.0
29,European immigration.,the great European immigration,0.7094159126281738,1.3094432353973389,0.8164143562316895,0.6666666666666666,0.6666666666666666
