idx,generated_response,ground_truth,ir_time,generate_time,bert_score
0,The Lobund Institute.,Lobund Institute for Animal Studies,0.4902057647705078,2.778047800064087,0.6626175045967102
1,"They argue that child labour is a symptom of poverty and that banning it could lead to more harm, such as children turning to more dangerous professions or underground businesses.",only option for survival,0.777454137802124,2.769519090652466,0.06445054709911346
2,India and Africa.,slums,0.6332883834838867,1.3585546016693115,0.19833891093730927
3,More than half.,more than half,0.25267934799194336,1.355576992034912,0.9653955698013306
4,Boys and girls in Brazil.,Boys and girls,0.5827925205230713,1.4646282196044922,0.640956699848175
5,The A-series.,the A-series,0.2783699035644531,1.1059722900390625,0.972833514213562
6,Professor of Chemistry and Physics.,Professor of Chemistry and Physics,0.30947089195251465,1.4562935829162598,0.9760823249816895
7,"The second law of thermodynamics, as it arises in statistical mechanics, is a probabilistic law, stating that it is overwhelmingly likely that net entropy will increase.",not an absolute law,0.5692031383514404,2.5323326587677,0.31819477677345276
8,Full-time work and sometimes part-time work.,full-time work,0.5388033390045166,1.416294813156128,0.8456478118896484
9,Aristotle's definition of topos.,Aristotle's,0.3882262706756592,1.0738978385925293,0.6157328486442566
10,The Alliance for Catholic Education program offers a Master of Education program.,Alliance for Catholic Education,0.45531487464904785,1.8149869441986084,0.8388580083847046
11,"Albert Zahm, the brother of John Zahm, built an early wind tunnel at Notre Dame.",an early wind tunnel,0.4713869094848633,2.1677184104919434,0.43567556142807007
12,The Central Collegiate Hockey Association.,Central Collegiate Hockey Association,0.47056102752685547,1.5062510967254639,0.9770380258560181
13,The third type of solution argues that the laws are not time-reversal symmetric.,the laws are not time-reversal symmetric,0.46993279457092285,1.7000536918640137,0.8355544805526733
14,An a priori notion.,a priori notion,1.0681865215301514,1.182509183883667,0.9446253776550293
15,25th riskiest country for child labor uncertainties.,25th,0.5695075988769531,1.7046847343444824,0.24535298347473145
16,13 years old.,13,0.39059925079345703,1.413747787475586,0.6933684349060059
17,"Mach argued that if another object were introduced into the universe, the water in the bucket could possibly have a slight curve.",the bucket could be seen as rotating,0.26834940910339355,1.8289697170257568,0.492011696100235
18,Mali.,Mali,0.35506486892700195,1.262230396270752,0.9725584387779236
19,114 million.,114,0.6206612586975098,1.3626630306243896,0.6709126830101013
20,"Eric F. Wieschaus, a Medicine Nobel Prize winner.",Eric F. Wieschaus,0.3061521053314209,1.6633927822113037,0.7641677260398865
21,Unclear definition of adolescence and how much time is needed for children to engage in activities crucial for their development.,unclear definition of adolescence,0.3661367893218994,2.2758519649505615,0.7501056790351868
22,2,two,0.515495777130127,1.1024022102355957,0.8183472156524658
