idx,generated_response,ground_truth,load_knowledge_time,generate_time,bert_score,rouge1_score,rougeL_score
0, Both Raoul Walsh and John Lasseter are film directors.,film director,90.53375387191772,99.71453809738159,0.5802510380744934,0.3636363636363636,0.3636363636363636
1, Katharine Ross,Katharine Ross,90.67947292327881,95.32829570770264,1.0,1.0,1.0
2, Eatonville,Orange,90.06983017921448,94.49198198318481,0.14969946444034576,0.0,0.0
3, American,American,90.5569281578064,94.54302430152893,1.0,1.0,1.0
4, Chelsea,Chelsea Football Club,90.47682356834412,94.23219466209412,0.8595088720321655,0.5,0.5
5, Totopoly was created earlier.,Totopoly,90.3664174079895,96.5149838924408,0.7697086334228516,0.4,0.4
6, True Colors Tour,The True Colors Tour,90.71134996414185,95.34892702102661,0.9831905364990234,0.8571428571428571,0.8571428571428571
7, Jay Oliva,Patrick Lussier,90.18541860580444,95.05891132354736,0.3332723081111908,0.0,0.0
8, The Good Wife,The Good Wife,90.60801434516907,95.47451877593994,1.0000001192092896,1.0,1.0
9," Daytona Beach, Florida.","Daytona Beach, Florida",90.39380478858948,96.13979530334473,0.982018232345581,1.0,1.0
10," The Con Mine started production in 1938, while the Giant Mine started production in 1944.",The Con Mine,90.91824746131897,103.58072090148926,0.430807501077652,0.33333333333333337,0.33333333333333337
11, 1993,1988,90.5203697681427,95.38803243637085,0.6606292128562927,0.0,0.0
12, United States,U.S.,90.18556427955627,94.61384415626526,0.8774093389511108,0.0,0.0
13," ""All in the Family"".",All in the Family,90.72037506103516,96.67044997215271,0.8050900101661682,1.0,1.0
14," Thums Up has a higher market share in India, commanding approximately 42% of the cola segment, while IBC Root Beer is a smaller brand with a lower market share.",Thums Up,90.15314197540283,109.24246644973755,0.45933371782302856,0.12903225806451613,0.12903225806451613
15, Yes.,yes,90.26129269599915,94.45253777503967,0.836855947971344,1.0,1.0
16, Kanjut Sar,Kanjut Sar,90.4418478012085,95.71536636352539,1.0,1.0,1.0
17, Leeds United F.C.,Leeds United Football Club,90.45515179634094,95.97124147415161,0.8536763191223145,0.5,0.5
18," Lance E. Nichols played Larry Williams in the 2008 film ""The Curious Case of Benjamin Button"".",David Fincher,90.41096496582031,103.43555998802185,0.2056349813938141,0.0,0.0
19, Albert Ray made more movies after 1939.,Melvin Frank,90.43712401390076,98.29849910736084,0.2880256772041321,0.0,0.0
20, The Archers,The Archers,90.85419225692749,95.48719716072083,0.9999998807907104,1.0,1.0
21, 3 times,twice,90.73836731910706,95.38422751426697,0.8184833526611328,0.0,0.0
22, Illinois.,Illinois,90.4994957447052,94.69278168678284,0.9449329376220703,1.0,1.0
23, The Grand Ole Opry.,The Grand Ole Opry,90.93529534339905,96.88065886497498,0.989985466003418,1.0,1.0
24, Chennai,Hyderabad,90.4312973022461,94.18641662597656,0.6103842854499817,0.0,0.0
25, Arizona State University,Arizona State University,90.1943130493164,94.84232544898987,0.9999999403953552,1.0,1.0
26, 1150,1133,90.50893759727478,95.13738179206848,0.5534892678260803,0.0,0.0
27, Libya,Libya,90.03073215484619,94.03177309036255,1.0,1.0,1.0
28, China,China,90.49940586090088,94.27521705627441,1.0000001192092896,1.0,1.0
29, pharmaceutical companies.,pharmaceutical companies,90.23625707626343,95.08343529701233,0.9730814099311829,1.0,1.0
30, 1947,1947,90.88286805152893,95.49993419647217,1.0,1.0,1.0
31, Rensselaer County,Troy,90.341317653656,96.49711871147156,0.1329796314239502,0.0,0.0
32, Amanda Bynes,Amanda Laura Bynes,90.36002087593079,95.20319414138794,0.9320780038833618,0.8,0.8
33, Abbas Shafiee,Abbas Shafiee,90.24815082550049,96.00131130218506,1.0000001192092896,1.0,1.0
34, United States.,United States of America,90.48339438438416,95.1098620891571,0.8166301250457764,0.6666666666666666,0.6666666666666666
35, The World nightclub hosted RuPaul.,RuPaul Andre Charles,90.21555304527283,96.55621719360352,0.5229738354682922,0.25,0.25
