idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score
0,Contessina de Medici.,Contessina de' Bardi,0.0011415481567382812,2.054888963699341,0.6091805696487427,0.6666666666666666,0.6666666666666666
1,James Gunn.,James Gunn,0.0010323524475097656,0.4560048580169678,0.970685601234436,1.0,1.0
2,Kansas City.,"Overland Park, Kansas",0.0008976459503173828,0.4810292720794678,0.6883466243743896,0.4,0.4
3,Anthony Pini was a teacher at the Guildhall School of Music and Drama.,Carlos Antonio Pini OBE,0.0007436275482177734,0.9328644275665283,0.5081427097320557,0.11764705882352941,0.11764705882352941
4,There is no information about Ponsonby baronet serving as a Prime Minister.,Prime Minister of the United Kingdom from 1955 to 1957,0.0007977485656738281,0.9742815494537354,0.39424270391464233,0.1818181818181818,0.1818181818181818
5,Plains Indians.,Plains Indians,0.0008914470672607422,0.46257519721984863,0.976196825504303,1.0,1.0
6,P.O.D. is a band.,P.O.D.,0.0007393360137939453,0.6780152320861816,0.7047035694122314,0.6666666666666666,0.6666666666666666
7,Central Africa.,Africa,0.0007958412170410156,0.46152234077453613,0.8440004587173462,0.6666666666666666,0.6666666666666666
8,"1,200 sites across 50 countries.","1,200",0.0007765293121337891,0.6561696529388428,0.348208487033844,0.5,0.5
9,Roger Ebert.,Roger Ebert,0.0008485317230224609,0.5237288475036621,0.9817467927932739,1.0,1.0
10,Wichita State University.,Wichita State University,0.0008113384246826172,0.5223584175109863,0.9855532646179199,1.0,1.0
11,"No, Kelly Cherry is a novelist, poet, and essayist, not a playwright.",no,0.0007660388946533203,1.015552043914795,0.133705735206604,0.15384615384615385,0.15384615384615385
12,Michelle Wie.,Michelle Sung Wie,0.0008301734924316406,0.4542217254638672,0.855185329914093,0.8,0.8
13,"Lubbock, a region known historically and geographically as the Llano Estacado and ecologically is part of the southern end of the High Plains.",the northwestern part,0.0007736682891845703,1.635524034500122,0.19712524116039276,0.15384615384615383,0.15384615384615383
14,Eastern Algonquian.,Eastern Algonquian languages,0.0008897781372070312,0.6024966239929199,0.7617610096931458,0.8,0.8
15,20th Century Fox.,20th Century Fox,0.0008950233459472656,0.6019532680511475,0.9862917065620422,1.0,1.0
16,Blitz.,Blitz,0.000820159912109375,0.3932478427886963,0.9666762948036194,1.0,1.0
17,Armando Iannucci.,Armando Iannucci,0.0008082389831542969,0.6009941101074219,0.9851549863815308,1.0,1.0
18,Bob Knight.,The General,0.0007264614105224609,0.4541478157043457,0.25485509634017944,0.0,0.0
19,PA-28R-200 IFR.,PA28R-200 IFR,0.0008451938629150391,0.7011451721191406,0.8592417240142822,0.5714285714285715,0.5714285714285715
20,They are both early personal computers.,computer,0.0007500648498535156,0.6127393245697021,0.48520442843437195,0.2857142857142857,0.2857142857142857
21,Scottish Widows.,Scottish Widows,0.0007622241973876953,0.47238707542419434,0.9682257771492004,1.0,1.0
22,Saturday Night Live.,Saturday Night Live,0.0006928443908691406,0.49779629707336426,0.9659030437469482,1.0,1.0
23,James T. Kirk.,"James Tiberius ""Jim"" Kirk",0.0007030963897705078,0.5368785858154297,0.7509626150131226,0.5714285714285715,0.5714285714285715
24,Scotland.,Scotland,0.0006923675537109375,0.4263150691986084,0.9459118843078613,1.0,1.0
25,Silicon photonics.,silicon photonics,0.0008628368377685547,0.4245133399963379,0.9402015209197998,1.0,1.0
26,"Abetifi, the capital of Kwahu East district.",Kwahu East district,0.0008158683776855469,0.7790522575378418,0.7399545311927795,0.6,0.6
27,Old Yeller (1957) was released before Flight of the Navigator (1986).,Old Yeller,0.0008549690246582031,1.0640172958374023,0.5304335355758667,0.3076923076923077,0.3076923076923077
28,Makoto Shinkai.,Makoto Shinkai,0.0008590221405029297,0.5764591693878174,0.9853770136833191,1.0,1.0
29,"Sord Computer Corporation was founded in 1970, while the TRS-80 MC-10 was produced in the early 1980s.",Sord Computer Corporation,0.0008060932159423828,1.497380018234253,0.6546165943145752,0.2727272727272727,0.2727272727272727
30,The Chevrolet Tahoe platform.,The Chevrolet Tahoe,0.0009000301361083984,0.5453846454620361,0.8892685174942017,0.8571428571428571,0.8571428571428571
31,"Oscar Micheaux directed more than 44 films, while P. J. Castellaneta directed only 2 films.",Micheaux,0.0007665157318115234,1.2978012561798096,0.3333698511123657,0.125,0.125
32,Felicity.,Felicity,0.0008218288421630859,0.4659535884857178,0.9729182124137878,1.0,1.0
