idx,generated_response,ground_truth,reset_cache_time,generate_time,bert_score,rouge1_score,rougeL_score
0, Vietnam War,Vietnam War,0.0004923343658447266,0.7413384914398193,1.0000001192092896,1.0,1.0
1, Hawaii,"Waimānalo, Hawaii",0.0005240440368652344,0.45729994773864746,0.6543591618537903,0.5,0.5
2, Camp Nou,Camp Nou,0.0004911422729492188,0.6744399070739746,0.9999999403953552,1.0,1.0
3, Condé Nast.,Condé Nast,0.0005023479461669922,1.3176743984222412,0.9807910323143005,1.0,1.0
4, Lost McLeod Mine,Lost McLeod Mine,0.0004935264587402344,1.0977935791015625,1.0,1.0,1.0
5, European Central Bank,the Financial Stability Board,0.0005125999450683594,0.889162540435791,0.5415743589401245,0.0,0.0
6, Texas Instruments.,Texas Instruments,0.0004923343658447266,0.8852541446685791,0.9664025902748108,1.0,1.0
7, Jude Law,Jude Law,0.000484466552734375,0.6703107357025146,1.0,1.0,1.0
8, Xzibit,Jayceon Terrell Taylor,0.0005004405975341797,1.0957510471343994,0.0897047221660614,0.0,0.0
9, Muammar Gaddafi,Muammar Gaddafi,0.0004889965057373047,1.3068530559539795,1.0,1.0,1.0
10, Cypripedium,Cypripedium,0.0004916191101074219,1.094377040863037,1.0,1.0,1.0
11, Gina Rodriguez,Gina Alexis Rodriguez,0.00048661231994628906,0.6769473552703857,0.9405072927474976,0.8,0.8
12," Norman Dike was portrayed in the HBO miniseries ""Band of Brothers"" by Peter O'Meara.",Band of Brothers,0.0004906654357910156,5.129196643829346,0.5587443113327026,0.33333333333333337,0.33333333333333337
13, Yes.,no,0.0004968643188476562,0.6709377765655518,0.5598188042640686,0.0,0.0
14, Poster Children,Poster Children,0.000492095947265625,0.6686155796051025,1.0,1.0,1.0
15," The musical group responsible for the soundtrack for the film ""Far and Away"" is John Williams.",The Chieftains,0.0005035400390625,4.285500526428223,0.09018531441688538,0.1111111111111111,0.1111111111111111
16, 1978,1978,0.0005009174346923828,0.928809642791748,1.0,1.0,1.0
17," October 6, 2008",6 October 2008,0.0005021095275878906,1.736008644104004,0.967599630355835,1.0,0.6666666666666666
18, Stillwater County,Stillwater County,0.0004978179931640625,0.8962855339050293,1.0,1.0,1.0
19, Khemri,Khemri,0.0004897117614746094,0.8997149467468262,1.0,1.0,1.0
20, 1989,1989,0.0004930496215820312,0.8954455852508545,0.9999999403953552,1.0,1.0
21, No,no,0.0004937648773193359,0.4620647430419922,1.0,1.0,1.0
22, Dennis Farina,Dennis Farina,0.0008130073547363281,0.8933331966400146,1.0,1.0,1.0
23, Yes.,yes,0.0005130767822265625,0.6792776584625244,0.836855947971344,1.0,1.0
24, Cristian Castro,Cristian Castro,0.0005013942718505859,0.9033076763153076,1.0,1.0,1.0
25, Yes.,yes,0.0004944801330566406,0.6775836944580078,0.836855947971344,1.0,1.0
26, TCU,Texas Christian University,0.0004897117614746094,0.6773545742034912,0.37133896350860596,0.0,0.0
27, Whippets are larger than Jack Russell Terriers.,Whippets,0.0004892349243164062,2.4029619693756104,0.6332348585128784,0.25,0.25
28, North Terrace and King William Road.,North Terrace and King William Road,0.0005002021789550781,1.7579116821289062,0.9891370534896851,1.0,1.0
29," ""Chocolate""",Chocolate,0.0004949569702148438,0.900770902633667,0.866205096244812,1.0,1.0
30, Brooklyn.,Brooklyn,0.0004932880401611328,0.683093786239624,0.9740222692489624,1.0,1.0
31, The Kenworth T600.,Kenworth T600,0.0004820823669433594,1.5483226776123047,0.9339835047721863,0.8,0.8
