idx,generated_response,ground_truth,load_knowledge_time,generate_time,bert_score,rouge1_score,rougeL_score
0, 1968,1968,0.05112314224243164,9.759664297103882,1.0,1.0,1.0
1, Poland.,Poland,0.07142448425292969,9.61794376373291,0.9521729350090027,1.0,1.0
2, J Mascis,J Mascis,0.046851158142089844,9.697146654129028,1.0,1.0,1.0
3, Zantedeschia aethiopica,Zantedeschia aethiopica,0.04837679862976074,10.586788892745972,1.0000001192092896,1.0,1.0
4, society.,society,0.047841787338256836,9.624813079833984,0.9293477535247803,1.0,1.0
5, Kristofer Hivju.,Kristofer Hivju,0.05813884735107422,10.283400535583496,0.9879773259162903,1.0,1.0
6, Yes.,yes,0.05937552452087402,9.577606439590454,0.836855947971344,1.0,1.0
7, Frank Darabont has been nominated for more Academy Awards.,Frank Árpád Darabont,0.2315540313720703,10.96992802619934,0.5706444978713989,0.30769230769230765,0.30769230769230765
8, Dodie Smith,Dodie Smith,0.0732109546661377,9.718159914016724,1.0,1.0,1.0
9, 1992.,1992,0.05431342124938965,9.865298748016357,0.9641321897506714,1.0,1.0
10, Action Bronson,Action Bronson,0.055840492248535156,9.70878529548645,1.0000001192092896,1.0,1.0
11, Humphrey Bogart,Humphrey Bogart,0.04727602005004883,9.874452590942383,1.0000001192092896,1.0,1.0
12, Viktor & Rolf,Viktor & Rolf,0.05716228485107422,9.890542268753052,1.0,1.0,1.0
13, Friedrich Nietzsche,Friedrich Nietzsche,0.04585623741149902,9.627222776412964,1.0,1.0,1.0
14," ""Danny Boy""","""The Impossible Dream""",0.05492997169494629,9.897274732589722,0.253462553024292,0.0,0.0
15, New South Wales.,New South Wales,0.04726123809814453,9.942246198654175,0.9703200459480286,1.0,1.0
