idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score
0,House Beautiful.,House Beautiful,0.0007836818695068359,1.4092645645141602,0.9679437279701233,1.0,1.0
1,Yes.,yes,0.0008447170257568359,0.2101147174835205,0.836855947971344,1.0,1.0
2,"""Eye in the Sky"".","""Eye in the Sky""",0.0007703304290771484,0.3556938171386719,0.9764493107795715,1.0,1.0
3,"None, according to the text.",AC/DC,0.0007421970367431641,0.39472198486328125,0.0741167739033699,0.0,0.0
4,659 minutes.,659,0.0008199214935302734,0.28968143463134766,0.5098403096199036,0.6666666666666666,0.6666666666666666
5,"Gawthorpe is in the Kirklees District, but the information about its representative is not provided in the given context.",Julie Cooper,0.0007145404815673828,1.091385841369629,0.05575842782855034,0.0,0.0
6,Ramallah.,Ramallah,0.000736236572265625,0.24387812614440918,0.9708780646324158,1.0,1.0
7,"No information is provided about Eatza Pizza, so the comparison cannot be made.",no,0.0007581710815429688,0.7165729999542236,0.10370106250047684,0.14285714285714288,0.14285714285714288
8,Chris Morgan.,Kurt Johnstad,0.0007662773132324219,0.24313783645629883,0.35944074392318726,0.0,0.0
9,Bugs Bunny.,Bugs Bunny,0.0007545948028564453,0.23809242248535156,0.9680497646331787,1.0,1.0
10,Kelley Jakle.,Kelley Jakle,0.0007576942443847656,0.27753496170043945,0.9852548837661743,1.0,1.0
11,Northeast China.,People's Republic of China,0.0009114742279052734,0.2463207244873047,0.5273292064666748,0.28571428571428575,0.28571428571428575
12,Nepal.,Asia,0.0007269382476806641,0.16767144203186035,0.5637703537940979,0.0,0.0
13,"He was famous for playing Dr. Jeff Webber in ""General Hospital"" and as the lead actor in the TV series ""MacGyver"".","the television series ""MacGyver"" (1985–1992)",0.0007369518280029297,1.2448019981384277,0.5306728482246399,0.22222222222222224,0.22222222222222224
14,"Cleo came out monthly, while Croissant came out biweekly.",Croissant,0.0007762908935546875,0.6523592472076416,0.6070781350135803,0.19999999999999998,0.19999999999999998
15,Julie Christie.,Flashdance,0.0007448196411132812,0.23898625373840332,0.15514622628688812,0.0,0.0
