idx,generated_response,ground_truth,load_knowledge_time,generate_time,bert_score,rouge1_score,rougeL_score
0, Steel and concrete.,brick,0.13341665267944336,22.3891544342041,0.483687162399292,0.0,0.0
1, Morphine injection.,morphine,0.14793133735656738,22.321255683898926,0.8729566931724548,0.6666666666666666,0.6666666666666666
2," June 21, 1940.",21 June,0.13858938217163086,23.207149744033813,0.5466349720954895,0.8,0.4
3, The Soviet Union.,Soviet Union,0.13158440589904785,22.164863109588623,0.9204875230789185,0.8,0.8
4," Social, economic, and cultural conditions.","social, economic and cultural",0.14930200576782227,23.21040940284729,0.8241304159164429,0.888888888888889,0.888888888888889
5, Addiction.,potentially addicting drugs,0.14124345779418945,21.84603190422058,0.7049434185028076,0.5,0.5
6," South Korea, Singapore, Japan, Taiwan, and Hong Kong are the Asian countries that are robustly committed to a law-bound state.","South Korea, Singapore, Japan, Taiwan and Hong Kong",0.14455533027648926,27.361641883850098,0.7509430050849915,0.5517241379310345,0.5517241379310345
7, A Maavanem is the county governor in Estonia.,county governor,0.1283559799194336,23.824404001235962,0.40864676237106323,0.4,0.4
8, The Estonian SSR.,the Estonian SSR,0.1486656665802002,22.560888051986694,0.9876571297645569,1.0,1.0
9, 1.562 billion kilowatt hours.,1.562 billion kilowatt hours,0.2910783290863037,23.73588252067566,0.9837513566017151,1.0,1.0
10, The Super Nintendo Entertainment System (SNES) succeeded the Famicom.,Super Nintendo Entertainment System,0.14992809295654297,24.798619508743286,0.6165597438812256,0.6153846153846153,0.6153846153846153
11, YYT,YYT,0.2995285987854004,21.994496822357178,1.0000001192092896,1.0,1.0
12," The UK, Italy, and Australia share the PAL A region.","UK, Italy and Australia",0.15238451957702637,24.379270315170288,0.6666010022163391,0.5714285714285715,0.5714285714285715
13, The 1990s.,1990s,0.14873671531677246,22.849053382873535,0.9253845810890198,0.6666666666666666,0.6666666666666666
14, 2006,2006,0.14110302925109863,22.180465936660767,1.0000001192092896,1.0,1.0
15, Indian reservations.,Indian reservations,0.14945244789123535,22.05363178253174,0.9519280195236206,1.0,1.0
16, Greenman v. Yuba Power Products.,Greenman v. Yuba Power Products,0.1428980827331543,23.50974440574646,0.9580318331718445,1.0,1.0
17, 3.4%,(3.4%,0.14856386184692383,22.566749334335327,0.8777468204498291,1.0,1.0
18, St. John's.,St. John's,0.16172313690185547,22.59821343421936,0.9868456125259399,1.0,1.0
19, The Prime Minister of Estonia has the right to appoint other ministers.,The Prime Minister,0.15487146377563477,24.459086179733276,0.37267839908599854,0.4,0.4
20, Licensed US NES cartridges.,licensed US cartridges,0.14887261390686035,22.628275156021118,0.8379769921302795,0.8571428571428571,0.8571428571428571
21," Estonia is located in the Baltic region of Northern Europe, bordered by the Gulf of Finland to the north, the Baltic Sea to the west, Latvia to the south, and Russia to the east.",the Baltic region,0.1389141082763672,30.31718921661377,0.6649390459060669,0.1621621621621622,0.1621621621621622
22, Nordic-Baltic Eight (NB-8),Nordic-Baltic Eight,0.14344525337219238,23.74899435043335,0.9039938449859619,0.7499999999999999,0.7499999999999999
23," According to the text, English law is received into the United States through ""reception statutes"" which state that the common law of England is the law of the state to the extent that it is not repugnant to domestic law or indigenous conditions.",nearly identical,0.1390392780303955,32.40953874588013,0.05119362100958824,0.0,0.0
24," Each state possesses its own constitution, government, and laws, which are separate from the federal government and laws.","state constitutions, state governments, and state courts",0.14517664909362793,26.257385969161987,0.6953696608543396,0.32,0.32
25, The Age of Awakening.,the Age of Awakening,0.11919927597045898,22.55308985710144,0.9799741506576538,1.0,1.0
26, General Sir Kevin O'Donoghue,General Sir Kevin O’Donoghue,0.13821148872375488,23.18696141242981,0.9952805638313293,1.0,1.0
27, The NES Max.,The NES Max,0.13804340362548828,22.444649696350098,0.9834779500961304,1.0,1.0
28, Federal criminal law focuses on these areas.,Federal criminal law,0.14278912544250488,23.196836471557617,0.7294054627418518,0.6,0.6
29, The United States Code.,The United States Code,0.14224004745483398,22.531639099121094,0.9667985439300537,1.0,1.0
30, The Estonian Defence Forces (Estonian: Kaitsevägi),Maavägi,0.12166190147399902,24.977728843688965,0.19376957416534424,0.22222222222222224,0.22222222222222224
31, RF modulator output.,radio frequency (RF),0.1578676700592041,22.621592044830322,0.6010959148406982,0.3333333333333333,0.3333333333333333
32, Alberta,Alberta,0.14429211616516113,21.726942539215088,1.0000001192092896,1.0,1.0
33, 1925,1925,0.14178800582885742,22.165468215942383,1.0,1.0,1.0
34, 3,three,0.14980530738830566,21.80634307861328,0.8656187057495117,0.0,0.0
35, Finland and Sweden.,Finland or Sweden,0.13833141326904297,22.3422372341156,0.8828338980674744,0.6666666666666666,0.6666666666666666
36, To avoid paying licensing fees and to continue producing and selling games without Nintendo's approval.,refusing to pay the licensing fee or having been rejected by Nintendo,0.132399320602417,25.13415241241455,0.6058011054992676,0.35714285714285715,0.35714285714285715
37, Mechanical pain.,mechanical,0.14391231536865234,22.066688776016235,0.6618198752403259,0.6666666666666666,0.6666666666666666
38, Economic reform and integration with the West.,closer ties with the Nordic countries,0.164306640625,23.279080390930176,0.224834144115448,0.30769230769230765,0.30769230769230765
39," Natural law theories of law, which believed that law had an existence independent of what individual judges said.",law was believed to have an existence independent of what individual judges said,0.31700968742370605,25.87158989906311,0.8075413703918457,0.6451612903225806,0.6451612903225806
40, 2006,2006,0.13616728782653809,22.234943866729736,1.0000001192092896,1.0,1.0
41," There is no definitive answer, as people with congenital insensitivity to pain have a reduced life expectancy, but the exact life expectancy is not well-documented.",reduced,0.12590813636779785,28.539892435073853,-0.026051312685012817,0.07407407407407407,0.07407407407407407
42, 1991,1918,0.1380305290222168,22.162909746170044,0.4531841278076172,0.0,0.0
43, Comboy,Comboy,0.29027605056762695,22.045279502868652,1.0000001192092896,1.0,1.0
44," They incur carelessly-repeated damage to their tongues, eyes, joints, skin, and muscles, and may have a reduced life expectancy.","repeated damage to their tongues, eyes, joints, skin, and muscles",0.14857840538024902,27.647724866867065,0.8025813698768616,0.6666666666666666,0.6666666666666666
45, The Twin Famicom was compatible with both Famicom cartridges and Famicom Disk System disks.,Twin Famicom,0.13396573066711426,26.11371922492981,0.5995055437088013,0.25,0.25
46," Wood, peat, and biomass.","wood, peat, and biomass",0.1571962833404541,23.193113327026367,0.9871045351028442,1.0,1.0
47, Contract law covers obligations established by agreement (express or implied) between private parties.,express or implied,0.13803839683532715,24.955953121185303,0.36168456077575684,0.375,0.375
48, Paris,Paris,0.14728498458862305,21.702696084976196,1.0000001192092896,1.0,1.0
49, Federal courts cannot dictate the content of state law when there is no federal issue in a case.,federal courts cannot dictate the content of state law when there is no federal issue,0.3221144676208496,25.559494256973267,0.9447898268699646,0.9090909090909091,0.9090909090909091
50," Specialists currently believe that all vertebrates can feel pain, and that certain invertebrates, like the octopus, might too.",unclear,0.14170598983764648,27.02530336380005,0.04599432274699211,0.0,0.0
51, 2002,2002,0.12601161003112793,22.102883100509644,1.0,1.0,1.0
52, The lawmakers were beginning to drown in the sea of corruption and mismanagement within the Ministry of Defence.,judicial literature,0.13898754119873047,25.821295976638794,0.2109784483909607,0.0,0.0
53, The United States Code.,The United States Code,0.13937926292419434,22.671326875686646,0.9667985439300537,1.0,1.0
54, The Liber Census Daniae.,The Liber Census Daniae,0.1393117904663086,22.97777247428894,0.992061197757721,1.0,1.0
55, Confucianism.,Confucianism,0.12530517578125,22.515814781188965,0.9532307982444763,1.0,1.0
56, A massive cyberattack on Estonia in 2007 led to a need for e-military action.,massive cyberattacks,0.12517786026000977,25.84973955154419,0.6101508736610413,0.23529411764705882,0.23529411764705882
57," September 17, 1991.",17 September 1991,0.310009241104126,23.196366786956787,0.9404370784759521,1.0,0.6666666666666666
58, Ray Kassar,Ray Kassar,0.146514892578125,22.244194984436035,1.0,1.0,1.0
59, The Swedish archbishop Johannes.,Swedish archbishop Johannes,0.1549844741821289,22.916748046875,0.9653494358062744,0.8571428571428571,0.8571428571428571
