idx,generated_response,ground_truth,reset_cache_time,generate_time,bert_score,rouge1_score,rougeL_score
0, Steel and concrete.,brick,0.0005407333374023438,1.5830073356628418,0.483687162399292,0.0,0.0
1, Morphine injection.,morphine,0.0005521774291992188,1.1160917282104492,0.8729566931724548,0.6666666666666666,0.6666666666666666
2," June 21, 1940.",21 June,0.0005259513854980469,2.0323519706726074,0.5466349720954895,0.8,0.4
3, The Soviet Union.,Soviet Union,0.0005075931549072266,1.1406223773956299,0.9204875230789185,0.8,0.8
4," Social, economic, and cultural conditions.","social, economic and cultural",0.0004963874816894531,2.0331883430480957,0.8241304159164429,0.888888888888889,0.888888888888889
5, Addiction.,potentially addicting drugs,0.0004978179931640625,0.6990690231323242,0.7049434185028076,0.5,0.5
6," South Korea, Singapore, Japan, Taiwan, and Hong Kong.","South Korea, Singapore, Japan, Taiwan and Hong Kong",0.0005004405975341797,3.135894536972046,0.969277024269104,1.0,1.0
7, A Maavanem is the county governor in Estonia.,county governor,0.00049591064453125,2.694483518600464,0.40864676237106323,0.4,0.4
8, The Estonian SSR.,the Estonian SSR,0.0004961490631103516,1.362816333770752,0.9876571297645569,1.0,1.0
9, 1.562 billion kilowatt hours.,1.562 billion kilowatt hours,0.0004942417144775391,2.471018075942993,0.9837513566017151,1.0,1.0
10, The Super Nintendo Entertainment System (SNES).,Super Nintendo Entertainment System,0.000492095947265625,2.255324125289917,0.7906938195228577,0.8,0.8
11, YYT,YYT,0.0004947185516357422,0.7018074989318848,1.0000001192092896,1.0,1.0
12," The UK, Italy, and Australia share the PAL A region.","UK, Italy and Australia",0.0004923343658447266,3.1547722816467285,0.6666010022163391,0.5714285714285715,0.5714285714285715
13, The 1990s.,1990s,0.0004949569702148438,1.5961475372314453,0.9253845810890198,0.6666666666666666,0.6666666666666666
14, 2006,2006,0.0004975795745849609,0.9292659759521484,1.0000001192092896,1.0,1.0
15, Indian reservations.,Indian reservations,0.0005009174346923828,0.9282834529876709,0.9519280195236206,1.0,1.0
16, Greenman v. Yuba Power Products.,Greenman v. Yuba Power Products,0.0004949569702148438,2.2647876739501953,0.9580318331718445,1.0,1.0
17, 3.4%,(3.4%,0.0005023479461669922,1.3729219436645508,0.8777468204498291,1.0,1.0
18, St. John's.,St. John's,0.0004985332489013672,1.3708691596984863,0.9868456125259399,1.0,1.0
19, The Prime Minister of Estonia has the right to appoint other ministers.,The Prime Minister,0.0005123615264892578,3.1545586585998535,0.37267839908599854,0.4,0.4
20, Licensed US NES cartridges.,licensed US cartridges,0.0004961490631103516,1.3739218711853027,0.8379769921302795,0.8571428571428571,0.8571428571428571
21," Estonia is located in the northern part of the temperate climate zone and in the transition zone between maritime and continental climate, situated in Northern Europe.",the Baltic region,0.0004990100860595703,6.728132009506226,0.5850673913955688,0.06896551724137931,0.06896551724137931
22, Nordic-Baltic Eight (NB-8),Nordic-Baltic Eight,0.0005083084106445312,2.4938724040985107,0.9039938449859619,0.7499999999999999,0.7499999999999999
23," The issues have to be nearly identical, with the same facts and law at issue, and the reasoning must be strongly persuasive.",nearly identical,0.0004985332489013672,5.843889951705933,0.24049235880374908,0.16666666666666669,0.16666666666666669
24," Each state in the United States possesses its own constitution, government, and laws, with the power to make laws covering anything not preempted by the federal Constitution, federal statutes, or international treaties.","state constitutions, state governments, and state courts",0.0005087852478027344,8.959920406341553,0.6933042407035828,0.25641025641025644,0.20512820512820512
25, The Age of Awakening.,the Age of Awakening,0.0005002021789550781,1.3728959560394287,0.9799741506576538,1.0,1.0
26, General Sir Kevin O'Donoghue,General Sir Kevin O’Donoghue,0.0005011558532714844,2.0420031547546387,0.9952805638313293,1.0,1.0
27, The NES Max.,The NES Max,0.0005097389221191406,1.1486363410949707,0.9834779500961304,1.0,1.0
28, Federal criminal law focuses on these areas.,Federal criminal law,0.0005035400390625,2.0633130073547363,0.7294054627418518,0.6,0.6
29, The United States Code.,The United States Code,0.0005085468292236328,1.3741304874420166,0.9667985439300537,1.0,1.0
30, The Estonian Defence Forces (Eesti Kaitsevägi),Maavägi,0.000522613525390625,3.3777272701263428,0.1728965789079666,0.22222222222222224,0.22222222222222224
31, RF modulator output.,radio frequency (RF),0.0005271434783935547,1.37272310256958,0.6010959148406982,0.3333333333333333,0.3333333333333333
32, Alberta.,Alberta,0.0005006790161132812,0.7021903991699219,0.9624655246734619,1.0,1.0
33, 1925,1925,0.0004909038543701172,0.9262268543243408,1.0,1.0,1.0
34, 3,three,0.0005033016204833984,0.7026243209838867,0.8656187057495117,0.0,0.0
35, Finland and Sweden.,Finland or Sweden,0.0005178451538085938,1.1496222019195557,0.8828338980674744,0.6666666666666666,0.6666666666666666
36, To avoid paying licensing fees and to continue producing and selling games without Nintendo's approval.,refusing to pay the licensing fee or having been rejected by Nintendo,0.0005114078521728516,4.048731803894043,0.6058011054992676,0.35714285714285715,0.35714285714285715
37, Mechanical pain.,mechanical,0.0005152225494384766,0.9284076690673828,0.6618198752403259,0.6666666666666666,0.6666666666666666
38, Economic reform and integration with the West.,closer ties with the Nordic countries,0.0005209445953369141,2.0450685024261475,0.224834144115448,0.30769230769230765,0.30769230769230765
39, Natural law theories of law.,law was believed to have an existence independent of what individual judges said,0.000507354736328125,1.6005480289459229,0.5024144053459167,0.2222222222222222,0.2222222222222222
40, 2006,2006,0.0004992485046386719,0.9308321475982666,1.0000001192092896,1.0,1.0
41," There is no definitive answer, as people with congenital insensitivity to pain have a reduced life expectancy, but the exact life expectancy is not well-documented.",reduced,0.0004985332489013672,7.403353214263916,-0.026051312685012817,0.07407407407407407,0.07407407407407407
42, 1991,1918,0.0005018711090087891,0.9246730804443359,0.4531841278076172,0.0,0.0
43, Comboy,Comboy,0.0005123615264892578,0.7070252895355225,1.0000001192092896,1.0,1.0
44," Children with congenital insensitivity to pain often incur carelessly-repeated damage to their tongues, eyes, joints, skin, and muscles, and may have a reduced life expectancy.","repeated damage to their tongues, eyes, joints, skin, and muscles",0.0005066394805908203,8.295292377471924,0.6082696914672852,0.5555555555555556,0.5555555555555556
45, The Twin Famicom was compatible with both Famicom cartridges and Famicom Disk System disks.,Twin Famicom,0.0005078315734863281,4.944620847702026,0.5995055437088013,0.25,0.25
46," Wood, peat, and biomass.","wood, peat, and biomass",0.0005002021789550781,2.0423972606658936,0.9871045351028442,1.0,1.0
47, Contract law covers obligations established by agreement (express or implied) between private parties.,express or implied,0.0005118846893310547,3.8242435455322266,0.36168456077575684,0.375,0.375
48, Paris,Paris,0.0005278587341308594,0.4805717468261719,1.0000001192092896,1.0,1.0
