idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score
0,The New Left.,New Left,0.36017775535583496,4.4070799350738525,0.9236237406730652,0.8,0.8
1,"Cotton yarn can be used to make a variety of products, including crochet and knitting items, clothing, and textiles.",crochet and knitting,0.2591521739959717,2.996429443359375,0.6607107520103455,0.2727272727272727,0.2727272727272727
2,"""superheroes in the real world"" approach.","""superheroes in the real world""",0.2901651859283447,2.6523420810699463,0.9100666046142578,0.9090909090909091,0.9090909090909091
3,The late 18th and early 19th centuries.,late 18th and early 19th,0.26880908012390137,3.0283749103546143,0.8297454714775085,0.8333333333333333,0.8333333333333333
4,The FBI and CIA had a lack of cooperation.,"FBI, CIA",0.36653733253479004,2.862922191619873,0.5228074193000793,0.3636363636363636,0.3636363636363636
5,"42,094","42,094",0.2992722988128662,2.4996232986450195,1.0000001192092896,1.0,1.0
6,The FBI.,real-life cities,0.31040358543395996,2.177395820617676,0.1867833435535431,0.0,0.0
7,Egypt.,Egyptian,0.3025989532470703,2.026822566986084,0.8043161630630493,0.0,0.0
8,6000-5000 BCE.,Neolithic,0.3086879253387451,2.395756244659424,0.42856359481811523,0.0,0.0
9,The U.S. Supreme Court.,Supreme Court,0.31519389152526855,2.6595346927642822,0.8639574646949768,0.5714285714285715,0.5714285714285715
10,"ladybirds, lacewings, and spiders.","ladybirds, lacewings and spiders",0.2612724304199219,2.8869705200195312,0.9756391048431396,1.0,1.0
11,"Some of Marvel's genre titles, such as horror (The Tomb of Dracula), martial arts (Shang-Chi: Master of Kung Fu), sword-and-sorcery (Conan the Barbarian, Red Sonja), satire (Howard the Duck), and science fiction (2001: A Space Odyssey, ""Killraven"" in Amazing Adventures, Battlestar Galactica, Star Trek), were published in larger-format black and white magazines under its Curtis Magazines imprint.","larger-format black and white magazines, under its Curtis Magazines imprint",0.26781415939331055,8.781639814376831,0.4257766008377075,0.3013698630136986,0.3013698630136986
12,The issue of drug abuse.,drug abuse,0.3876993656158447,2.542606830596924,0.8436106443405151,0.5714285714285715,0.5714285714285715
13,"The FBI is a domestic intelligence and security service, as well as the nation's prime federal law enforcement organization.",FBI is primarily a domestic agency,0.29564666748046875,3.6642825603485107,0.8571045994758606,0.30769230769230765,0.30769230769230765
14,"""Seekers of the Weird""","""Seekers of the Weird""",0.28473401069641113,2.6198575496673584,0.9999998807907104,1.0,1.0
15,Guardians of the Galaxy,Guardians of the Galaxy,0.897362232208252,2.264998197555542,1.0000001192092896,1.0,1.0
16,4 men were allowed to be convicted in the Teddy Deegan murder case.,four,0.33397412300109863,3.6344454288482666,0.3042635917663574,0.0,0.0
17,"The US government was criticized and some officials were held accountable for the FBI's mishandling of cases, including the Ruby Ridge and Waco incidents.","The country was ""jolted""",0.43485260009765625,4.72856068611145,0.21264652907848358,0.13793103448275865,0.13793103448275865
18,Pocket Books.,Pocket Books,0.2779388427734375,2.2066080570220947,0.9722139835357666,1.0,1.0
19,1738.,1738,0.2703585624694824,2.483717918395996,0.9665027856826782,1.0,1.0
20,"The Image versions of Marvel characters, as seen in the ""Heroes Reborn"" crossover, were set in a parallel universe with a distinct history from the mainstream Marvel Universe.",a parallel universe with a history distinct from the mainstream,0.3771636486053467,4.2282068729400635,0.4902627766132355,0.5263157894736842,0.4736842105263158
21,3300-1300 BCE,3300 and 1300 BCE,0.5078294277191162,2.327556610107422,0.9789419770240784,0.8571428571428571,0.8571428571428571
22,1466,1466,0.35910511016845703,2.4248993396759033,1.0,1.0,1.0
23,Windy conditions.,windy,0.41747426986694336,2.1455345153808594,0.8928344249725342,0.6666666666666666,0.6666666666666666
24,"An executive assistant director manages each branch, and an assistant director heads each office and division.",an assistant director,0.2793874740600586,3.59342360496521,0.6126803755760193,0.3157894736842105,0.3157894736842105
25,"Cotton can be blended with other fibers, including rayon and synthetic fibers such as polyester.",knitted or woven,0.23308348655700684,3.050839424133301,0.4633580148220062,0.0,0.0
26,"The FBI Laboratory was located in the J. Edgar Hoover Building until 1974, and then it was moved to the FBI Academy in Quantico, Virginia, and also had a second lab at the FBI Academy.",J. Edgar Hoover Building,0.2729768753051758,5.399927377700806,0.612942099571228,0.20512820512820512,0.20512820512820512
27,10.6 million hectares.,10.6 million hectares,0.3924715518951416,2.3357503414154053,0.9912165403366089,1.0,1.0
28,"The FBI Academy, located in Quantico, Virginia.",The FBI Academy,0.4038972854614258,3.1065616607666016,0.7967949509620667,0.6,0.6
29,"800,000.","800,000",0.28794384002685547,2.5818941593170166,0.9745969176292419,1.0,1.0
30,Imperial Russian troops.,Russian troops,0.26009607315063477,2.5251967906951904,0.873579740524292,0.8,0.8
31,Diamond Comic Distributors Inc.,Heroes World Distribution,0.28513312339782715,2.4110445976257324,0.3668670356273651,0.0,0.0
32,The United States Senate.,United States Senate,0.2579014301300049,2.526615619659424,0.9147611260414124,0.8571428571428571,0.8571428571428571
33,The X-Files.,X-Files,0.3430783748626709,2.530940294265747,0.8907632827758789,0.8,0.8
34,The Treaty of Versailles.,Versailles,0.2796046733856201,2.2805089950561523,0.6756105422973633,0.4,0.4
35,1939,1939,0.38860106468200684,2.3274712562561035,1.0,1.0,1.0
36,West Germany.,West Germany,0.48376965522766113,2.2663254737854004,0.9686709642410278,1.0,1.0
37,Frank Miller.,Frank Miller,0.36661481857299805,2.199989080429077,0.9760807156562805,1.0,1.0
38,The Comics Code Authority's revision in 1971 allowed Marvel to expand into more adult-themed genre stories.,the updating of the Comics Code,0.2652714252471924,3.5496668815612793,0.5946776866912842,0.25,0.25
39,Lisle.,Cotton lisle,0.45076799392700195,2.0819077491760254,0.6205583810806274,0.6666666666666666,0.6666666666666666
40,Joe Simon.,Joe Simon,3.0762016773223877,2.3429315090179443,0.9723016023635864,1.0,1.0
41,"Yes, the RICO Act is still used today for all organized crime and individuals who might fall under the Act.",The RICO Act is still used,0.22767925262451172,4.169643878936768,0.8691189289093018,0.4615384615384615,0.4615384615384615
42,Publisher.,publisher,0.27042341232299805,2.269235849380493,0.9370466470718384,1.0,1.0
43,The Human Torch and Namor the Sub-Mariner.,Spider-Man and the Fantastic Four,0.3322610855102539,2.860368013381958,0.16615912318229675,0.28571428571428575,0.28571428571428575
44,Preference-eligible veterans.,preference-eligible veterans,0.33130407333374023,2.6745047569274902,0.9801581501960754,1.0,1.0
45,Children.,children,0.2884948253631592,2.3506054878234863,0.9571406245231628,1.0,1.0
46,The Caribbean.,Caribbean,0.3111400604248047,2.0792105197906494,0.9137884378433228,0.6666666666666666,0.6666666666666666
47,Poland and the Soviet Union.,Poland and the Soviet Union,0.28824901580810547,2.28509521484375,0.9595249891281128,1.0,1.0
48,The South Tower.,South Tower,2.2906243801116943,2.979625701904297,0.9349942207336426,0.8,0.8
49,Marvel ReEvolution,Marvel ReEvolution,0.2992570400238037,2.085700035095215,1.0,1.0,1.0
50,1773,31 January 1773,0.3203608989715576,2.094125747680664,0.7992103099822998,0.5,0.5
51,"The 1993 World Trade Center bombing, the 1995 Oklahoma City bombing, and the arrest of the Unabomber in 1996.",World Trade Center bombing,0.27173376083374023,4.357146263122559,0.6528636813163757,0.34782608695652173,0.34782608695652173
52,"The files revealed the FBI's extensive domestic surveillance and disruption of civil rights and anti-war organizations, including assassinations of political activists.",investigations into lives of ordinary citizens,0.9026699066162109,4.406106233596802,0.3607081174850464,0.06896551724137931,0.06896551724137931
53,The Central Intelligence Agency (CIA).,CIA,0.25113463401794434,2.8986656665802,0.8004663586616516,0.33333333333333337,0.33333333333333337
54,COINTELPRO.,COINTELPRO,0.5109803676605225,2.881199836730957,0.9868662357330322,1.0,1.0
55,Yes.,Numerous files were taken,0.37297821044921875,2.325404644012451,0.05232603847980499,0.0,0.0
56,18 months.,18-month,0.2505009174346924,2.4584710597991943,0.9061068892478943,1.0,1.0
57,Espionage for selling US secrets to the USSR and Russia.,spying for the Soviet Union,0.5856561660766602,3.167895793914795,0.7255020141601562,0.26666666666666666,0.26666666666666666
58,Split vacations.,split vacations,0.3872988224029541,2.085214614868164,0.9789732694625854,1.0,1.0
59,Cotton stripper.,cotton picker,0.32184910774230957,2.4255001544952393,0.7139633893966675,0.5,0.5
60,John Chardin,John Chardin,0.28344154357910156,2.4151015281677246,1.0000001192092896,1.0,1.0
61,"Virgil Griffith created a searchable database to detect conflict of interest edits on Wikipedia, specifically focusing on edits made by anonymous Wikipedia editors linked to companies and organizations.",computation and neural-systems,0.400928258895874,4.744874000549316,0.08260435611009598,0.0625,0.0625
62,The cotton gin.,cotton gin,0.35672545433044434,2.4713189601898193,0.9431724548339844,0.8,0.8
63,The Teutonic Knights.,Teutonic Knights,0.47187018394470215,2.642289638519287,0.9648184776306152,0.8,0.8
64,"The Uniform Crime Reports (UCR) compiles data from over 17,000 law enforcement agencies.",The Uniform Crime Reports,0.3069925308227539,3.7983815670013428,0.5584663152694702,0.4444444444444445,0.4444444444444445
65,Diploid genomes.,diploid counterparts,0.36173009872436523,2.4876787662506104,0.7700015306472778,0.5,0.5
66,"600 to 1,200 mm (24 to 47 in)","600 to 1,200 mm",0.3711423873901367,3.23018479347229,0.9186713099479675,0.7142857142857143,0.7142857142857143
67,Yes.,must also hold American citizenship,0.2898247241973877,2.331655263900757,0.10692674666643143,0.0,0.0
68,Captain Britain.,Captain Britain,0.3870220184326172,2.210993528366089,0.970586895942688,1.0,1.0
