idx,generated_response,ground_truth,reset_cache_time,generate_time,bert_score,rouge1_score,rougeL_score
0, The Mozilla Foundation.,Mozilla Foundation,0.0004904270172119141,0.7174661159515381,0.9259703159332275,0.8,0.8
1, 2009,January 2009,0.0005018711090087891,0.4011261463165283,0.8469776511192322,0.6666666666666666,0.6666666666666666
2, Transistors.,transistors,0.00047087669372558594,0.4957430362701416,0.9459264278411865,1.0,1.0
3, A byte.,a byte,0.0004978179931640625,0.40027809143066406,0.9634421467781067,1.0,1.0
4, Quantum computers can potentially break some modern encryption algorithms quickly through quantum factoring.,quantum factoring,0.00047850608825683594,1.5532169342041016,0.6707552075386047,0.2666666666666667,0.2666666666666667
5, Richard Braithwait,Richard Braithwait,0.00048160552978515625,0.4969923496246338,1.0,1.0,1.0
6, The Z3.,the Z3,0.00047707557678222656,0.49764370918273926,0.983423113822937,1.0,1.0
7, 5,a record five,0.0004923343658447266,0.30484700202941895,0.642279863357544,0.0,0.0
8, The United States Navy.,the United States Navy,0.0004775524139404297,0.5941011905670166,0.9767524600028992,1.0,1.0
9, World War II,"World War II,",0.0004811286926269531,0.39978599548339844,0.9658671021461487,1.0,1.0
10, The computer.,programmer error or an oversight made in the program's design,0.0005624294281005859,0.39978623390197754,0.23485474288463593,0.15384615384615385,0.15384615384615385
11, Persia (modern-day Iran),Persia,0.00047850608825683594,0.788884162902832,0.8773918747901917,0.4,0.4
12, Silicon,photolithographed semiconductors,0.00047707557678222656,0.20742440223693848,0.3447767198085785,0.0,0.0
13, The 1967 Referendum.,1967 Referendum,0.0004813671112060547,0.785358190536499,0.9671088457107544,0.8,0.8
14, September 1947,September 1947,0.0004725456237792969,0.49640488624572754,1.0,1.0,1.0
15, The University of Pennsylvania.,University of Pennsylvania,0.0004904270172119141,0.5935361385345459,0.9653996229171753,0.8571428571428571,0.8571428571428571
16, SAGE system,SAGE system,0.0004830360412597656,0.40794801712036133,1.000000238418579,1.0,1.0
17, Max Newman,Flowers,0.00048041343688964844,0.3049123287200928,0.12790650129318237,0.0,0.0
18, 1936,1936,0.0004978179931640625,0.4018237590789795,1.0000001192092896,1.0,1.0
19, problems with interoperability.,problems with interoperability,0.00048804283142089844,0.5918784141540527,0.9787808060646057,1.0,1.0
20, The early 1980s recession and a severe drought.,a severe drought,0.00047397613525390625,1.2665109634399414,0.6627810597419739,0.5454545454545454,0.5454545454545454
21," AND, OR, XOR, and NOT.","AND, OR, XOR, and NOT",0.00048232078552246094,0.9762041568756104,0.9921127557754517,1.0,1.0
22, 1770s,In the 1770s,0.0004944801330566406,0.49778246879577637,0.8282670974731445,0.5,0.5
23, Derek J. de Solla Price.,Derek J. de Solla Price.,0.0004763603210449219,0.8819243907928467,1.0000001192092896,1.0,1.0
24, 1888,1888,0.0004839897155761719,0.3994870185852051,1.0,1.0,1.0
25," September 12, 1958",12 September 1958.,0.0004849433898925781,0.7832419872283936,0.9649021625518799,1.0,0.6666666666666666
26, Bob Hawke,Bob Hawke,0.0004711151123046875,0.39968252182006836,1.0,1.0,1.0
27," The Z2, created by German engineer Konrad Zuse in 1939.",The Z2,0.00048279762268066406,1.747190237045288,0.6960930228233337,0.33333333333333337,0.33333333333333337
28, Firmware,software,0.0004787445068359375,0.20801186561584473,0.4743396043777466,0.0,0.0
29, 1950s,50s,0.0005018711090087891,0.49716758728027344,0.5666390657424927,0.0,0.0
30, Artificial Intelligence and Machine Learning.,artificial intelligence,0.0005166530609130859,0.6891582012176514,0.7557907104492188,0.5714285714285715,0.5714285714285715
31, 2004,late 2004,0.0004913806915283203,0.4053034782409668,0.896721363067627,0.6666666666666666,0.6666666666666666
32, private networks or files in file systems.,private networks,0.00048279762268066406,0.8880913257598877,0.6973172426223755,0.4444444444444445,0.4444444444444445
33, Time-sharing.,"""time-sharing""",0.0004763603210449219,0.4015676975250244,0.90303635597229,1.0,1.0
34, Internet Explorer,Internet Explorer,0.0004734992980957031,0.30391716957092285,1.0,1.0,1.0
35, Windows operating system.,Windows,0.0004851818084716797,0.49538397789001465,0.7984075546264648,0.5,0.5
36, Central Processing Unit,central processing unit,0.0004818439483642578,0.3996603488922119,1.0,1.0,1.0
37, Don Chipp,Don Chipp,0.00047469139099121094,0.400390625,1.0,1.0,1.0
38, competition between web browsers.,competition between web browsers,0.0004856586456298828,0.593224048614502,0.9714312553405762,1.0,1.0
39, Gigaflops.,(gigaflops),0.0004949569702148438,0.4992945194244385,0.8775871992111206,1.0,1.0
40, consumer choice.,product innovation,0.0004930496215820312,0.4001929759979248,0.3475976586341858,0.0,0.0
41, The BIOS chip is located on the motherboard of a computer.,the motherboard,0.00047850608825683594,1.2667174339294434,0.6296226382255554,0.3076923076923077,0.3076923076923077
42, The Royal Radar Establishment of the Ministry of Defence.,Royal Radar Establishment of the Ministry of Defence,0.0004887580871582031,1.0749976634979248,0.9818160533905029,0.9411764705882353,0.9411764705882353
43, Wheel-and-disc mechanisms.,wheel-and-disc,0.0004961490631103516,0.5929019451141357,0.8283181190490723,0.8571428571428571,0.8571428571428571
44, rendered in the same way.,rendered in the same way,0.0005056858062744141,0.6887788772583008,0.9317724704742432,1.0,1.0
45, 2010,2010,0.0004956722259521484,0.40189552307128906,1.0,1.0,1.0
46, The Liberal Party's ideology stems from the anti-Labor groupings in the first Commonwealth parliaments.,anti-Labor groupings in the first Commonwealth parliaments,0.0005052089691162109,2.136897087097168,0.7594171166419983,0.6666666666666666,0.6666666666666666
47, He resigned.,he resigned,0.0004930496215820312,0.40225672721862793,0.9558387398719788,1.0,1.0
48," Menzies promised to end rationing of butter, tea, and petrol, and provided a five-shilling endowment for first-born children, as well as for others.","end rationing of butter, tea and petrol and provided a five-shilling endowment for first-born children",0.0004956722259521484,3.4839234352111816,0.7690889835357666,0.8095238095238095,0.8095238095238095
49, The flow of control within the program.,the flow of control,0.00048089027404785156,0.8813722133636475,0.7617359757423401,0.7272727272727273,0.7272727272727273
50," ""jumps""","""jumps""",0.00047135353088378906,0.49536991119384766,0.9999999403953552,1.0,1.0
51, 2400 BC,2400 BC,0.0004887580871582031,0.49618029594421387,1.0,1.0,1.0
52, Assembler,a compiler,0.0004818439483642578,0.30445432662963867,0.49403852224349976,0.0,0.0
53," ""live bookmarks""",live bookmarks,0.0004904270172119141,0.49531054496765137,0.9621731042861938,1.0,1.0
54, Multitasking.,multitasking,0.0004923343658447266,0.4989612102508545,0.9548789262771606,1.0,1.0
55," ""The forgotten people""","""backbone of Australia""",0.00047969818115234375,0.5916988849639893,0.24924929440021515,0.0,0.0
56, form and search history.,form and search history,0.0004832744598388672,0.5939013957977295,0.9179251790046692,1.0,1.0
57, 20 words (about 80 bytes),ENIAC,0.0004725456237792969,0.9758923053741455,0.31608423590660095,0.0,0.0
58, CPU,CPU,0.00047898292541503906,0.20822787284851074,1.0000001192092896,1.0,1.0
59, 1947,1947.,0.0004742145538330078,0.3989441394805908,0.9682352542877197,1.0,1.0
60, An interrupt.,"an interrupt,",0.0004775524139404297,0.4003751277923584,0.9718502759933472,1.0,1.0
61, SQL.,SQL,0.0004818439483642578,0.30315351486206055,0.878853440284729,1.0,1.0
62, 1906,1906,0.0005002021789550781,0.4003450870513916,1.0000001192092896,1.0,1.0
63, A bit (binary digit) of information.,a bit (binary digit) of information,0.00048422813415527344,0.9802350997924805,0.9820475578308105,1.0,1.0
64," Analog computers were originally used for specialized tasks such as astronomical calculations, navigation, and solving differential equations.",astronomical calculations,0.00047850608825683594,2.034510850906372,0.251625120639801,0.21052631578947367,0.21052631578947367
65, The 1962 Commonwealth Electoral Act.,Menzies' Commonwealth Electoral Act,0.00047707557678222656,0.8799054622650146,0.7736860513687134,0.6666666666666665,0.6666666666666665
66, development at Google.,Google Chrome,0.0004937648773193359,0.49570226669311523,0.45436573028564453,0.4,0.4
67, DARPA,DARPA),0.00047969818115234375,0.30339789390563965,0.8685916066169739,1.0,1.0
68," The ""birthday cake interview""",the infamous birthday cake interview,0.00047850608825683594,0.6983568668365479,0.955022931098938,0.888888888888889,0.888888888888889
69, 1977,1977,0.00048732757568359375,0.40198779106140137,1.0,1.0,1.0
70, 1920s,1920s,0.0005064010620117188,0.49651265144348145,1.0000001192092896,1.0,1.0
71," More than 90,000.","more than 90,000",0.00048089027404785156,0.785651445388794,0.9758829474449158,1.0,1.0
72, Netscape Navigator,Netscape Navigator,0.00048613548278808594,0.40026044845581055,1.0000001192092896,1.0,1.0
73," January 18, 1944",18 January 1944,0.00047707557678222656,0.784898042678833,0.9640651345252991,1.0,0.6666666666666666
74, A program counter.,the program counter,0.00047779083251953125,0.49601078033447266,0.9545708894729614,0.6666666666666666,0.6666666666666666
75, 0 to 255 or -128 to +127.,0 to 255 or −128 to +127,0.0004773139953613281,1.2673182487487793,0.9315283894538879,1.0,1.0
76, Malcolm Turnbull,Malcolm Turnbull,0.0004811286926269531,0.30411458015441895,1.0000001192092896,1.0,1.0
77, 5000 times.,5000,0.00047397613525390625,0.5915722846984863,0.6678751111030579,0.6666666666666666,0.6666666666666666
78, Uniform Resource Locator,Uniform Resource Locator,0.00047969818115234375,0.39931583404541016,1.0,1.0,1.0
79," The three main parts of the CPU are: 
1. Arithmetic Logic Unit (ALU)
2. Control Unit
3. Registers","The control unit, ALU, and registers",0.00048470497131347656,2.707012176513672,0.6870834827423096,0.4166666666666667,0.3333333333333333
80, London.,London,0.00047850608825683594,0.30451059341430664,0.9624133110046387,1.0,1.0
81, Peripheral devices.,Peripheral devices,0.0004863739013671875,0.4012463092803955,0.9500315189361572,1.0,1.0
82, Campbell Newman,"former Brisbane Lord Mayor, Campbell Newman",0.0004963874816894531,0.30508923530578613,0.7074617743492126,0.5,0.5
83, Henry Babbage,Henry Babbage,0.00048542022705078125,0.39959263801574707,1.0,1.0,1.0
84, A system of pulleys and wires.,system of pulleys and wires,0.0004849433898925781,0.8814256191253662,0.9293699860572815,0.9090909090909091,0.9090909090909091
85, mobile phone web browser market,mobile phone web browser,0.0004763603210449219,0.5917885303497314,0.8092235922813416,0.888888888888889,0.888888888888889
86, CPUs.,CPUs,0.0004937648773193359,0.3044159412384033,0.8991233110427856,1.0,1.0
87," Australia, New Zealand, and the United States.","Australia, New Zealand and the United States",0.0004718303680419922,1.0717909336090088,0.9244300127029419,1.0,1.0
88, browser war.,browser war,0.0004792213439941406,0.39930081367492676,0.956680417060852,1.0,1.0
89," January 26, 1966.",26 January 1966,0.00048089027404785156,0.8806207180023193,0.9593858122825623,1.0,0.6666666666666666
90," ""The Yong Mans Gleanings""",The Yong Mans Gleanings,0.0004973411560058594,0.8823199272155762,0.9204485416412354,1.0,1.0
91, Anti-communism.,Anti-communism,0.0004775524139404297,0.593482255935669,0.9605956673622131,1.0,1.0
92, 1917,1917,0.0004780292510986328,0.400651216506958,1.0,1.0,1.0
93, 1945,1945,0.00048470497131347656,0.399273157119751,1.0000001192092896,1.0,1.0
94, Tony Abbott,Tony Abbott,0.0004863739013671875,0.30315566062927246,1.0000001192092896,1.0,1.0
95, The benefit of 4GL is that it provides ways to obtain information without requiring the direct help of a programmer.,provides ways to obtain information without requiring the direct help of a programmer,0.0004658699035644531,2.3232994079589844,0.3497386574745178,0.787878787878788,0.787878787878788
96, The University of Pennsylvania.,University of Pennsylvania,0.0004799365997314453,0.5958406925201416,0.9653996229171753,0.8571428571428571,0.8571428571428571
97, John Howard and Paul Keating.,former Treasurer John Howard competing with former Foreign Minister Andrew Peacock,0.0005986690521240234,0.7858822345733643,0.45247748494148254,0.25000000000000006,0.25000000000000006
98, Firmware.,"firmware,",0.0004892349243164062,0.3032851219177246,0.9504395723342896,1.0,1.0
99, An interpreter.,an interpreter,0.0004780292510986328,0.399991512298584,0.955042839050293,1.0,1.0
