idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score
0,1935,1935,0.0013360977172851562,2.1703150272369385,1.0,1.0,1.0
1,"No, the number of entrants has varied, but remained roughly stable since 2008-09.",The number of entrants has increased greatly in recent years,0.0010950565338134766,1.3921360969543457,0.7263463139533997,0.41666666666666663,0.41666666666666663
2,"José Batlle y Ordóñez, President of Uruguay from 1911 to 1915.",José Batlle y Ordóñez,0.0009946823120117188,1.3723711967468262,0.684239387512207,0.5882352941176471,0.5882352941176471
3,Francisco Antonio Maciel.,Francisco Antonio Maciel,0.0009965896606445312,0.7235705852508545,0.9896161556243896,1.0,1.0
4,"Yes, Rebecca Lowe became the first woman to host the FA Cup Final in the UK in 2011.",Rebecca Lowe became the first woman to host the FA Cup Final in the UK.,0.0009596347808837891,1.4104323387145996,0.9242324829101562,0.9090909090909091,0.9090909090909091
5,A major storm occurred in 1923.,A major storm,0.0010297298431396484,0.8870301246643066,0.610338032245636,0.6666666666666666,0.6666666666666666
6,Gordon Brown.,"his Chancellor, Gordon Brown",0.00095367431640625,0.6468544006347656,0.7710922956466675,0.6666666666666666,0.6666666666666666
7,May 1994.,May 1994,0.0010788440704345703,0.7398333549499512,0.9781463146209717,1.0,1.0
8,Plaza de la Constitución (or Plaza Matriz) is also a major note in Ciudad Vieja.,Plaza de la Constitución,0.0009694099426269531,1.3887221813201904,0.7017624378204346,0.47619047619047616,0.47619047619047616
9,191,191,0.0009942054748535156,0.6028769016265869,1.0000001192092896,1.0,1.0
10,BBC and Sky Sports.,"From 1988 to 1997, the BBC and Sky Sports had coverage of the FA Cup",0.00102996826171875,0.7318015098571777,0.650485098361969,0.4210526315789474,0.4210526315789474
11,The Portuguese planned the first set of subsidiary forts at Montevideo in 1701.,Portuguese,0.0010137557983398438,1.2317852973937988,0.21302059292793274,0.14285714285714288,0.14285714285714288
12,Telecommunications company.,telecommunications,0.0010955333709716797,0.6817460060119629,0.8162104487419128,0.6666666666666666,0.6666666666666666
13,1942,1942,0.0010867118835449219,0.6524484157562256,1.0,1.0,1.0
14,"81,774.","81,774",0.0010819435119628906,0.7385776042938232,0.983536958694458,1.0,1.0
15,"Yes, the trophy is decorated with ribbons in the colours of both finalists during the final.","the trophy wears is decorated with ribbons in the colours of both finalists, with the loser's ribbons being removed at the end of the game.",0.0010609626770019531,1.3041136264801025,0.866768479347229,0.6190476190476191,0.6190476190476191
16,Rimer Cardillo.,Rimer Cardillo,0.0010671615600585938,0.7269055843353271,0.9760582447052002,1.0,1.0
17,They are awarded a place in the FA Community Shield match.,"the trophy was to be permanently presented to any club which won the competition three times,",0.00099945068359375,1.0151748657226562,0.45547613501548767,0.07407407407407407,0.07407407407407407
18,September 2006.,September 2006,0.0010945796966552734,0.7254948616027832,0.9575011730194092,1.0,1.0
19,207,207,0.0010638236999511719,0.5974457263946533,1.0,1.0,1.0
20,Plaza Zabala.,Plaza Zabala,0.0011136531829833984,0.7432577610015869,0.97856205701828,1.0,1.0
21,Romanesque Revival style.,Romanesque Revival style,0.0010998249053955078,0.8099820613861084,0.9603022336959839,1.0,1.0
22,The Amalgamated Society of Railway Servants in Doncaster.,Doncaster,0.0009682178497314453,1.0960209369659424,0.615382730960846,0.2222222222222222,0.2222222222222222
23,BT Sport took over after ESPN.,BT Sport,0.0009472370147705078,0.8012030124664307,0.7603031396865845,0.5,0.5
24,Daniel Muñoz.,Daniel Muñoz,0.0010290145874023438,0.7305052280426025,0.9780284762382507,1.0,1.0
25,The Labour Party expelled Ramsay MacDonald and his supporters in 1931.,activists and the two MPs who supported the group.,0.000997304916381836,1.1154258251190186,0.2764972150325775,0.3,0.19999999999999998
26,1816.,1816,0.0010204315185546875,0.6934316158294678,0.9636778831481934,1.0,1.0
27,2014,"2014 replica of the second design, introduced in 1911",0.001032114028930664,0.6540262699127197,0.260975182056427,0.19999999999999998,0.19999999999999998
28,Sir John Chilcot.,Sir John Chilcot,0.0010063648223876953,0.7733108997344971,0.9859715700149536,1.0,1.0
29,European immigration.,the great European immigration,0.000934600830078125,0.641815185546875,0.8164143562316895,0.6666666666666666,0.6666666666666666
30,"Yes, it's a regular occurrence in the FA Cup, with lower-ranked teams beating higher-placed opposition.",Almost every club in the League Pyramid has a fondly remembered giant-killing act in its history,0.0009620189666748047,1.4012515544891357,0.268829345703125,0.17142857142857143,0.11428571428571428
31,5,five physical trophies have been presented,0.0009796619415283203,0.6062757968902588,0.3686099052429199,0.0,0.0
32,1856.,1856,0.0009918212890625,0.6934187412261963,0.9725230932235718,1.0,1.0
33,100 metres (330 ft),100 metres (330 ft) high,0.0010077953338623047,0.8195364475250244,0.9084712862968445,0.888888888888889,0.888888888888889
34,1927,1901,0.00103759765625,0.635260820388794,0.511741042137146,0.0,0.0
35,Notts County (1894),Notts County,0.0010404586791992188,0.7991921901702881,0.8708196878433228,0.8,0.8
36,Urban development.,urban development,0.001024484634399414,0.6554374694824219,0.9577412605285645,1.0,1.0
37,I don't have information about the ownership of The Solis Theater.,the government of Montevideo,0.0009522438049316406,1.0990455150604248,0.09261471778154373,0.25,0.25
38,Buenos Aires.,Buenos Aires,0.0010552406311035156,0.6463549137115479,0.9760341048240662,1.0,1.0
39,Montevideo.,Montevideo,0.0009818077087402344,0.6821558475494385,0.9802385568618774,1.0,1.0
40,1998.,1998,0.0009884834289550781,0.6870582103729248,0.9467677474021912,1.0,1.0
41,Parque Rodó.,Parque Rodó,0.0010428428649902344,0.7293000221252441,0.9864100813865662,1.0,1.0
