idx,generated_response,ground_truth,load_knowledge_time,generate_time,bert_score,rouge1_score,rougeL_score,question
0, The Lobund Institute for Animal Studies.,Lobund Institute for Animal Studies,0.056488037109375,10.656325817108154,0.9848483800888062,0.9090909090909092,0.9090909090909092,Which institute involving animal life did Cavanaugh create at Notre Dame?
1," They argue that child labour is merely a symptom of poverty and that laws banning it may do more harm than good, as it may lead to informal economy and underground businesses, increasing abuse of children.",only option for survival,0.2265982627868652,14.84631848335266,0.0284395515918731,0.0,0.0,What do these scholars argue for keeping child labour as a practice?
2, The children mainly came from poor families or the slums.,slums,0.0533063411712646,11.151564598083496,0.4787002801895141,0.1818181818181818,0.1818181818181818,Where did the children mainly come from?
3, More than half.,more than half,0.2372076511383056,10.100773811340332,0.9653955698013306,1.0,1.0,What proportion of Estonian Russians see themselves as different from their Russian counterparts?
4, Boys and girls were victims of industrial accidents on a daily basis in Brazil.,Boys and girls,0.0508363246917724,11.566067695617676,0.455332338809967,0.3529411764705882,0.3529411764705882,Who were the victims of industrial accidents?
5, The A-series.,the A-series,0.0829627513885498,10.078817367553713,0.972833514213562,1.0,1.0,What was McTaggart's first series called?
6, Professor of Chemistry and Physics.,Professor of Chemistry and Physics,0.0474483966827392,10.338264226913452,0.9760823249816896,1.0,1.0,What professorship did Father Josh Carrier hold at Notre Dame?
7," The second law of thermodynamics, as it arises in statistical mechanics, is a probabilistic law.",not an absolute law,0.2257421016693115,12.279554605484009,0.3640908598899841,0.1052631578947368,0.1052631578947368,"What kind of law is the second law of thermodynamics, as it arises in statistical mechanics?"
8, Full-time work.,full-time work,0.0495848655700683,10.076284408569336,0.9639140367507936,1.0,1.0,What hinders schooling for child labourers?
9, Aristotle's definition of topos.,Aristotle's,0.0629746913909912,10.463778257369995,0.6157328486442566,0.5714285714285715,0.5714285714285715,Whose definition of topos did Alhazen reject?
10, The Alliance for Catholic Education program offers a Master of Education program.,Alliance for Catholic Education,0.0514345169067382,11.308679103851318,0.8388580083847046,0.5,0.5,Which program at Notre Dame offers a Master of Education degree?
11, An early wind tunnel used to compare lift to drag of aeronautical models.,an early wind tunnel,0.0506424903869628,11.732726335525513,0.6628363132476807,0.4705882352941176,0.4705882352941176,What did the brother of John Zahm construct at Notre Dame?
12, The Central Collegiate Hockey Association.,Central Collegiate Hockey Association,0.0475249290466308,10.503405094146729,0.977038025856018,0.888888888888889,0.888888888888889,"Where did the Fighting Irish hockey team compete prior to a move to Hockey East, in terms of conference?"
13, The third type of solution argues that the laws of physics are not time-reversal symmetric.,the laws are not time-reversal symmetric,0.224830150604248,12.136031150817873,0.7718367576599121,0.6086956521739131,0.6086956521739131,What does the third type of solution to the problem of the direction of time argue?
14, An a priori notion.,a priori notion,0.049290657043457,10.34204912185669,0.9446253776550292,0.8571428571428571,0.8571428571428571,What did Kant describe time as?
15, 27th in the Maplecroft Child Labour Index 2012 survey.,25th,0.0473434925079345,11.814831018447876,0.1568613946437835,0.0,0.0,What was the Phillipines ranked as?
16, 13 years old.,13,0.0469987392425537,10.25543212890625,0.6933684349060059,0.5,0.5,How many nurses does Princess Margaret have on staff?
17, The water inside the bucket could possibly have a slight curve.,the bucket could be seen as rotating,0.2239162921905517,11.1845383644104,0.7099978923797607,0.3333333333333332,0.3333333333333332,What did Mach argue would happen if another object were introduce in the bucket's universe?
18, Mali,Mali,0.0939793586730957,9.704909801483154,1.0000001192092896,1.0,1.0,What is the third largest exporter of gold in Africa?
19, 114 million.,114,0.0535821914672851,10.067776441574097,0.6709126830101013,0.6666666666666666,0.6666666666666666,How many suras are in the Quran?
20," Eric F. Wieschaus, a Medicine Nobel Prize winner.",Eric F. Wieschaus,0.0486423969268798,11.436102390289308,0.7641677260398865,0.5454545454545454,0.5454545454545454,Which Notre Dame alum from the College of Science won a Nobel Prize?
21, Unclear definition of adolescence and how much time is needed for children to engage in activities crucial for their development.,unclear definition of adolescence,0.0480663776397705,12.545843839645386,0.7501056790351868,0.3333333333333333,0.3333333333333333,What is an issue in Africa with child labour definitions?
22, Two.,two,0.0560226440429687,9.816154479980469,0.8910362720489502,1.0,1.0,How many types are Nepali works of art typically divided into?
23," The Kroc Institute for International Peace Studies at the University of Notre Dame focuses on research, education, and outreach on the causes of violent conflict and the conditions for sustainable peace.",International Peace studies,0.2235429286956787,14.293261289596558,0.640108048915863,0.1764705882352941,0.1764705882352941,What does the Kroc Institute at Notre Dame focus on?
24, Max Scheler.,Max Scheler,0.0541291236877441,10.10498070716858,0.9797725081443788,1.0,1.0,Who did Waldemar Gurian receive his tutelage under while seeking his doctorate?
25, 15,15,0.0469775199890136,9.803115844726562,1.0,1.0,1.0,How many cornerstones of this new way of thinking or religion were presented>
26," A copper statue of Christ with arms upraised and the legend ""Venite Ad Me Omnes"".",a copper statue of Christ,0.0495707988739013,12.247006177902222,0.8535715341567993,0.5,0.5,What is in front of the Notre Dame Main Building?
27, The money raised at the Bengal Bouts tournament at Notre Dame goes to the Holy Cross Missions in Bangladesh.,the Holy Cross Missions in Bangladesh,0.0498881340026855,12.50614333152771,0.6315826773643494,0.4799999999999999,0.4799999999999999,For what cause is money raised at the Bengal Bouts tournament at Notre Dame?
28, 1803,1803,0.0469772815704345,9.949206829071043,1.0000001192092896,1.0,1.0,When did France sell Oklahoma's land to the US?
29, Childhood.,deprives children of their childhood,0.0468442440032959,9.812162160873411,0.5631298422813416,0.3333333333333333,0.3333333333333333,What does child labour deprive children of?
30, The Midwest Fencing Conference.,Midwest Fencing Conference,0.0469570159912109,10.378022909164429,0.98058021068573,0.8571428571428571,0.8571428571428571,What when conference do the Notre Dame fencing teams take part in?
31, special language,special language,0.0472846031188964,9.79948663711548,1.0,1.0,1.0,"According to the Eternalist theory, what must we use to describe Homer?"
32, Economic hardship.,economic hardship,0.0546553134918212,9.949424505233765,0.9502867460250854,1.0,1.0,During the Industrial Revolution what was the main driving force behind child labour?
33, 1842,1842,0.0468273162841796,9.90549612045288,1.0000001192092896,1.0,1.0,When did the Qing surrender to the British?
34, Year round.,year round,0.0469148159027099,9.93315315246582,0.9659839868545532,1.0,1.0,What time were home manufactoring activities for children taking place?
35, 1781.,1781,0.2272684574127197,10.124456882476808,0.9769490957260132,1.0,1.0,When did Kant publish one of the most influential works in the history of the philosophy of space and time.
36," 15,000 child slaves were estimated to be working on cocoa farms in the Ivory Coast in 2001.","700,000",0.0518877506256103,12.692464113235474,0.1680926084518432,0.0999999999999999,0.0999999999999999,What was the population of Detroit in 2010?
37, The School of Architecture.,School of Architecture,0.0473999977111816,10.23055863380432,0.9776462316513062,0.8571428571428571,0.8571428571428571,In 1899 Notre Dame formed which college?
38, 33 majors.,33,0.0473802089691162,10.05727744102478,0.585422694683075,0.6666666666666666,0.6666666666666666,"In 1860, what percent of the North Carolina population were slaves?"
39, Poverty and lack of schools were the primary causes of child labor.,increasing need of cheap labour,0.0500924587249755,11.305704832077026,0.5059609413146973,0.1176470588235294,0.1176470588235294,Why were many children employed?
40, The College of Science.,the College of Science,0.0534238815307617,10.262529850006104,0.979594111442566,1.0,1.0,Before the creation of the College of Engineering similar studies were carried out at which Notre Dame college?
41, Sub-Saharan Africa.,rural areas,0.2236926555633545,10.0971360206604,0.4307560920715332,0.0,0.0,What community has the most prevalency for child labour?
42, The 2005 deadlines for the Harkin-Engel Protocol to eliminate the worst forms of child labour in the cocoa industry have not yet been met.,have not yet been met,0.0475778579711914,13.775435209274292,0.1325287669897079,0.3333333333333333,0.3333333333333333,What happened to the 2005 deadlines?
43, Knute Rockne.,Knute Rockne,0.0474450588226318,10.237306356430054,0.9794346690177916,1.0,1.0,Pat O'Brien portrayed which person in the film Knute Rockne?
44, 1865,1865,0.0475790500640869,9.946023225784302,1.0,1.0,1.0,In which year did Andrew Johnson become President?
45, nothing.,next to nothing,0.0480933189392089,9.798187971115112,0.3749559819698334,0.5,0.5,"Alhazen stated that without tangible notions of distance and size for correlation, sight can tell us what about spatial perception?"
46, Holy Cross Father John Francis O'Hara.,Father John Francis O'Hara,0.0475320816040039,10.744821548461914,0.790717601776123,0.8333333333333333,0.8333333333333333,Who was the president of Notre Dame in 1934?
47, The unidirectional flow.,unidirectional,0.0474607944488525,10.329593658447266,0.6105329990386963,0.5,0.5,The  philosophy of space and time focuses what kind of flow within time? 
48, There was an increase in the field of agriculture.,large numbers of children working in the field of agriculture,0.0486476421356201,10.903671503067017,0.6023876070976257,0.5263157894736842,0.5263157894736842,Was there an increase or decrease in the field of agriculture?
49, Not guilty.,"not guilty of all 57 charges of child labour violations by the Black Hawk County District Court jury in Waterloo, Iowa, on 7 June 2010.",0.0489649772644043,9.961405515670776,0.4898122251033783,0.1481481481481481,0.1481481481481481,What was the verdict?
50, Jordan Hall of Science.,Jordan Hall of Science,0.0510246753692626,10.197585821151732,0.9753857254981996,1.0,1.0,Which hall at Notre Dame contains the current College of Science?
51, The Vedas date back to the late 2nd millennium BC.,late 2nd millennium BC,0.2223396301269531,11.429890632629396,0.6249576807022095,0.5714285714285715,0.5714285714285715,When do the Vedas date back to?
52," Our experience of time at the macro level is not time-reversal invariant, with events such as glasses breaking but not reassembling, and memories of the past but not the future.",not time-reversal invariant,0.0635192394256591,14.726654529571531,0.6730390787124634,0.2285714285714286,0.2285714285714286,How is our experience of time at the macro level?
53, The United Nations initiated the International Program on the Elimination of Child Labour (IPEC) in 1992 to progressively eliminate child labour through strengthening national capacities to address its causes.,International Program on the Elimination of Child Labour (IPEC),0.228870153427124,14.465808629989624,0.9010196924209596,0.4736842105263158,0.4736842105263158,What did the United Nations take charge of with regards to child labour?
54, The Notre Dame Victory March.,Notre Dame Victory March,0.0524530410766601,10.342118978500366,0.9696164131164552,0.888888888888889,0.888888888888889,What is the Notre Dame fight song?
55, 11 schools have a similar men's basketball record to Notre Dame in terms of wins.,12,0.2254211902618408,12.010872602462769,0.2042594254016876,0.0,0.0,How many counties did New York originally have?
56, 1896,1896,0.1155989170074462,9.933444261550903,1.0,1.0,1.0,A large post office and courthouse was built in what year?
57," Yes, in Uzbekistan, children were assigned daily quotas of 20 to 60 kg of raw cotton.",daily quotas of 20 to 60 kg of raw cotton,0.0477919578552246,12.519463777542114,0.6975607872009277,0.7692307692307693,0.7692307692307693,Did they have daily quotas for cotton?
58," 12,179 students.","12,179",0.0507707595825195,10.378622770309448,0.6014719009399414,0.8,0.8,How many students in total were at Notre Dame in 2014?
59, The original log chapel built by Father Stephen Badin.,Father Stephen Badin's old log chapel,0.2401785850524902,11.04099941253662,0.9380934834480286,0.6250000000000001,0.375,Which structure was the first used for the purposes of the college?
60, Saint Mary's College.,Saint Mary's College,0.0477311611175537,10.23441457748413,0.9892920851707458,1.0,1.0,With what institute did Notre Dame agree to an exchange program in the 1960s?
61, More than 50.,more than 50,0.0477917194366455,10.228741884231567,0.9717832207679749,1.0,1.0,A 2005 survey indicated that how many communities comprised of non-indigenous people existed in London?
62," The Rev. Michael J. Shea, a 1904 graduate of Notre Dame.",Rev. Michael J. Shea,0.0479326248168945,11.85147762298584,0.7404524683952332,0.5333333333333333,0.5333333333333333,"Who is responsible for writing the music for ""Notre Dame Victory March?"""
63," The European Union agreed to a number of exceptions for young people in its child labour laws, allowing children of various ages to work in certain activities.",agreed to a number of exceptions for young people in its child labour laws,0.2290406227111816,13.4983811378479,0.8287853598594666,0.6829268292682926,0.6829268292682926,What happened in the European Union in 1996?
64, The principle of sufficient reason and the identity of indiscernibles.,the principle of sufficient reason and the identity of indiscernibles,0.0546131134033203,11.445674180984495,0.9929777979850768,1.0,1.0,Which principles did Leibniz's arguments trade heavily upon?
65, Absolute space and location.,the absolutist position,0.0487663745880126,10.2231023311615,0.5892044305801392,0.0,0.0,What did Leibniz argue against?
66," No, in some cases, such as the Russian Federation and Uzbekistan, children were sent to work without parental consent.",this is only allowed as part of specialized occupational training and with the students' and parents' permission,0.0476055145263671,12.821135759353638,0.4346257448196411,0.2222222222222222,0.2222222222222222,Did they need parental consent?
67," In the 19th and early 20th centuries, students were used as workers in various settings, including factories, mines, and homes.",1950s,0.0565786361694335,13.49575161933899,0.2607339322566986,0.0,0.0,Neo-Georgain style was common in Britain until the end of which decade?
68, Agriculture.,agriculture,0.0544149875640869,9.800451040267944,0.9317466020584106,1.0,1.0,"Other than trade, what was the traditional basis of Kathmandu's economy?"
69," Father Joseph Carrier, C.S.C.","Father Joseph Carrier, C.S.C.",0.2249770164489746,10.617780685424805,1.0,1.0,1.0,What person was the Director of the Science Museum at Notre Dame in the late 19th century?
70," In Switzerland, child labour was prevalent in various sectors, including chimney sweeping, spinning mills, factories, and agriculture, particularly in the 19th century.","spinning mills, factories and in agriculture",0.0561776161193847,13.786481857299805,0.4575770497322082,0.4285714285714285,0.3571428571428571,What types of child labour did Switzerland employ?
71, The Kroc Institute for International Peace Studies.,Kroc Institute for International Peace Studies,0.2246515750885009,10.795437097549438,0.9860554933547974,0.923076923076923,0.923076923076923,Gustavo Gutierrez is faculty of which institute?
72, The Sustainable Endowments Institute's College Sustainability Report Card 2010.,Sustainable Endowments Institute,0.0480802059173584,11.58227276802063,0.8129209280014038,0.4615384615384615,0.4615384615384615,"Notre Dame got a ""B"" for its sustainability practices from which entity?"
73, 1899,Around 1899,0.0510456562042236,9.927940607070925,0.8768194913864136,0.6666666666666666,0.6666666666666666,In what year did Jerome Green send his first wireless message?
74, Frieda Miller,Frieda Miller,0.0482773780822753,9.915778636932371,1.0,1.0,1.0,In 1946 who was the Director of the United States Department of Labour?
75, Maxwell's equations.,Maxwell,0.0478205680847168,10.038984060287476,0.7277995347976685,0.5,0.5,Einstein's theory was motivated by who?
76, 57.6%,57.6%,0.0477669239044189,10.232332229614258,1.0,1.0,1.0,What percentage of Notre Dame students decide to study abroad?
77, 21 days.,21 days,0.0523498058319091,10.093228578567505,0.9634402990341188,1.0,1.0,For Russian student workers how many summer days were devoted to work?
78, 17th president.,17th,0.0707936286926269,10.228277921676636,0.6166121363639832,0.6666666666666666,0.6666666666666666,At what Augusta hole was the Eisenhower Pine located?
79," The main library at Notre Dame, the Hesburgh Library, is a 14-story building.",14,0.0975406169891357,12.270232915878296,0.1600281000137329,0.1333333333333333,0.1333333333333333,How many Jewish families are there in Swaziland?
80," The oldest structure at Notre Dame is Old College, which was built in 1842.",Old College,0.0502388477325439,11.982749938964844,0.5527840852737427,0.25,0.25,What was the name of the first building opened in 1855?
81, the mind,the mind,0.2329068183898925,9.800065279006958,1.0,1.0,1.0,The  philosophy of space and time focuses on whether or not time and space exist independently of what?
82, Anti-Slavery International and the Environmental Justice Foundation (EJF) accused H&M of using cotton suppliers in Bangladesh that may have used child labor.,Anti-Slavery International and the Environmental Justice Foundation (EJF),0.0575456619262695,13.770839214324951,0.6496990919113159,0.5454545454545454,0.5454545454545454,Who accused H&M of using products made by child labours?
83, George Zipp,George Zipp,0.0511908531188964,9.97002339363098,1.0,1.0,1.0,Which person was a former comrade to Ted Striker in the film Airplane!?
84, Uzbekistan.,Uzbekistan,0.0500962734222412,9.94964599609375,0.9621163606643676,1.0,1.0,What former Soviet Union continued child labour programs?
85," No, child labour is not a new issue in these Asian countries.",not a new problem,0.0526778697967529,11.450957775115969,0.2609145641326904,0.375,0.375,Is child labour a new issue in these Asian countries?
86, Sub-Saharan Africa.,Africa,0.0748965740203857,10.074979782104492,0.8070086240768433,0.5,0.5,What Continent did the biological Conservation state trophy hunting is of major importance to the conservation of?
87, A Catholic research university.,Catholic research university,0.2324485778808593,10.213556289672852,0.955990731716156,0.8571428571428571,0.8571428571428571,What type of institution is the Notre Dame?
88, Temporal direction is also attributable to the relationship between temporal direction and the implications of form and functional capacity.,implications of form and functional capacity,0.0545132160186767,12.379828929901125,0.6369314193725586,0.4799999999999999,0.4799999999999999,"What else, besides direction, is asymmetry attributable to?"
89, The University of Notre Dame du Lac.,University of Notre Dame du,0.2257394790649414,10.662105560302734,0.890602707862854,0.8333333333333333,0.8333333333333333,"The school known as Notre Dame is known by a more lengthy name, what is it?"
90, Relativistics commits to the independent existence of space and temporality.,objects exist independently of the mind,0.0768816471099853,11.458788871765137,0.3612908124923706,0.5,0.25,What is considered contrary to idealist beliefs in regards to space?
91, UNICEF,UNICEF,0.0477344989776611,9.958848476409912,1.0,1.0,1.0,Who reported Ivory Coast farmers usage of child labour?
92, USA Today,USA Today,0.0496778488159179,9.824171543121338,1.0,1.0,1.0,What paper featured a photograph of the head coach of the Gladiators punching the commissioner of the AFL?
93, Pedro Álvares Cabral.,Pedro Álvares Cabral,0.0717496871948242,10.51574993133545,0.990363359451294,1.0,1.0,Who colonized Brazil?
94, 1846,1846,0.0541377067565918,9.96039056777954,1.0,1.0,1.0,When was Herter born?
95, One-fourth of the world's child labour.,one-fourth,0.2219519615173339,10.91667127609253,0.3106810450553894,0.4,0.4,How much of the world's child labour does India's workers contribute to?
96," The course of study at the Notre Dame School of Architecture is five years, leading to the Bachelor of Architecture degree.",five-year,0.0567107200622558,12.690408945083618,0.329418271780014,0.1739130434782608,0.1739130434782608,How many years is one presidential term for?
97, 290,290,0.0523171424865722,9.81505799293518,1.0,1.0,1.0,How many active programs does the foundation have? 
98, A statistical postulate.,a statistical postulate,0.048595905303955,10.235391855239868,0.9787286520004272,1.0,1.0,"In order to explain glass breaking, Fundamental laws of physics can be paired with what? "
99, The formulations of the general theory of relativity.,the covariance group,0.0572402477264404,10.90526270866394,0.3136330544948578,0.1818181818181818,0.1818181818181818,"What else besides  invariance, or symmetry and group part ways in relativistic physics?"
100, 1968,1968,0.0637362003326416,9.942301750183104,1.0,1.0,1.0,When was the Terry v. Ohio case?
101, Three,three,0.2294709682464599,9.650245666503906,1.0,1.0,1.0,"Before Hindus are cremated, how many times are their bodies placed in the Bagmati?"
102," Yes, in some cultures, child labour was seen as a positive way to teach children skills and character.",Some view that work is good for the character-building and skill development of children,0.0523319244384765,12.40499782562256,0.6465349197387695,0.303030303030303,0.1212121212121212,Throughout European history was child labour seen as a positive?
103, 19.7%,19.7%,0.0468368530273437,10.22655987739563,1.0,1.0,1.0,What percentage of students were admitted to Notre Dame in fall 2015?
104, For many centuries.,many centuries,0.0469288825988769,10.087350845336914,0.8476992845535278,0.8,0.8,For how long did the evidence of a concave water surface hold authority in reference to space?
105, 1917–2015,1917–2015,0.0473983287811279,10.354570865631104,1.0,1.0,1.0,What was the lifespan of Theodore Hesburgh?
106," Physical and psychological harm, exploitation, and exposure to violence.",physical and psychological implications,0.0590982437133789,11.158178329467772,0.5339253544807434,0.4615384615384615,0.4615384615384615,What are the risks of child labour in drug cartels?
107, 14 years old.,aged 14 years or over,0.0469057559967041,10.224569082260132,0.6261289119720459,0.5,0.5,What age were children able to take part in European training programs?
108," Edward Malloy, C.S.C.",Malloy,0.0468859672546386,10.64738392829895,0.6882443428039551,0.3333333333333333,0.3333333333333333,Who was the Notre Dame president that preceded John Jenkins?
109, They were able to afford to send their children to school instead of work.,send their children to school instead of work,0.0480167865753173,11.57469081878662,0.7286964654922485,0.7272727272727273,0.7272727272727273,What did parents do when the wages were finally raised?
110, Space.,space,0.0542812347412109,9.816707849502563,0.8789306282997131,1.0,1.0,What does the V-shaped groove method save?
