idx,generated_response,ground_truth,load_knowledge_time,generate_time,bert_score,rouge1_score,rougeL_score
0, Treaty of Vienna,Treaty of Vienna,0.11083745956420898,7.507886171340942,0.9999998807907104,1.0,1.0
1, They both possess a complete digestive tract.,both groups possess a complete digestive tract,0.13816404342651367,8.07336950302124,0.8520562648773193,0.8571428571428571,0.8571428571428571
2, September 1854,17 October,0.12176132202148438,7.517916202545166,0.5001140832901001,0.0,0.0
3, Sir John Burgoyne,Sir John Burgoyne,0.11392593383789062,7.71225905418396,1.000000238418579,1.0,1.0
4, To promote year-round trade and a year-round navy.,to promote year-round trade and a year-round navy,0.13177204132080078,8.44333267211914,0.9745825529098511,1.0,1.0
5, 1854,1854,0.12180399894714355,7.472658395767212,1.0000001192092896,1.0,1.0
6," The Sultan, Abdülmecid I, rejected the proposed amendments to the Vienna Conference due to poor word phrasing.",Abdülmecid I,0.12844204902648926,10.037489891052246,0.4112633764743805,0.2857142857142857,0.2857142857142857
7, Eukaryotic cells.,eukaryotic,0.1301579475402832,7.76755428314209,0.8501046299934387,0.6666666666666666,0.6666666666666666
8, World War II,Pacific War,0.12187528610229492,7.450467109680176,0.6363435983657837,0.4,0.4
9, Prussian tactics and organizational skills.,Prussian tactics and organizational skills,0.13609552383422852,7.953545331954956,0.9912369251251221,1.0,1.0
10, The British and French fleets joined the Baltic attack.,Anglo-French fleet,0.13300228118896484,8.300856113433838,0.5346161127090454,0.3333333333333333,0.3333333333333333
11, Ingur River,the Ingur River,0.13569998741149902,7.406317234039307,0.9691559076309204,0.8,0.8
12, Lord Cowley,Lord Cowley,0.13177847862243652,7.418135404586792,1.0,1.0,1.0
13, Animals.,animals,0.145005464553833,7.274819374084473,0.9630363583564758,1.0,1.0
14, They are held in place by cell walls.,cell walls,0.11676836013793945,8.126964807510376,0.7617379426956177,0.4,0.4
15, To reinforce batteries on shore during the Crimean War.,to reinforce batteries on shore,0.12849736213684082,8.4382164478302,0.6970037221908569,0.7142857142857143,0.7142857142857143
16, An Ottoman patrol squadron of frigates and corvettes.,a patrol squadron of Ottoman frigates and corvettes,0.12145185470581055,8.616134405136108,0.9810580015182495,0.875,0.75
17, They draw in water through pores.,drawing in water through pores,0.11420941352844238,7.890879392623901,0.8037409782409668,0.9090909090909091,0.9090909090909091
18, Austria,Kingdom of Sardinia,0.13347721099853516,7.15758490562439,0.28068676590919495,0.0,0.0
19, TOC,TOC,0.14406991004943848,7.284397125244141,1.0,1.0,1.0
20, Fruit fly (Drosophila melanogaster) and the nematode (Caenorhabditis elegans).,fruit fly Drosophila melanogaster and the nematode Caenorhabditis elegans,0.11980199813842773,10.070544242858887,0.9221348762512207,1.0,1.0
21, Detritivory.,detritivory,0.13962173461914062,7.673487901687622,0.9783257246017456,1.0,1.0
22, The Kerch Strait.,the Kerch Strait,0.12307882308959961,7.749489784240723,0.9846352934837341,1.0,1.0
23, Russia,Russia,0.11785078048706055,7.1903204917907715,1.000000238418579,1.0,1.0
24, France and the Roman Catholic Church.,France and the Roman Catholic Church,0.14028501510620117,7.896871089935303,0.95640629529953,1.0,1.0
25, 1856,1871,0.11257505416870117,7.44636344909668,0.581269383430481,0.0,0.0
26," 30,000",30000,0.11416125297546387,7.535062551498413,0.7541947364807129,0.0,0.0
27, A. W. Kinglake,"A. W, Kinglake",0.13069891929626465,7.864660024642944,0.9557293057441711,1.0,1.0
28, The National Army.,"the ""National Army""",0.11139035224914551,7.555254936218262,0.9350264072418213,1.0,1.0
29, The Sultan Abdülmecid I demanded the changes that Nicholas later refused.,Ottomans,0.12889385223388672,8.996968030929565,0.31797805428504944,0.0,0.0
30, Russian batteries in the hills.,Russian batteries,0.11033916473388672,7.778506517410278,0.8655991554260254,0.5714285714285715,0.5714285714285715
31, 2,two,0.12343645095825195,7.303046464920044,0.8183472156524658,0.0,0.0
32, The 1757 and 1774 Treaties of Küçük Kaynarca.,Ottoman Empire of the Tsar's,0.11733293533325195,9.302271842956543,0.23930907249450684,0.26666666666666666,0.13333333333333333
