idx,generated_response,ground_truth,reset_cache_time,generate_time,bert_score,rouge1_score,rougeL_score
0, 1947,1947,0.0008728504180908203,1.2055461406707764,1.0,1.0,1.0
1, 347,347,0.0009081363677978516,0.4939999580383301,1.0000001192092896,1.0,1.0
2," $6,860","$6,860",0.0008592605590820312,0.8198084831237793,1.0,1.0,1.0
3, Indian art and artefacts.,Indian art,0.0008668899536132812,1.182077169418335,0.8747749328613281,0.6666666666666666,0.6666666666666666
4," The concepts of definition, axiom, theorem, and proof.",the foundations of mathematical rigor,0.0008518695831298828,2.1633689403533936,0.4347573518753052,0.3076923076923077,0.3076923076923077
5, New Delhi,New Delhi,0.0008640289306640625,0.5213313102722168,1.0000001192092896,1.0,1.0
6," Computer science has facilitated large-scale archiving of scientific data, enabling researchers to analyze and share information more efficiently.",by facilitating large-scale archiving of scientific data,0.0008599758148193359,3.8109967708587646,0.8224121928215027,0.5185185185185185,0.5185185185185185
7, 230 cities,230,0.0008585453033447266,0.6871902942657471,0.47178328037261963,0.6666666666666666,0.6666666666666666
8, Jantar Mantar,Jantar Mantar,0.0008633136749267578,0.8637325763702393,1.0000001192092896,1.0,1.0
9, Remington Park,Remington Park,0.0008563995361328125,0.6836223602294922,1.0,1.0,1.0
10," 144,120","144,120 families",0.0008585453033447266,0.8484442234039307,0.6171438694000244,0.8,0.8
11, Karl Marx,Karl Marx,0.0008614063262939453,0.5178027153015137,1.0,1.0,1.0
12, 387 BC,387 BC,0.0008566379547119141,0.6826393604278564,1.0,1.0,1.0
13, Oklahoma River,Oklahoma River,0.0008573532104492188,0.5242125988006592,0.9999999403953552,1.0,1.0
14," The Scientific Revolution was a period of major scientific advancements in the 16th and 17th centuries, marked by the development of new scientific methods, the emergence of modern scientific disciplines, and the overthrow of traditional authority in favor of empirical evidence and experimentation.",a period of major scientific advancements,0.0008566379547119141,8.590597867965698,0.6294153332710266,0.24489795918367346,0.24489795918367346
15, South,southwest,0.0008640289306640625,0.35580992698669434,0.5996831655502319,0.0,0.0
16, OK VIETIMES and Oklahoma Chinese Times.,OK VIETIMES and Oklahoma Chinese Times,0.0008640289306640625,1.8459784984588623,0.9911050200462341,1.0,1.0
17, 1922,1921,0.0008668899536132812,0.6820085048675537,0.8576596975326538,0.0,0.0
18, Oklahoma City,Oklahoma City,0.0008614063262939453,0.5181093215942383,0.9999999403953552,1.0,1.0
19, Monetarism.,monetarism,0.0008587837219238281,1.0133838653564453,0.9711008071899414,1.0,1.0
20, The Romantic Movement.,The Romantic Movement,0.0008616447448730469,0.848304033279419,0.9846920967102051,1.0,1.0
21, He believed that river valleys were formed over millions of years by the rivers that flow through them.,"were formed, over millions of years by the rivers that flow through them",0.0008571147918701172,3.325373649597168,0.7869237661361694,0.8387096774193548,0.8387096774193548
22," December 16, 2015","December 16, 2015",0.0005068778991699219,1.3540489673614502,1.0,1.0,1.0
23, The Champs-Élysées.,the Champs-Élysées,0.0005323886871337891,1.514181137084961,0.987095057964325,1.0,1.0
24, 100,hundred,0.00048732757568359375,0.5240962505340576,0.8532832860946655,0.0,0.0
25, 2009,December 2009,0.0008707046508789062,0.6864430904388428,0.7976825833320618,0.6666666666666666,0.6666666666666666
26, Delhi and New Delhi.,Delhi and New Delhi,0.0004956722259521484,1.0217270851135254,0.984139084815979,1.0,1.0
27," Aryabhata introduced a number of trigonometric functions, including sine, versine, cosine, and inverse sine.","sine, versine, cosine and inverse sine",0.0004909038543701172,4.16219425201416,0.5484814047813416,0.6,0.6
28, Copernican heliocentric model.,Copernican heliocentric model,0.0004994869232177734,1.513500690460205,0.9897050261497498,1.0,1.0
29, 2004,2004,0.0004935264587402344,0.6849727630615234,1.0,1.0,1.0
30, King George V and Queen Mary,King George V and Queen Mary,0.0005068778991699219,1.1805694103240967,1.0,1.0,1.0
31, Classical Antiquity,Classical Antiquity,0.0005009174346923828,0.8501584529876709,1.0000001192092896,1.0,1.0
32, January 26.,26 January,0.0004916191101074219,0.853001594543457,0.9376403093338013,1.0,0.5
33, 1879,a scientific enterprise,0.000492095947265625,0.6848912239074707,0.23448938131332397,0.0,0.0
34, The intromission theory of light.,the intromission theory of light,0.00048661231994628906,1.5131754875183105,0.9898880124092102,1.0,1.0
35, Multinational companies.,multinational companies,0.0004813671112060547,1.031468152999878,0.9620832204818726,1.0,1.0
36, King George V,George V,0.0004901885986328125,0.6885387897491455,0.8945454359054565,0.8,0.8
37, April to October.,April to October,0.0004839897155761719,0.8523757457733154,0.9586935043334961,1.0,1.0
38, The 12th century.,12th century,0.0005092620849609375,1.183459758758545,0.9569544792175293,0.8,0.8
39," Adam Smith's work, ""An Inquiry into the Nature and Causes of the Wealth of Nations"", covered the study of economics, specifically the nature and causes of wealth and the principles of economic systems.",The basis for classical economics,0.00051116943359375,6.642292737960815,0.5189617872238159,0.10256410256410256,0.10256410256410256
40," March 31, 2016","March 31, 2016",0.0004951953887939453,1.352903127670288,1.0,1.0,1.0
41, Remington Park,Remington Park,0.0004863739013671875,0.6843798160552979,1.0,1.0,1.0
42, 34 years.,34,0.0004839897155761719,0.8517501354217529,0.6448156833648682,0.6666666666666666,0.6666666666666666
43, Sir William Jones,Sir William Jones,0.0004837512969970703,0.6888258457183838,1.0000001192092896,1.0,1.0
44, The Indian Army.,Indian Army,0.0004899501800537109,0.8526945114135742,0.9436756372451782,0.8,0.8
45, Ancient Greece.,in almost every geographic area,0.0004949569702148438,0.6863830089569092,0.3104467988014221,0.0,0.0
46, Ayurveda,Ayurveda,0.00048232078552246094,0.6882903575897217,1.0,1.0,1.0
47, Epworth University,Epworth University,0.0004904270172119141,0.6861605644226074,1.0,1.0,1.0
48, Spring.,spring,0.0004899501800537109,0.5223062038421631,0.9573253989219666,1.0,1.0
49, New Delhi,New Delhi,0.0005061626434326172,0.5197656154632568,1.0000001192092896,1.0,1.0
50, Numerical data on clay tablets.,numerical data,0.000514984130859375,1.350020170211792,0.4363735318183899,0.5714285714285715,0.5714285714285715
51, Vesalius,Vesalius,0.00048089027404785156,0.6862795352935791,1.0000001192092896,1.0,1.0
52, Janpath,The Janpath,0.0004899501800537109,0.5217564105987549,0.920317530632019,0.6666666666666666,0.6666666666666666
53, Synthesizing urea.,The synthesis of urea,0.0004818439483642578,1.1825995445251465,0.8971110582351685,0.3333333333333333,0.3333333333333333
54, 1924,1924,0.00048542022705078125,0.686882495880127,1.000000238418579,1.0,1.0
55, Delhi Metro,The Delhi Metro,0.00048470497131347656,0.5236613750457764,0.9811344146728516,0.8,0.8
56, Sacred Theory of the Earth,Sacred Theory of the Earth,0.0004887580871582031,1.0167872905731201,1.0,1.0,1.0
57, The Big Bang theory.,the Big Bang theory,0.0004878044128417969,1.0192999839782715,0.9459095597267151,1.0,1.0
58," The theory of impetus, developed by Jean Buridan.",impetus,0.0005009174346923828,2.172276258468628,0.6820400953292847,0.2222222222222222,0.2222222222222222
59, Historical linguistics.,Historical linguistics,0.00048828125,0.8532078266143799,0.9562859535217285,1.0,1.0
60, Aristarchus of Samos,Aristarchus of Samos,0.0004830360412597656,1.1812772750854492,1.0000001192092896,1.0,1.0
61, Kirkpatrick Science and Air Space Museum at Omniplex.,Kirkpatrick Science and Air Space Museum at Omniplex,0.0004940032958984375,2.1748428344726562,0.9903059005737305,1.0,1.0
62, Seismic zone-IV.,seismic zone-IV,0.0004911422729492188,1.1801435947418213,0.9798167943954468,1.0,1.0
63, New Delhi,New Delhi,0.0004837512969970703,0.522454023361206,1.0000001192092896,1.0,1.0
64, The Water Stage.,Water Stage,0.00048542022705078125,0.8548924922943115,0.9520293474197388,0.8,0.8
65, Metro Technology Center and Francis Tuttle Technology Center.,Metro Technology Center and Francis Tuttle Technology Center,0.0004928112030029297,1.844048261642456,0.9862585663795471,1.0,1.0
66, Delhi is located in the northern part of India.,the centre of northern India,0.00048828125,1.8420395851135254,0.6591556668281555,0.5714285714285714,0.42857142857142855
67, The end of the 19th century marks the start of psychology as a scientific enterprise.,the exploitation of the Earth's petrochemicals,0.0004968643188476562,3.1673600673675537,0.08857820183038712,0.27272727272727276,0.27272727272727276
68, Not very present.,frequently,0.0005495548248291016,0.8516867160797119,0.25692451000213623,0.0,0.0
69," Southern Nazarene University is located in Bethany, which is surrounded by the Oklahoma City city limits.",Bethany,0.0004825592041015625,3.6622016429901123,0.4058080315589905,0.11764705882352941,0.11764705882352941
70, Whiggish belief in history as a record of the advances and delays in the march of progress.,Whiggish,0.0004870891571044922,3.495182752609253,0.5363219380378723,0.1111111111111111,0.1111111111111111
71, Natural philosophy,natural philosophy,0.0004980564117431641,0.5248134136199951,1.0,1.0,1.0
72, The Legion of Honour by the French Government.,Legion of Honour,0.0004875659942626953,1.695396900177002,0.7495847940444946,0.5454545454545454,0.5454545454545454
73, He recognized that amber was a fossilized resin from pine trees because he had seen samples with trapped insects within them.,was a fossilized resin,0.0005047321319580078,3.996612548828125,0.6528041362762451,0.32,0.32
74, Gregor Mendel,Moravian monk Gregor Mendel,0.0004899501800537109,0.8504319190979004,0.7503311634063721,0.6666666666666666,0.6666666666666666
75, British Classical/Palladian tradition.,Hindu,0.0004906654357910156,1.350130319595337,0.1820334494113922,0.0,0.0
76, New Delhi,New Delhi,0.0004839897155761719,0.5214309692382812,1.0000001192092896,1.0,1.0
77, 50,last place,0.0004820823669433594,0.5247049331665039,0.16559436917304993,0.0,0.0
78, The Fall of Constantinople in 1453.,the Fall of Constantinople in 1453,0.00048470497131347656,1.8437309265136719,0.9852704405784607,1.0,1.0
79, Gandhi Jayanti,Gandhi Jayanti,0.00048065185546875,0.6885473728179932,1.000000238418579,1.0,1.0
80, 1951,1951,0.00049591064453125,0.686455249786377,0.9999999403953552,1.0,1.0
81," 3 major highways cross through Oklahoma City: Interstate 35, Interstate 40, and Interstate 44.",3,0.0004963874816894531,3.8252270221710205,0.15840263664722443,0.13333333333333333,0.13333333333333333
82, 5.4,5.4 magnitude,0.0004878044128417969,0.8545627593994141,0.6562789082527161,0.8,0.8
83, Pakistan,Pakistan,0.00048065185546875,0.3554229736328125,1.0,1.0,1.0
84, Approximately 3500 BC.,3500 BC,0.0004825592041015625,1.1830568313598633,0.8691527247428894,0.8,0.8
85, The human component of scientific knowledge.,the ways in which scientists work,0.0005068778991699219,1.3455922603607178,0.5459214448928833,0.16666666666666666,0.16666666666666666
86, The Juárez Cartel.,Juárez Cartel,0.0004990100860595703,1.3476369380950928,0.9704042673110962,0.8571428571428571,0.8571428571428571
87, South Oklahoma City,South Oklahoma City,0.0004940032958984375,0.6851725578308105,1.0,1.0,1.0
88, 1031–1095,1031–1095,0.0004901885986328125,1.1801185607910156,1.0,1.0,1.0
89, Joseph Needham,Joseph Needham,0.000484466552734375,0.6860034465789795,1.0,1.0,1.0
90, 1,twelve,0.0005104541778564453,0.5220422744750977,0.5134395360946655,0.0,0.0
91, New Delhi,New Delhi,0.0004818439483642578,0.523108720779419,1.0000001192092896,1.0,1.0
92, Latin,Latin,0.000484466552734375,0.35820865631103516,0.9999999403953552,1.0,1.0
93, The New Delhi Municipal Council.,New Delhi Municipal Council,0.0004899501800537109,1.1865017414093018,0.9781777858734131,0.888888888888889,0.888888888888889
94, Connaught Place,Connaught Place,0.0004901885986328125,0.8573329448699951,1.0,1.0,1.0
95, The 12th century.,the 12th century,0.0005013942718505859,1.17877197265625,0.9856574535369873,1.0,1.0
96, Geology,land formation,0.0004928112030029297,0.5207622051239014,0.44246283173561096,0.0,0.0
97, 16.2%,16.2%,0.00048232078552246094,1.0207984447479248,0.9999999403953552,1.0,1.0
98, Almagest.,The great treatise,0.0004894733428955078,0.8512825965881348,0.1773156374692917,0.0,0.0
99, The Science wars of the 1990s.,The Science wars,0.00048732757568359375,1.8468804359436035,0.8667457103729248,0.6666666666666666,0.6666666666666666
100, The Alfred P. Murrah Federal Building.,Alfred P. Murrah Federal Building,0.00048732757568359375,1.678736925125122,0.9794926643371582,0.9090909090909091,0.9090909090909091
101, Suśrutasamhitā,Suśrutasamhitā of Suśruta,0.0004897117614746094,1.3500404357910156,0.9373281002044678,0.5714285714285715,0.5714285714285715
102, $777 million,$777 million,0.00048160552978515625,0.6841096878051758,1.0,1.0,1.0
103, 13,13,0.0004885196685791016,0.5223615169525146,1.0,1.0,1.0
104, The New Delhi town plan.,The New Delhi town plan,0.0004944801330566406,1.1850872039794922,0.9925682544708252,1.0,1.0
105," A surplus of food, allowing for more time and effort to be devoted to tasks other than food production.",a surplus of food,0.0004942417144775391,3.6601035594940186,0.7630839347839355,0.34782608695652173,0.34782608695652173
106," ""OKC""",OKC,0.0005013942718505859,0.8513708114624023,0.7374685406684875,1.0,1.0
107, Vanu Bhuta,Vanu Bhuta,0.0004985332489013672,0.851416826248169,1.0,1.0,1.0
108, The modern concept of inertia.,inertia,0.0005083084106445312,1.1825051307678223,0.8378430604934692,0.33333333333333337,0.33333333333333337
109, 189.63 kilometres (117.83 miles),189.63 kilometres,0.00048661231994628906,2.007850170135498,0.9312456846237183,0.6666666666666666,0.6666666666666666
110, Natural philosophers,natural philosophers,0.0004894733428955078,0.5203182697296143,1.0,1.0,1.0
111, Vasant Panchami,Vasant Panchami,0.0005135536193847656,1.020444631576538,1.0,1.0,1.0
