idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score
0,Congress of Vienna,Treaty of Vienna,0.294086217880249,4.259621858596802,0.696808934211731,0.6666666666666666,0.6666666666666666
1,Deuterostomes and protostomes both possess a complete digestive tract.,both groups possess a complete digestive tract,0.23833823204040527,2.250991106033325,0.6407703161239624,0.75,0.75
2,29 September 1855.,17 October,0.327960729598999,3.188398838043213,0.5116540193557739,0.0,0.0
3,Sir John Burgoyne,Sir John Burgoyne,0.21884655952453613,2.441539764404297,1.000000238418579,1.0,1.0
4,To promote year-round trade and a year-round navy.,to promote year-round trade and a year-round navy,0.46704912185668945,3.488694906234741,0.9745825529098511,1.0,1.0
5,1854,1854,0.33009815216064453,2.7974307537078857,1.0000001192092896,1.0,1.0
6,Abdülmecid I,Abdülmecid I,0.9205975532531738,2.645358085632324,1.0000001192092896,1.0,1.0
7,Eukaryotic cells.,eukaryotic,0.3170337677001953,2.036858081817627,0.8501046299934387,0.6666666666666666,0.6666666666666666
8,World War II,Pacific War,0.31080079078674316,2.45485520362854,0.6363435983657837,0.4,0.4
9,Prussian tactics and organizational skills.,Prussian tactics and organizational skills,0.2264540195465088,2.6373324394226074,0.9912369251251221,1.0,1.0
10,The British and French fleets.,Anglo-French fleet,0.3250124454498291,2.721189260482788,0.8548935055732727,0.5,0.5
11,The Ingur River.,the Ingur River,0.23816251754760742,2.658205986022949,0.989136278629303,1.0,1.0
12,Lord Cowley,Lord Cowley,0.28421735763549805,2.7995877265930176,1.0,1.0,1.0
13,Animals.,animals,0.2421107292175293,1.7863538265228271,0.9630363583564758,1.0,1.0
14,They are held in place by cell walls.,cell walls,0.27072691917419434,2.7042081356048584,0.7617379426956177,0.4,0.4
15,To reinforce batteries on shore.,to reinforce batteries on shore,0.22252678871154785,2.7148921489715576,0.9451956152915955,1.0,1.0
16,A patrol squadron of Ottoman frigates and corvettes.,a patrol squadron of Ottoman frigates and corvettes,0.21729397773742676,3.218745708465576,0.9895780086517334,1.0,1.0
17,Sponges typically feed by drawing in water through pores.,drawing in water through pores,0.3064396381378174,2.764396905899048,0.5807777643203735,0.7142857142857143,0.7142857142857143
18,Austria,Kingdom of Sardinia,0.33118677139282227,2.6722910404205322,0.28068676590919495,0.0,0.0
19,TOC,TOC,0.2289893627166748,2.312885284423828,1.0,1.0,1.0
20,Fruit fly (Drosophila melanogaster) and the nematode (Caenorhabditis elegans).,fruit fly Drosophila melanogaster and the nematode Caenorhabditis elegans,0.38385987281799316,3.812612295150757,0.9221348762512207,1.0,1.0
21,Detritivory.,detritivory,0.2777729034423828,2.2911291122436523,0.9783257246017456,1.0,1.0
22,The Kerch Strait.,the Kerch Strait,2.614020347595215,2.946321725845337,0.9846352934837341,1.0,1.0
23,Russia,Russia,0.31564998626708984,2.649967908859253,1.000000238418579,1.0,1.0
24,France and the Roman Catholic Church.,France and the Roman Catholic Church,0.2809154987335205,3.192471742630005,0.95640629529953,1.0,1.0
25,1856,1871,0.4154634475708008,2.817253828048706,0.581269383430481,0.0,0.0
26,"30,000",30000,0.37641453742980957,2.958462953567505,0.7541947364807129,0.0,0.0
27,A. W. Kinglake,"A. W, Kinglake",0.3063490390777588,3.019742250442505,0.9557293057441711,1.0,1.0
28,The National Army.,"the ""National Army""",0.2591524124145508,2.3719305992126465,0.9350264072418213,1.0,1.0
29,The Ottomans demanded the changes.,Ottomans,0.6037054061889648,3.1775429248809814,0.6643425226211548,0.33333333333333337,0.33333333333333337
30,Russian batteries in the hills.,Russian batteries,0.2979257106781006,3.0380451679229736,0.8655991554260254,0.5714285714285715,0.5714285714285715
31,2,two,0.4236443042755127,1.810894250869751,0.8183472156524658,0.0,0.0
32,The Ottoman Empire.,Ottoman Empire of the Tsar's,3.796205997467041,2.903532028198242,0.7883517742156982,0.6666666666666666,0.4444444444444444
33,The Orthodox Christians in the Ottoman-controlled Danubian Principalities of Moldavia and Wallachia didn't show any signs of rising up against the Turks.,Orthodox Christians,0.3605513572692871,4.986203908920288,0.37100082635879517,0.15384615384615385,0.15384615384615385
34,Omar Pasha.,Omar Pasha,0.49369168281555176,2.9634006023406982,0.9815734028816223,1.0,1.0
35,Animalia,Animalia,0.33898472785949707,1.7462563514709473,1.0,1.0,1.0
36,The Corps of Royal Engineers sent men to the Dardanelles.,The Corps of Royal Engineers,0.24747848510742188,3.7070631980895996,0.5422878265380859,0.6666666666666666,0.6666666666666666
37,Appomattox Court House.,Appomattox Court House,0.5034055709838867,2.8072168827056885,0.9702085256576538,1.0,1.0
38,The British Army.,United States Volunteers,0.27173519134521484,2.3731024265289307,0.32898375391960144,0.0,0.0
39,Fort Bliss is located in New Mexico and Texas.,New Mexico and Texas,0.4149489402770996,2.8377864360809326,0.5501061677932739,0.6153846153846153,0.6153846153846153
40,Troops and police acting with truncheons put down the riot.,with truncheons,0.42787814140319824,3.778158187866211,0.5403147339820862,0.33333333333333337,0.33333333333333337
41,"""The Charge of the Light Brigade"" by Alfred Lord Tennyson.",The Charge of the Light Brigade,0.27991509437561035,3.500197172164917,0.7576092481613159,0.7499999999999999,0.7499999999999999
42,Orthodox Christians.,Orthodox Christians,0.5364434719085693,2.8634955883026123,0.9736581444740295,1.0,1.0
43,1854,1854,0.2279801368713379,2.8599236011505127,1.0000001192092896,1.0,1.0
44,The Heavy Brigade countered the Russian cavalry's movement.,Heavy Brigade,0.3784337043762207,3.4254631996154785,0.5208417177200317,0.3636363636363636,0.3636363636363636
45,"60,000 troops.","60,000 troops",0.4114267826080322,3.0903067588806152,0.9813042283058167,1.0,1.0
46,The French captured the Malakoff on 8 September 1855.,the French,0.28940367698669434,3.2810072898864746,0.31117552518844604,0.3636363636363636,0.3636363636363636
47,"25,000","25,000",0.8182883262634277,2.434706926345825,1.0000001192092896,1.0,1.0
48,The British commanders failed to take advantage of the Russian retreat after the Battle of the Alma.,local commanders,0.3685729503631592,3.963437080383301,0.182077556848526,0.10526315789473684,0.10526315789473684
49,The Third French Republic.,a Third French Republic,0.8656091690063477,2.9303979873657227,0.9698875546455383,0.75,0.75
50,Prince Menshikov.,Prince Menshikov,0.24061989784240723,3.106419801712036,0.9840903282165527,1.0,1.0
51,A blastula.,blastula,0.3083529472351074,2.377319097518921,0.908291757106781,0.6666666666666666,0.6666666666666666
52,1856,1856,0.25966882705688477,2.448721408843994,1.000000238418579,1.0,1.0
53,The French and English were unable to take control of the field due to the Russian army's strong defensive positions and the failure to pursue the retreating forces after the Battle of the Alma.,lack of equipment,0.28996968269348145,5.342935085296631,0.25736165046691895,0.05263157894736842,0.05263157894736842
54,Thessaly and Epirus.,Thessaly and Epirus,2.3321874141693115,3.2660233974456787,0.97920161485672,1.0,1.0
55,High Mobility Multipurpose Wheeled Vehicle.,High Mobility Multipurpose Wheeled Vehicle,0.32792139053344727,2.381922721862793,0.9908203482627869,1.0,1.0
56,Combat medics duties include providing pre-hospital emergency treatment.,provide pre-hospital emergency treatment,1.663698673248291,2.9354636669158936,0.7055634260177612,0.7142857142857143,0.7142857142857143
57,1830,1830,0.23872160911560059,2.7906322479248047,1.0,1.0,1.0
58,"The Russians believed they should have traveled south, not north, to capture Sevastopol.",south,0.48238420486450195,3.9865431785583496,0.21171799302101135,0.14285714285714288,0.14285714285714288
59,Flukes and tapeworms.,flukes and tapeworms,0.4619407653808594,2.1465635299682617,0.9851476550102234,1.0,1.0
60,Prompting the resignation of the sitting British government.,prompting the resignation of the sitting British government,0.6009936332702637,3.310030460357666,0.9365925788879395,1.0,1.0
61,The Crimean War.,The Crimean War,0.32626843452453613,2.950084686279297,0.9786608219146729,1.0,1.0
62,Bilateria.,bilaterian,0.32126593589782715,1.8599011898040771,0.8266175985336304,0.0,0.0
63,Sultan Mahmud II.,Sultan Mahmud II,0.2859349250793457,3.020282506942749,0.9852082133293152,1.0,1.0
64,The allied Anglo-Franco-Russian fleet destroyed most of the Ottoman naval forces during the Battle of Navarino in 1827.,the allied Anglo-Franco-Russian fleet,0.28392815589904785,4.706688642501831,0.5023113489151001,0.4615384615384615,0.4615384615384615
65,Britain.,Britain,0.287186861038208,2.729403495788574,0.9347862601280212,1.0,1.0
66,Chief of Staff of the Army,Chief of Staff of the Army,0.3609335422515869,2.1708500385284424,0.9999998807907104,1.0,1.0
