KVcache prepared in 19.529070615768433 seconds
[0]: Semantic Similarity: 1.0,	 cache time: 0.0,	 generate time: 1.6651027202606201
[0]: [Cumulative]: Semantic Similarity: 1.0,	 cache time: 0.0,	 generate time: 1.6651027202606201
[1]: Semantic Similarity: 0.84656,	 cache time: 2.384185791015625e-07,	 generate time: 3.7025325298309326
[1]: [Cumulative]: Semantic Similarity: 0.92328,	 cache time: 1.1920928955078125e-07,	 generate time: 2.6838176250457764
[2]: Semantic Similarity: 0.98968,	 cache time: 2.384185791015625e-07,	 generate time: 0.9046578407287598
[2]: [Cumulative]: Semantic Similarity: 0.94541,	 cache time: 1.5894571940104166e-07,	 generate time: 2.090764363606771
[3]: Semantic Similarity: 0.47763,	 cache time: 2.384185791015625e-07,	 generate time: 5.631064414978027
[3]: [Cumulative]: Semantic Similarity: 0.82847,	 cache time: 1.7881393432617188e-07,	 generate time: 2.975839376449585
[4]: Semantic Similarity: 0.98849,	 cache time: 2.384185791015625e-07,	 generate time: 1.6031715869903564
[4]: [Cumulative]: Semantic Similarity: 0.86047,	 cache time: 1.9073486328125e-07,	 generate time: 2.7013058185577394
[5]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.9042952060699463
[5]: [Cumulative]: Semantic Similarity: 0.88373,	 cache time: 1.986821492513021e-07,	 generate time: 2.401804049809774
[6]: Semantic Similarity: 0.67459,	 cache time: 4.76837158203125e-07,	 generate time: 0.9026496410369873
[6]: [Cumulative]: Semantic Similarity: 0.85385,	 cache time: 2.384185791015625e-07,	 generate time: 2.187639134270804
[7]: Semantic Similarity: 1.0,	 cache time: 4.76837158203125e-07,	 generate time: 0.5529885292053223
[7]: [Cumulative]: Semantic Similarity: 0.87212,	 cache time: 2.682209014892578e-07,	 generate time: 1.983307808637619
[8]: Semantic Similarity: 0.5787,	 cache time: 2.384185791015625e-07,	 generate time: 0.5576248168945312
[8]: [Cumulative]: Semantic Similarity: 0.83952,	 cache time: 2.6490953233506946e-07,	 generate time: 1.8248985873328314
[9]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.7399816513061523
[9]: [Cumulative]: Semantic Similarity: 0.85557,	 cache time: 2.6226043701171877e-07,	 generate time: 1.7164068937301635
[10]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.38382673263549805
[10]: [Cumulative]: Semantic Similarity: 0.8687,	 cache time: 2.600929953835227e-07,	 generate time: 1.5952632427215576
[11]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.9171955585479736
[11]: [Cumulative]: Semantic Similarity: 0.87964,	 cache time: 2.582867940266927e-07,	 generate time: 1.538757602373759
[12]: Semantic Similarity: 0.50986,	 cache time: 2.384185791015625e-07,	 generate time: 3.8414788246154785
[12]: [Cumulative]: Semantic Similarity: 0.85119,	 cache time: 2.567584698016827e-07,	 generate time: 1.7158900040846605
[13]: Semantic Similarity: 0.97949,	 cache time: 2.384185791015625e-07,	 generate time: 1.3034405708312988
[13]: [Cumulative]: Semantic Similarity: 0.86036,	 cache time: 2.5544847760881696e-07,	 generate time: 1.6864293302808488
[14]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 1.4836304187774658
[14]: [Cumulative]: Semantic Similarity: 0.86967,	 cache time: 2.5431315104166666e-07,	 generate time: 1.67290940284729
[15]: Semantic Similarity: 0.9316,	 cache time: 4.76837158203125e-07,	 generate time: 0.576911211013794
[15]: [Cumulative]: Semantic Similarity: 0.87354,	 cache time: 2.682209014892578e-07,	 generate time: 1.6044095158576965
[16]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.7574102878570557
[16]: [Cumulative]: Semantic Similarity: 0.88098,	 cache time: 2.6646782370174633e-07,	 generate time: 1.5545860318576588
[17]: Semantic Similarity: 0.97959,	 cache time: 4.76837158203125e-07,	 generate time: 1.1257801055908203
[17]: [Cumulative]: Semantic Similarity: 0.88646,	 cache time: 2.7815500895182293e-07,	 generate time: 1.53076348039839
[18]: Semantic Similarity: 0.11248,	 cache time: 4.76837158203125e-07,	 generate time: 2.2153592109680176
[18]: [Cumulative]: Semantic Similarity: 0.84572,	 cache time: 2.8861196417557566e-07,	 generate time: 1.5667948346388967
[19]: Semantic Similarity: 0.97161,	 cache time: 2.384185791015625e-07,	 generate time: 1.3067622184753418
[19]: [Cumulative]: Semantic Similarity: 0.85201,	 cache time: 2.86102294921875e-07,	 generate time: 1.553793203830719
[20]: Semantic Similarity: 0.25154,	 cache time: 4.76837158203125e-07,	 generate time: 3.8982667922973633
[20]: [Cumulative]: Semantic Similarity: 0.82342,	 cache time: 2.951849074590774e-07,	 generate time: 1.6654348032815116
[21]: Semantic Similarity: 0.92298,	 cache time: 2.384185791015625e-07,	 generate time: 0.5825252532958984
[21]: [Cumulative]: Semantic Similarity: 0.82795,	 cache time: 2.9260461980646307e-07,	 generate time: 1.616211641918529
[22]: Semantic Similarity: 0.98149,	 cache time: 2.384185791015625e-07,	 generate time: 1.5083162784576416
[22]: [Cumulative]: Semantic Similarity: 0.83462,	 cache time: 2.9024870499320654e-07,	 generate time: 1.61152053915936
[23]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 1.5308482646942139
[23]: [Cumulative]: Semantic Similarity: 0.84151,	 cache time: 2.88089116414388e-07,	 generate time: 1.6081591943899791
[24]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.7808988094329834
[24]: [Cumulative]: Semantic Similarity: 0.84785,	 cache time: 2.86102294921875e-07,	 generate time: 1.5750687789916993
