KVcache prepared in 64.99807858467102 seconds
[0]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 3.159799098968506
[0]: [Cumulative]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 3.159799098968506
[1]: Semantic Similarity: 0.84656,	 cache time: 4.76837158203125e-07,	 generate time: 7.1860857009887695
[1]: [Cumulative]: Semantic Similarity: 0.92328,	 cache time: 3.5762786865234375e-07,	 generate time: 5.172942399978638
[2]: Semantic Similarity: 1.0,	 cache time: 4.76837158203125e-07,	 generate time: 1.4144861698150635
[2]: [Cumulative]: Semantic Similarity: 0.94885,	 cache time: 3.973642985026042e-07,	 generate time: 3.9201236565907798
[3]: Semantic Similarity: 0.41454,	 cache time: 2.384185791015625e-07,	 generate time: 10.831992149353027
[3]: [Cumulative]: Semantic Similarity: 0.81527,	 cache time: 3.5762786865234375e-07,	 generate time: 5.6480907797813416
[4]: Semantic Similarity: 0.98849,	 cache time: 2.384185791015625e-07,	 generate time: 3.234447717666626
[4]: [Cumulative]: Semantic Similarity: 0.84992,	 cache time: 3.337860107421875e-07,	 generate time: 5.165362167358398
[5]: Semantic Similarity: 0.85342,	 cache time: 2.384185791015625e-07,	 generate time: 1.4438791275024414
[5]: [Cumulative]: Semantic Similarity: 0.8505,	 cache time: 3.178914388020833e-07,	 generate time: 4.545114994049072
[6]: Semantic Similarity: 0.67459,	 cache time: 2.384185791015625e-07,	 generate time: 1.781181812286377
[6]: [Cumulative]: Semantic Similarity: 0.82537,	 cache time: 3.065381731305804e-07,	 generate time: 4.150267396654401
[7]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 1.0884199142456055
[7]: [Cumulative]: Semantic Similarity: 0.8472,	 cache time: 2.980232238769531e-07,	 generate time: 3.767536461353302
[8]: Semantic Similarity: 0.5787,	 cache time: 4.76837158203125e-07,	 generate time: 1.0855796337127686
[8]: [Cumulative]: Semantic Similarity: 0.81737,	 cache time: 3.178914388020833e-07,	 generate time: 3.4695412582821317
[9]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 1.4325082302093506
[9]: [Cumulative]: Semantic Similarity: 0.83563,	 cache time: 3.0994415283203126e-07,	 generate time: 3.2658379554748533
[10]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.7428262233734131
[10]: [Cumulative]: Semantic Similarity: 0.85057,	 cache time: 3.034418279474432e-07,	 generate time: 3.0364732525565405
[11]: Semantic Similarity: 0.71694,	 cache time: 2.384185791015625e-07,	 generate time: 6.638621807098389
[11]: [Cumulative]: Semantic Similarity: 0.83944,	 cache time: 2.980232238769531e-07,	 generate time: 3.3366522987683616
[12]: Semantic Similarity: 0.50986,	 cache time: 2.384185791015625e-07,	 generate time: 7.396992206573486
[12]: [Cumulative]: Semantic Similarity: 0.81408,	 cache time: 2.934382512019231e-07,	 generate time: 3.648986137830294
[13]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 2.152780294418335
[13]: [Cumulative]: Semantic Similarity: 0.82736,	 cache time: 2.8950827462332587e-07,	 generate time: 3.542114291872297
[14]: Semantic Similarity: 0.95483,	 cache time: 2.384185791015625e-07,	 generate time: 3.5501744747161865
[14]: [Cumulative]: Semantic Similarity: 0.83586,	 cache time: 2.86102294921875e-07,	 generate time: 3.542651637395223
[15]: Semantic Similarity: 0.9316,	 cache time: 2.384185791015625e-07,	 generate time: 1.105771541595459
[15]: [Cumulative]: Semantic Similarity: 0.84185,	 cache time: 2.8312206268310547e-07,	 generate time: 3.3903466314077377
[16]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 1.452604055404663
[16]: [Cumulative]: Semantic Similarity: 0.85115,	 cache time: 2.8049244600183824e-07,	 generate time: 3.276361773995792
[17]: Semantic Similarity: 0.97959,	 cache time: 0.0,	 generate time: 2.1556918621063232
[17]: [Cumulative]: Semantic Similarity: 0.85828,	 cache time: 2.6490953233506946e-07,	 generate time: 3.2141023344463773
[18]: Semantic Similarity: 0.92298,	 cache time: 2.384185791015625e-07,	 generate time: 1.1052711009979248
[18]: [Cumulative]: Semantic Similarity: 0.86169,	 cache time: 2.635152716385691e-07,	 generate time: 3.1031112168964587
[19]: Semantic Similarity: 0.36254,	 cache time: 4.76837158203125e-07,	 generate time: 6.377530813217163
[19]: [Cumulative]: Semantic Similarity: 0.83673,	 cache time: 2.7418136596679685e-07,	 generate time: 3.266832196712494
[20]: Semantic Similarity: 0.25154,	 cache time: 2.384185791015625e-07,	 generate time: 7.453376531600952
[20]: [Cumulative]: Semantic Similarity: 0.80887,	 cache time: 2.724783761160714e-07,	 generate time: 3.4661914507548013
[21]: Semantic Similarity: 0.05006,	 cache time: 2.384185791015625e-07,	 generate time: 14.627951622009277
[21]: [Cumulative]: Semantic Similarity: 0.77437,	 cache time: 2.7093020352450286e-07,	 generate time: 3.9735441858118232
[22]: Semantic Similarity: 0.98149,	 cache time: 2.384185791015625e-07,	 generate time: 2.901524305343628
[22]: [Cumulative]: Semantic Similarity: 0.78338,	 cache time: 2.695166546365489e-07,	 generate time: 3.926934625791467
[23]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 2.872960090637207
[23]: [Cumulative]: Semantic Similarity: 0.79241,	 cache time: 2.682209014892578e-07,	 generate time: 3.8830190201600394
[24]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 1.4648034572601318
[24]: [Cumulative]: Semantic Similarity: 0.80071,	 cache time: 2.6702880859375e-07,	 generate time: 3.786290397644043
[25]: Semantic Similarity: 0.78821,	 cache time: 2.384185791015625e-07,	 generate time: 4.2715795040130615
[25]: [Cumulative]: Semantic Similarity: 0.80023,	 cache time: 2.659284151517428e-07,	 generate time: 3.8049553632736206
[26]: Semantic Similarity: 0.83886,	 cache time: 2.384185791015625e-07,	 generate time: 4.960769891738892
[26]: [Cumulative]: Semantic Similarity: 0.80166,	 cache time: 2.6490953233506946e-07,	 generate time: 3.8477633087723344
[27]: Semantic Similarity: 0.74654,	 cache time: 2.384185791015625e-07,	 generate time: 3.2145981788635254
[27]: [Cumulative]: Semantic Similarity: 0.79969,	 cache time: 2.639634268624442e-07,	 generate time: 3.825150268418448
[28]: Semantic Similarity: 0.98297,	 cache time: 2.384185791015625e-07,	 generate time: 3.2239372730255127
[28]: [Cumulative]: Semantic Similarity: 0.80601,	 cache time: 2.6308257004310344e-07,	 generate time: 3.804418785818692
[29]: Semantic Similarity: 0.98694,	 cache time: 2.384185791015625e-07,	 generate time: 4.6500632762908936
[29]: [Cumulative]: Semantic Similarity: 0.81204,	 cache time: 2.6226043701171877e-07,	 generate time: 3.8326069355010985
[30]: Semantic Similarity: 0.47771,	 cache time: 2.384185791015625e-07,	 generate time: 2.883164882659912
[30]: [Cumulative]: Semantic Similarity: 0.80126,	 cache time: 2.6149134482106853e-07,	 generate time: 3.8019797725062214
[31]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 1.465622901916504
[31]: [Cumulative]: Semantic Similarity: 0.80747,	 cache time: 2.60770320892334e-07,	 generate time: 3.728968620300293
[32]: Semantic Similarity: 0.47276,	 cache time: 2.384185791015625e-07,	 generate time: 5.681244134902954
[32]: [Cumulative]: Semantic Similarity: 0.79732,	 cache time: 2.600929953835227e-07,	 generate time: 3.7881284843791616
[33]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 1.1102776527404785
[33]: [Cumulative]: Semantic Similarity: 0.80329,	 cache time: 2.5945551255170035e-07,	 generate time: 3.7093681658015534
[34]: Semantic Similarity: 0.16003,	 cache time: 2.384185791015625e-07,	 generate time: 7.498893737792969
[34]: [Cumulative]: Semantic Similarity: 0.78491,	 cache time: 2.5885445731026784e-07,	 generate time: 3.817640325001308
[35]: Semantic Similarity: 0.74666,	 cache time: 4.76837158203125e-07,	 generate time: 6.050645351409912
[35]: [Cumulative]: Semantic Similarity: 0.78384,	 cache time: 2.6490953233506946e-07,	 generate time: 3.879668242401547
[36]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 1.4688923358917236
[36]: [Cumulative]: Semantic Similarity: 0.78969,	 cache time: 2.6419356062605574e-07,	 generate time: 3.8145121368202
[37]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 1.469419240951538
[37]: [Cumulative]: Semantic Similarity: 0.79522,	 cache time: 2.635152716385691e-07,	 generate time: 3.7527991658762883
[38]: Semantic Similarity: 0.87932,	 cache time: 2.384185791015625e-07,	 generate time: 2.173210859298706
[38]: [Cumulative]: Semantic Similarity: 0.79738,	 cache time: 2.628717667017228e-07,	 generate time: 3.712296901605068
[39]: Semantic Similarity: 1.0,	 cache time: 4.76837158203125e-07,	 generate time: 1.8177928924560547
[39]: [Cumulative]: Semantic Similarity: 0.80244,	 cache time: 2.682209014892578e-07,	 generate time: 3.6649343013763427
[40]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 2.170985698699951
[40]: [Cumulative]: Semantic Similarity: 0.80726,	 cache time: 2.6749401557736283e-07,	 generate time: 3.6284965305793575
[41]: Semantic Similarity: 0.59577,	 cache time: 4.76837158203125e-07,	 generate time: 8.600481033325195
[41]: [Cumulative]: Semantic Similarity: 0.80223,	 cache time: 2.724783761160714e-07,	 generate time: 3.746877113978068
[42]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 2.194017171859741
[42]: [Cumulative]: Semantic Similarity: 0.80683,	 cache time: 2.7168628781340844e-07,	 generate time: 3.7107640920683393
[43]: Semantic Similarity: 0.47013,	 cache time: 2.384185791015625e-07,	 generate time: 1.1239442825317383
[43]: [Cumulative]: Semantic Similarity: 0.79917,	 cache time: 2.7093020352450286e-07,	 generate time: 3.6519727327606897
[44]: Semantic Similarity: 0.64801,	 cache time: 0.0,	 generate time: 5.381014347076416
[44]: [Cumulative]: Semantic Similarity: 0.79581,	 cache time: 2.6490953233506946e-07,	 generate time: 3.690395879745483
[45]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 1.4687507152557373
[45]: [Cumulative]: Semantic Similarity: 0.80025,	 cache time: 2.643336420473845e-07,	 generate time: 3.642099245734837
[46]: Semantic Similarity: 0.97829,	 cache time: 2.384185791015625e-07,	 generate time: 2.177236557006836
[46]: [Cumulative]: Semantic Similarity: 0.80404,	 cache time: 2.637822577293883e-07,	 generate time: 3.610931954485305
[47]: Semantic Similarity: 0.34613,	 cache time: 2.384185791015625e-07,	 generate time: 0.7687499523162842
[47]: [Cumulative]: Semantic Similarity: 0.7945,	 cache time: 2.632538477579753e-07,	 generate time: 3.551719829440117
[48]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 2.1794614791870117
[48]: [Cumulative]: Semantic Similarity: 0.79869,	 cache time: 2.627470055404974e-07,	 generate time: 3.523714556985972
[49]: Semantic Similarity: 0.93364,	 cache time: 2.384185791015625e-07,	 generate time: 1.480316162109375
[49]: [Cumulative]: Semantic Similarity: 0.80139,	 cache time: 2.6226043701171877e-07,	 generate time: 3.48284658908844
[50]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 2.533562183380127
[50]: [Cumulative]: Semantic Similarity: 0.80529,	 cache time: 2.617929496017157e-07,	 generate time: 3.464233169368669
[51]: Semantic Similarity: 1.0,	 cache time: 0.0,	 generate time: 1.491281509399414
[51]: [Cumulative]: Semantic Similarity: 0.80903,	 cache time: 2.567584698016827e-07,	 generate time: 3.4262917912923374
[52]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 1.846113681793213
[52]: [Cumulative]: Semantic Similarity: 0.81264,	 cache time: 2.564124341280955e-07,	 generate time: 3.396477109981033
[53]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 2.1879448890686035
[53]: [Cumulative]: Semantic Similarity: 0.81611,	 cache time: 2.5607921459056716e-07,	 generate time: 3.37409688366784
[54]: Semantic Similarity: 1.0,	 cache time: 4.76837158203125e-07,	 generate time: 1.4687402248382568
[54]: [Cumulative]: Semantic Similarity: 0.81945,	 cache time: 2.600929953835227e-07,	 generate time: 3.339454035325484
[55]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 1.4623785018920898
[55]: [Cumulative]: Semantic Similarity: 0.82267,	 cache time: 2.5970595223563056e-07,	 generate time: 3.305934829371316
[56]: Semantic Similarity: 0.87682,	 cache time: 2.384185791015625e-07,	 generate time: 1.4638803005218506
[56]: [Cumulative]: Semantic Similarity: 0.82362,	 cache time: 2.59332489549068e-07,	 generate time: 3.27361808325115
[57]: Semantic Similarity: 1.0,	 cache time: 0.0,	 generate time: 2.5158770084381104
