KVcache prepared in 18.585257053375244 seconds
[0]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 1.6542928218841553
[0]: [Cumulative]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 1.6542928218841553
[1]: Semantic Similarity: 0.84656,	 cache time: 4.76837158203125e-07,	 generate time: 3.6983821392059326
[1]: [Cumulative]: Semantic Similarity: 0.92328,	 cache time: 3.5762786865234375e-07,	 generate time: 2.676337480545044
[2]: Semantic Similarity: 0.98968,	 cache time: 2.384185791015625e-07,	 generate time: 0.921375036239624
[2]: [Cumulative]: Semantic Similarity: 0.94541,	 cache time: 3.178914388020833e-07,	 generate time: 2.091349999109904
[3]: Semantic Similarity: 0.47763,	 cache time: 2.384185791015625e-07,	 generate time: 5.699471473693848
[3]: [Cumulative]: Semantic Similarity: 0.82847,	 cache time: 2.980232238769531e-07,	 generate time: 2.99338036775589
[4]: Semantic Similarity: 0.98849,	 cache time: 4.76837158203125e-07,	 generate time: 1.584047555923462
[4]: [Cumulative]: Semantic Similarity: 0.86047,	 cache time: 3.337860107421875e-07,	 generate time: 2.711513805389404
[5]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.888641357421875
[5]: [Cumulative]: Semantic Similarity: 0.88373,	 cache time: 3.178914388020833e-07,	 generate time: 2.4077017307281494
[6]: Semantic Similarity: 0.67459,	 cache time: 2.384185791015625e-07,	 generate time: 0.887415885925293
[6]: [Cumulative]: Semantic Similarity: 0.85385,	 cache time: 3.065381731305804e-07,	 generate time: 2.1905180386134555
[7]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.5433015823364258
[7]: [Cumulative]: Semantic Similarity: 0.87212,	 cache time: 2.980232238769531e-07,	 generate time: 1.984615981578827
[8]: Semantic Similarity: 0.5787,	 cache time: 2.384185791015625e-07,	 generate time: 0.5430963039398193
[8]: [Cumulative]: Semantic Similarity: 0.83952,	 cache time: 2.914004855685764e-07,	 generate time: 1.824447128507826
[9]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.7164502143859863
[9]: [Cumulative]: Semantic Similarity: 0.85557,	 cache time: 2.86102294921875e-07,	 generate time: 1.713647437095642
[10]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.37105631828308105
[10]: [Cumulative]: Semantic Similarity: 0.8687,	 cache time: 2.8176741166548297e-07,	 generate time: 1.591593699021773
[11]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.8890867233276367
[11]: [Cumulative]: Semantic Similarity: 0.87964,	 cache time: 2.7815500895182293e-07,	 generate time: 1.5330514510472615
[12]: Semantic Similarity: 0.50986,	 cache time: 2.384185791015625e-07,	 generate time: 3.6465160846710205
[12]: [Cumulative]: Semantic Similarity: 0.85119,	 cache time: 2.7509836050180286e-07,	 generate time: 1.6956256536337047
[13]: Semantic Similarity: 0.97949,	 cache time: 2.384185791015625e-07,	 generate time: 1.232250452041626
[13]: [Cumulative]: Semantic Similarity: 0.86036,	 cache time: 2.724783761160714e-07,	 generate time: 1.662527424948556
[14]: Semantic Similarity: 1.0,	 cache time: 4.76837158203125e-07,	 generate time: 1.4044485092163086
[14]: [Cumulative]: Semantic Similarity: 0.86967,	 cache time: 2.86102294921875e-07,	 generate time: 1.6453221638997395
[15]: Semantic Similarity: 0.9316,	 cache time: 2.384185791015625e-07,	 generate time: 0.5448460578918457
[15]: [Cumulative]: Semantic Similarity: 0.87354,	 cache time: 2.8312206268310547e-07,	 generate time: 1.5765424072742462
[16]: Semantic Similarity: 1.0,	 cache time: 2.384185791015625e-07,	 generate time: 0.7164971828460693
[16]: [Cumulative]: Semantic Similarity: 0.88098,	 cache time: 2.8049244600183824e-07,	 generate time: 1.5259515117196476
[17]: Semantic Similarity: 0.97959,	 cache time: 4.76837158203125e-07,	 generate time: 1.0640454292297363
[17]: [Cumulative]: Semantic Similarity: 0.88646,	 cache time: 2.914004855685764e-07,	 generate time: 1.5002900626924303
[18]: Semantic Similarity: 0.11248,	 cache time: 2.384185791015625e-07,	 generate time: 2.095918655395508
[18]: [Cumulative]: Semantic Similarity: 0.84572,	 cache time: 2.8861196417557566e-07,	 generate time: 1.5316389359925922
